														
														
Technique	obi Score	obi Term	chmo Score	chmo Term	ncit Score	ncit Term	bao Score	bao Term	efo Score	efo Term	mmo Score	mmo Term	edam Score	edam Term
Ecologically relevant memory-extinction experiences analysis	0.321	serial analysis of gene expression assay	0.389	optical extinction spectroscopy	0.393	Experience Question	0.34	computational expression analysis	0.346	high content analysis of cells by morphological and physical properties	0.348	ex vivo biological fluid analysis	0.374	Exome sequencing
T-cell receptor beta sequencing	0.655	T cell receptor repertoire sequencing assay	0.358	phase cycle	0.705	T Cell Receptor Repertoire Sequencing	0.537	receptor	0.58	single cell sequencing			0.606	Sequencing
Regenerative medicine			0.323	degenerate four-wave mixing spectroscopy	0.735	Regenerative Medical Therapy	0.338	tricine						
Associative learning	0.454	machine learning	0.387	laser dissociation spectroscopy	0.445	Associated Study	0.309	assay narrative	0.348	sample dissociation	0.357	observational fear learning apparatus method		
Repertoire sequencing	0.773	T cell receptor repertoire sequencing assay	0.415	phase cycle	0.789	B Cell Receptor Repertoire Sequencing	0.464	Whole Genome Sequencing	0.724	single cell immune repertoire sequencing			0.704	Sequencing
Biofilm morphotyping	0.407	genotyping assay			0.424	Genotyping	0.385	genotyping method	0.417	genotyping			0.335	Genotyping experiment
Census Database Construction	0.33	network graph construction			0.549	Reconstructive Surgery	0.498	structure database search	0.519	library preparation				
Tissue morphogenesis tracking	0.301	transgenic mutagenesis	0.315	particle-tracking velocimetry	0.38	Eye Tracking	0.42	tissue binding assay			0.359	tissue force analysis		
Transconjugant analysis	0.446	sequence analysis data transformation	0.499	X-ray diffraction	0.486	DNA Image Cytometry	0.422	image analysis method	0.477	data transformation	0.42	urine analysis	0.517	Exome sequencing
PCR (Polymerase Chain Reaction) testing	0.796	polymerase chain reaction			0.801	Polymerase Chain Reaction	0.8	polymerase chain reaction	0.814	polymerase chain reaction	0.782	polymerase chain reaction assay	0.823	PCR experiment
Genetic polymorphism analysis	0.419	restriction fragment length polymorphism assay	0.483	titration	0.841	Polymorphism Analysis	0.472	computational phylogenetic analysis	0.433	cap analysis gene expression	0.379	urine analysis	0.467	Exome sequencing
Strategic analysis	0.496	replicate analysis	0.568	X-ray diffraction	0.551	Genetic Testing	0.536	structure analysis method	0.542	data transformation	0.477	urine analysis	0.589	Exome sequencing
Modeling	0.362	mode calculation	0.379	dynamic force microscopy	0.967	Modeling	0.678	MODELLER homology modeling	0.379	labelling				
community-based trial					0.842	Community Trial	0.37	optical based						
Sequencing	0.94	sequencing assay	0.588	phase cycle	0.969	Nucleic Acid Sequencing	0.656	Whole Genome Sequencing	0.772	DNA-seq			0.996	Sequencing
Study documentation	0.566	documenting			0.555	Action Study	0.359	complementation method	0.441	group assignment	0.436	in vivo videography with digital image analysis		
Long-lasting insecticide treated bednet distribution	0.38	insecticide resistance by ligase detection reaction assay	0.378	energy-dispersive X-ray emission spectroscopy	0.435	Statistical Distribution	0.386	redistribution assay	0.329	dissection				
T cell receptor deep sequencing	0.655	T cell receptor repertoire sequencing assay	0.358	phase cycle	0.705	T Cell Receptor Repertoire Sequencing	0.537	receptor	0.58	single cell sequencing			0.606	Sequencing
Structured questionnaire	0.429	3D structure determination assay	0.434	X-ray diffraction	0.674	CES Questionnaire Question	0.52	structure generation	0.516	Structure-Seq				
cDNA synthesis	0.807	synthesis	0.331	X-ray photoelectron spectroscopy	0.66	Drug Synthesis and Chemistry Branch	0.544	cDNA	0.547	cDNA library construction	0.555	cDNA clone-based transcript expression assay		
Simplified images of copulating pairs			0.348	secondary ion mass spectrometry imaging	0.333	Population Based Sampling							0.308	Imaging
Software analysis	0.561	compiling software	0.586	X-ray diffraction	0.564	DNA Analysis	0.883	image analysis software	0.559	data transformation	0.492	urine analysis	0.607	Exome sequencing
Audio file format conversion	0.312	quantile transformation	0.34	inversion recovery	0.328	Tubule Formation Assessment	0.314	conformation determination method			0.3	audiometry		
Dengue diagnostic tests (RDT, ELISA)	0.418	falcivax rapid diagnostic test	0.395	ELISA	0.645	Diagnostic Procedure	0.414	ELISA			0.407	enzyme linked immunosorbent assay		
microscopy	0.976	microscopy assay	0.972	microscopy	0.993	Microscopy	0.995	microscopy	0.878	microscopy assay	0.836	in vivo microscopy	0.746	Light microscopy
Medical history collection	0.431	cell collecting	0.311	electrochemical detection	0.971	Medical History Taking	0.308	physical detection method	0.45	specimen collection process	0.409	body fluid collection method	0.438	Medical imaging
Cancer detection classification	0.419	ligase detection reaction	0.556	mass detection	0.706	Cancer Detection	0.511	statistical classification method	0.453	classifier prediction	0.332	cell fractionation		
Incubated soil microcosms			0.331	microscopy	0.399	Microcyte Count	0.308	microplate			0.331	micro-computed tomography		
rapid HIV test	0.538	rapid plasma reagin test	0.46	rapid-scan infrared absorption spectroscopy	0.664	Rapid Antigen Test			0.332	RAP	0.36	grid test		
Coadministration of PPAR? antagonist GW9662	0.489	oral administration			0.527	Medication Administration								
Integer topological defect analysis	0.365	replicate analysis	0.441	electrochemical analysis	0.423	Isotope-Coded Affinity Tag Protein Analysis	0.397	integrated pathway analysis	0.431	high content analysis of cells by morphological and physical properties	0.43	ex vivo biological fluid analysis	0.429	Exome sequencing
Island model	0.353	statistical model validation			0.487	Modeling	0.417	MODELLER homology modeling						
Cell culture monitoring (Celliq)	0.634	cell culture assay	0.445	single-ion monitoring	0.705	Cell Culture	0.631	cell culture method	0.377	single cell sequencing	0.38	blood cell counting method		
baseline assessments	0.448	survival assessment assay			0.657	Physical Examination	0.494	S phase assessment method			0.418	in vivo visual assessment		
Mass drug administration	0.618	oral administration	0.391	electron ionisation mass spectrometry	0.672	Medication Administration	0.402	drug interaction assay						
Data integration	0.471	data vector reduction data transformation	0.434	static light scattering	0.467	Integrated Pain Scale	0.421	data based structure generation	0.439	data transformation				
Vegetative growth measurements	0.432	mass measurement assay	0.562	thermogravimetry	0.574	Nerve Growth Factor Measurement	0.436	assay measurement type	0.389	population growth assay	0.38	radioactivity measurement method		
Data collection from source documents	0.446	documenting	0.323	plasma mass spectrometry	0.461	Collection of Non-Human Source Plasma	0.346	light source	0.417	specimen collection process	0.349	body fluid collection method		
Hamming distance	0.357	administering substance in vivo	0.378	polarisation inversion and spin exchange at the magic angle	0.624	Distance Healing	0.462	distance comparison modeling	0.389	Ren-Seq				
Geographic clustering	0.454	hierarchical clustering	0.408	thermography	0.675	Cluster Analysis	0.509	k means clustering						
Verbal autopsy	0.374	biopsy	0.437	only para-hydrogen spectroscopy	0.733	Autopsy			0.361	biopsy	0.691	autopsy		
single-cell RNA and T cell receptor (TCR) sequencing	0.709	single cell T cell receptor repertoire sequencing assay	0.335	fluorescence-activated cell sorting	0.792	Single Cell RNA Sequencing	0.398	receptor	0.828	single-cell RNA sequencing	0.375	blood cell counting method	0.541	RNA-Seq
Metabolomics	0.408	metabolite profiling assay	0.353	image correlation spectroscopy	0.466	Metabolic Therapy	0.815	metabolomic assay	0.747	metabolomic profiling	0.384	metabolic cage urine volume measurement method	0.355	Metagenomic sequencing
Codebook creation	0.472	creatine concentration assay			0.449	Creatinine Measurement	0.373	hybrid cell creation method			0.313	blood creatinine analysis		
Solid media analysis	0.523	dialysis	0.552	X-ray diffraction	0.545	Sediment Analysis	0.505	image analysis method	0.527	data transformation	0.464	urine analysis	0.572	Exome sequencing
Measurement of blood lipids	0.514	mass measurement assay	0.655	pH measurement	0.706	Lipid Measurement	0.534	cell movement measurement method	0.445	blood vessel replacement	0.609	blood total phospholipid measurement test		
Review of Medicare claims					0.579	Medical Chart Review			0.33	medical procedure			0.321	Medical imaging
Retrospective study	0.374	study intervention	0.342	microspectroscopy	0.985	Retrospective Study	0.333	Dose Response Study	0.354	group assignment	0.346	spectrometry	0.306	NMR
PCR (Polymerase Chain Reaction) followed by DNA sequencing	0.667	polymerase chain reaction	0.338	phase cycle	0.671	Polymerase Chain Reaction	0.67	polymerase chain reaction	0.682	polymerase chain reaction	0.655	polymerase chain reaction assay	0.689	PCR experiment
Immunoprecipitation	0.944	immunoprecipitation			0.957	Immunoprecipitation	0.961	immunoprecipitation	0.926	RIP	0.976	immunoprecipitation	0.928	RNA immunoprecipitation
C. elegans behavioral tracking			0.321	particle-tracking velocimetry	0.536	Behavioral Rating Scale	0.401	organism behavior assay	0.468	behavioral stimulus	0.313	treadmill method with automated tracking		
Risk factor assessment	0.477	survival assessment assay			0.968	Risk Factor Assessment	0.489	assay quality assessment method			0.443	in vivo visual assessment		
Bacterial Culture	0.586	cell culture assay			0.633	Microbial Culture Procedure	0.518	bacterial infection method			0.438	arterial puncture		
Neutrophil recruitment analysis	0.573	neutrophil assay	0.5	neutron diffraction	0.535	Neutrophil Count	0.434	Arrestin2 recruitment assay	0.415	data transformation	0.366	urine analysis	0.451	Exome sequencing
2-D artificial stimuli	0.348	artificially induced methylation	0.311	stimulated Raman spectroscopy	0.527	Use Artificial Tears	0.395	parallel artificial membrane permeation assay	0.49	artificial cardiac pacemaker				
Hepatocyte growth factor (HGF) expression analysis	0.5	serial analysis of gene expression assay	0.378	diffraction method	0.719	MET Mutation Analysis	0.518	computational expression analysis	0.537	cap analysis gene expression	0.44	expression assay	0.4	Exome sequencing
written informed consent	0.679	informed consent process			0.364	Have Problems Learning About Medical Condition Due to Difficulty Understanding Written Information								
Endoplasmic reticulum unfolded protein response	0.366	protein assay			0.388	Total Protein Measurement	0.423	protein unfolding assay	0.314	protein assay	0.331	automated plasma protein analysis		
Transcription profiling	0.925	transcription profiling assay	0.389	Fourier profilometry	0.515	Fusion Transcript Sequencing	0.871	transcriptional profiling assay	0.982	transcription profiling	0.68	high throughput transcription profiling by tiling array	0.833	RNA-Seq
Healthy baseline study	0.355	study intervention			0.63	Baseline Epoch	0.359	preclinical study	0.369	self rated health				
Polymerase Chain Reaction (PCR)	0.897	polymerase chain reaction	0.309	pulsed laser polymerisation-size exclusion chromatography	0.903	Polymerase Chain Reaction	0.901	polymerase chain reaction	0.917	polymerase chain reaction	0.881	polymerase chain reaction assay	0.927	PCR experiment
Isolation and identification of primary lung telocytes	0.419	isolation of cell population	0.318	polarization modulation infrared reflection–adsorption spectroscopy	0.549	Lesion Identification	0.412	nucleic acid identification and quantitation method	0.468	single cell isolation				
Ethical approvals documentation	0.446	documenting			0.406	Medical Record Documentation about this History of Cancer Treatment	0.355	chemical complementation	0.319	ChIPmentation	0.363	in vivo videography with digital image analysis		
data compilation	0.533	data combination	0.31	oxidation–reduction titration	0.36	Genomic Data Commons	0.375	data based structure generation	0.439	data transformation	0.354	computational method		
Acknowledgements			0.301	thermogravimetry	0.542	Knowledge Question	0.416	knowledge based scoring function						
Data collection using Case Report Forms (CRFs)	0.393	cell collecting			0.502	Case Study			0.358	specimen collection process	0.305	body fluid collection method		
Blood sample collection	0.461	cell collecting	0.329	multiple collector inductively coupled plasma mass spectrometry	0.645	Blood Product Collection	0.332	whole blood stability assay	0.849	specimen collection process	0.437	body fluid collection method		
DNA-based fingerprinting analysis	0.692	DNA fingerprinting assay	0.414	X-ray diffraction	0.737	DNA Fingerprinting	0.397	shape fingerprint search	0.395	data transformation	0.409	urine analysis	0.429	Exome sequencing
Genome scans	0.4	KINOMEscan assay			0.854	Genome Scan	0.375	genomic DNA	0.502	G&T-Seq	0.306	scintigraphy	0.523	Whole genome sequencing
Blood smear preparation	0.457	library preparation	0.307	presaturation	0.682	Prepare Your Meals	0.655	preparation method	0.521	library preparation	0.388	molecular separation method		
Funding analysis	0.5	discriminant function analysis	0.605	X-ray diffraction	0.582	DNA Analysis	0.511	image analysis method	0.577	data transformation	0.508	urine analysis	0.627	Exome sequencing
Illumina HumanMethylation450 BeadChip array	0.435	DNA methylation profiling by array assay			0.619	Illumina Infinium Methylation BeadChip System	0.343	array	0.443	methylation profiling by array				
data analysis	0.759	data analysis service	0.676	X-ray diffraction	0.651	DNA Analysis	0.598	sequencing data analysis software	0.996	data transformation	0.568	urine analysis	0.701	Exome sequencing
Experimental manipulation	0.547	experimental disease induction	0.512	circular dichroism titration	0.594	Experimental Nutrition	0.608	experimental specification	0.352	single cell isolation			0.612	Simulation experiment
Standardized questionnaire	0.344	standard deviation calculation	0.357	standard atomic force infrared microscopy	0.726	LEC-5 Standard Version Questionnaire Question	0.41	standard deviation					0.553	Echography
Passive surveillance	0.664	surveillance process			0.767	Patient Observation					0.318	Na+ passive permeability assay		
Inverted microscopy	0.727	microscopy assay	0.725	microscopy	0.74	Microscopy	0.741	microscopy	0.655	microscopy assay	0.803	ex vivo light microscopy with inverted microscope	0.556	Light microscopy
Quantitative data collection	0.474	quantitative venous blood IgA assay	0.48	quantitative determination method	0.55	Prospective Tissue Collection	0.573	quantitative PCR	0.432	specimen collection process	0.484	quantitative computed tomography		
Gene expression analysis	0.853	serial analysis of gene expression assay	0.499	X-ray diffraction	0.978	Gene Expression Analysis	0.814	serial analysis of gene expression	0.924	cap analysis gene expression	0.772	serial analysis of gene expression assay	0.56	Exome sequencing
Digitization	0.494	digital curation	0.456	ionisation spectroscopy	0.565	Somatization Scale	0.383	percent inhibition normalization	0.409	Digital RNA	0.34	whole body digital scale		
NanoString nCounter System	0.588	Nanostring nCounter miRNA expression assay	0.309	scanning transmission electron microscopy	0.853	NanoString nCounter Analysis System	0.629	Nanostring	0.439	transcription profiling by NanoString	0.411	computerized assessment of in vivo video recording		
ARDRA (Amplified Ribosomal DNA Restriction Analysis)	0.389	insecticide resistance by primer introduced restriction analysis PCR assay	0.38	thermal analysis	0.518	MET Amplification Status	0.333	computational expression analysis	0.365	restriction digest			0.362	Exome sequencing
Knock-out study	0.707	gene knock out			0.613	DICOM Study	0.501	gene knock in	0.435	knock in expression	0.336	knock-in in situ reporter assay		
Biochemical tests	0.388	chemical cleavage	0.508	bioelectrochemical analysis	0.804	Biochemical Diagnosis	0.447	physicochemical	0.422	enzyme-free chemical dissociation	0.465	blood glucose test strip read by electrochemical glucometer	0.339	Bioimaging
Rapid diagnostic test (RDT)	0.706	falcivax rapid diagnostic test	0.34	rapid-scan infrared absorption spectroscopy	0.784	Diagnostic Procedure								
Phosphorylation	0.565	fluorescence imaging-based protein phosphorylation state assay	0.58	phosphorescence detection	0.67	Phosphorylated STAT3 Measurement	0.925	phosphorylation assay	0.963	enrichment of phosphorylated protein	0.404	blood phospholipid analysis		
Intracellular cellulose production analysis	0.497	intracellular cytokine staining assay measuring epitope specific RANTES production by T cells	0.405	diffraction method	0.623	Cellularity Measurement	0.345	IN Cell Analyzer	0.44	cellular modification	0.56	intracellular calcium assay	0.35	Exome sequencing
ELISA technique	0.74	detection technique	0.697	time-of-flight method	0.698	Axillary Reverse Mapping	0.596	ELISA	0.307	10x technology	0.585	enzyme linked immunosorbent assay		
Memory extinction	0.374	extraction	0.669	optical extinction spectroscopy	0.553	Memory Question								
Health care utilization and coverage survey (HUCS)					0.586	Healthcare Utilization								
Cleaning and merging of datasets	0.399	dataset creating			0.377	Cleaning Windows								
Autopsy	0.51	biopsy	0.596	only para-hydrogen spectroscopy	0.998	Autopsy	0.319	automated cytometer	0.492	biopsy	0.942	autopsy		
SOP development	0.653	software development			0.711	Method Development	0.619	method development and validation						
Treatment assessment	0.703	treatment	0.351	triple-resonance spectroscopy	0.73	Physical Examination	0.543	binding assessment method	0.314	assay by instrument	0.494	in vivo visual assessment		
Questionnaire data collection	0.399	aspiration specimen collection	0.308	polarization modulation infrared reflection–adsorption spectroscopy	0.687	DAD Questionnaire Question	0.309	data based structure generation	0.448	specimen collection process	0.394	body fluid collection method		
Ethical approval from multiple committees and councils	0.307	multiple testing correction method	0.321	multiple-modulation multiple-echo velocimetry	0.351	Multiple Time Graphical Analysis	0.347	multiple concentration						
Nutritional supplementation			0.374	time proportional phase incrementation	0.945	Nutritional Supplementation	0.488	complementation method	0.372	ChIPmentation	0.353	cell fractionation		
Transposase mediated construction	0.449	transposase-mediated analysis of chromatin looping assay			0.503	Reconstructive Surgery	0.388	incremental construction method	0.475	library preparation				
Anonymization	0.414	expectation maximization	0.467	furnace atomisation electron ionisation mass spectrometry	0.547	Minimization Randomization	0.372	lead optimization assay	0.305	normalization data transformation				
Cluster-randomized controlled trial	0.305	group randomization	0.404	potentiostatic coulometry	0.858	Randomized Controlled Clinical Trial	0.433	coupled cluster method	0.341	DNA shearing				
Genotyping by sequencing (GBS)	0.632	sequencing assay	0.358	phase cycle	0.659	Biopolymer Sequencing	0.603	genotyping method	0.653	genotyping			0.711	Sequencing
Protocol development	0.516	software development	0.336	1H nuclear magnetic resonance spectroscopy	0.611	Method Development	0.595	assay protocol	0.353	PASP				
Candidate gene studies			0.395	flow cytometry	0.459	Cytogenetic Analysis	0.446	gene						
Data collection	0.565	cell collecting	0.354	reflection electron microscopy	0.649	Stool Collection	0.353	data based structure generation	0.589	specimen collection process	0.503	body fluid collection method		
Meta-analysis using inverse of variance weighting	0.352	edge weighting	0.342	X-ray diffraction	0.608	Analysis of Variance	0.336	image analysis method	0.373	data transformation	0.307	automated plasma analysis using Beckman analyzer	0.354	Exome sequencing
Cleaned .csv data files	0.314	data vector reduction data transformation	0.396	cathodic stripping voltammetry	0.33	Epidermal cGVHD Score 0	0.309	database filtering						
Efferocytosis analysis	0.492	dialysis	0.581	X-ray diffraction	0.559	DNA Analysis	0.497	image analysis method	0.549	data transformation	0.492	urine analysis	0.607	Exome sequencing
Protein engineering	0.578	protein assay			0.613	Total Protein Measurement	0.622	protein	0.497	protein assay	0.523	urine protein analysis	0.394	Protein interaction experiment
Experimental data analysis	0.537	data analysis service	0.623	elemental analysis	0.589	Investigational Arm	0.534	experimental design method	0.704	data transformation	0.402	urine analysis	0.536	Exome sequencing
Presumptive treatment	0.641	treatment			0.652	Therapeutic Procedure	0.328	gene knockdown by morpholino treatment						
Universal long-lasting insecticide treated bednet campaigns	0.319	insecticide resistance assay			0.339	How Long Not Feeling Like Eating Lasted	0.321	screening campaign						
Simulated heatwaves			0.404	stimulated Raman spectroscopy	0.529	Computer Modeling	0.472	simulated annealing	0.352	Simul-seq			0.41	Simulation experiment
Visualization through interactive tools	0.484	data visualization	0.312	extractive electrospray ionisation mass spectrometry	0.454	Educational Intervention	0.457	chromatin condensation visualization	0.38	Frac-Seq	0.317	high throughput expression assay	0.357	Protein interaction experiment
Health center surveillance study	0.537	surveillance process			0.616	Surveillance	0.319	portal vein study	0.311	group assignment	0.334	Health-O-Meter balance beam Scale		
Machine learning classifier	0.731	machine learning			0.405	Machinery Heart Murmur			0.492	classifier prediction	0.367	machine read urine potassium test strip		
Microscopic examination	0.512	microscopy assay	0.572	ion microscopy	0.968	Microscopic Examination	0.517	microscope	0.518	checkup	0.487	ex vivo microscopy	0.418	Electron microscopy
DNA methylation quantification	0.527	DNA methylation profiling assay	0.394	quantitative determination method	0.688	DNA Methylation Analysis	0.544	nucleic acid identification and quantitation method	0.514	methylation profiling	0.343	quantitative reverse transcription polymerase chain reaction assay	0.501	Methylated DNA immunoprecipitation
Institutional ethical clearance	0.381	reconstitution assay			0.543	Renal Clearance	0.534	clearance						
Administration of a detailed clinical questionnaire	0.501	cervical administration	0.311	desorption chemical ionisation mass spectrometry	0.774	Questionnaire Administration	0.303	ion redistribution determination method						
Spatial mapping via Global Positioning System (GPS)	0.332	material portioning	0.341	Raman microscopy	0.439	Global Rating	0.33	vial	0.329	NanoString digital spatial profiling				
Randomization	0.726	group randomization	0.511	furnace atomisation electron ionisation mass spectrometry	0.937	Randomization	0.42	randomized block design	0.551	DNA shearing				
Predator-prey size models			0.471	paramagnetic relaxation enhancement	0.331	Vaginal Dilator Size	0.53	PREDATOR structure prediction						
Codebooks					0.434	CO-Detection by indEXing	0.379	SlideBook software						
financial support	0.498	support service			0.603	Financial Question	0.464	assay supporting method						
Cluster randomized trial	0.38	group randomization			0.754	Randomization	0.466	randomized block design	0.424	DNA shearing				
Data encryption	0.465	data vector reduction data transformation			0.42	Cryptitis Assessment	0.353	data based structure generation	0.411	data transformation				
Sensit H14-LIN sensor	0.349	position sense assessment	0.504	pH measurement	0.495	Breast Cancer Surgeon was Sensitive	0.483	electrical sensor	0.314	DNase-hypersensitivity seq	0.365	sensation test		
Compression (gzip)	0.311	protein expression profiling assay			0.647	Compression Therapy	0.442	computational expression analysis	0.338	knock in expression	0.669	bone compression test		
Specimen collection	0.769	aspiration specimen collection	0.409	reflectance spectroscopy	0.96	Biospecimen Collection	0.377	experimental specification	0.975	specimen collection process	0.443	body fluid collection method		
Data conversion	0.431	data vector reduction data transformation	0.424	inversion recovery	0.38	Conventional Imaging	0.324	data based structure generation	0.373	data transformation				
FST outlier method	0.338	leave one out cross validation method	0.478	time-of-flight method	0.478	Potentiometry	0.5	assay method	0.457	UMI Method	0.38	in vivo method	0.302	Chromosome conformation capture
Next-generation sequencing (NGS)	0.572	sequencing assay	0.473	sum-frequency generation spectroscopy	0.889	Next Generation Sequencing	0.468	Whole Genome Sequencing	0.732	Nx1-seq			0.606	Sequencing
Ethical conduct compliance			0.422	conductometry	0.584	Trial Compliance	0.332	complementary metal oxide semiconductor						
Endonuclease VIII	0.535	endonuclease mediated mutagenesis	0.344	electron nuclear double resonance spectroscopy	0.435	Enucleation			0.378	Deoxyribonuclease digestion	0.477	nuclease S1 protection assay		
Geographic location mapping			0.401	Raman microscopy	0.477	Gene Mapping	0.345	Epitope Mapping	0.366	m1A mapping	0.302	gel filtration chromatography		
Innovation mapping	0.345	Lead structure mapping assay	0.519	infrared microscopy	0.521	Replication Initiation Point Mapping	0.418	Epitope Mapping	0.444	m1A mapping				
Placebo-controlled trial			0.48	potentiostatic coulometry	0.684	Controlled Clinical Trial	0.311	placental transfer assay	0.304	contraception				
Exosome isolation	0.53	isolation of cell population	0.325	polarization modulation infrared reflection–adsorption spectroscopy	0.59	Cell Sorting	0.377	isomerase	0.541	single cell isolation	0.346	isolated bone method	0.428	Exome sequencing
Adherence assessment	0.49	survival assessment assay	0.358	low coherence interference microscopy	0.701	Physical Examination	0.502	assay quality assessment method	0.432	isolation of adherent cells	0.454	in vivo visual assessment		
Thick/thin blood smear	0.42	blood assay	0.367	thin-film X-ray diffraction	0.75	Thick Smear Technique			0.324	blood draw	0.301	blood creatine kinase activity assay		
Electron diffraction data 3D ED	0.379	data vector reduction data transformation	0.8	electron diffraction	0.432	Electron Beam Therapy	0.368	electron microscopy	0.328	size fractionation	0.351	cell fractionation	0.625	Neutron diffraction
High-throughput analyses	0.574	genotyping by high throughput sequencing assay	0.345	thermogravimetry	0.687	High Throughput Screening	0.537	repetition throughput	0.656	assay by high throughput sequencer	0.794	high throughput expression assay	0.323	Exome sequencing
Spatially complex landscapes			0.351	spatially-offset Raman spectroscopy	0.42	Soluble Complement C5b-9 Measurement	0.376	GPCR complex	0.302	spatial analysis				
Seropositivity studies			0.386	flow cytometry	0.488	Study Activity	0.342	selectivity assay	0.35	DNase-hypersensitivity seq	0.316	serum aspartate aminotransferase activity assay		
Multi-fractal analysis	0.46	multiple linear regression analysis	0.606	diffraction method	0.529	Multiparametric Analysis	0.443	image analysis method	0.513	spatial analysis	0.44	urine analysis	0.543	Exome sequencing
Antibody labeling	0.583	specific labeling			0.677	Sjogren's SS-B Antibody Measurement	0.599	labeling method	0.677	labelling	0.382	high throughput proteomic profiling by antibody array		
Microscopy	0.976	microscopy assay	0.972	microscopy	0.993	Microscopy	0.995	microscopy	0.878	microscopy assay	0.836	in vivo microscopy	0.746	Light microscopy
Indoor residual spraying					0.45	Residual Tumor Size Measurement								
mRNA and protein analysis	0.563	protein assay	0.537	X-ray diffraction	0.876	Protein Analysis	0.606	protein	0.513	data transformation	0.764	blood protein analysis	0.568	RNA-Seq
Multi-scale analysis	0.526	multiple linear regression analysis	0.552	X-ray diffraction	0.576	Multiple Time Graphical Analysis	0.467	image analysis method	0.527	data transformation	0.524	scale	0.572	Exome sequencing
Electroneurography	0.53	electroencephalography	0.504	electron spectroscopy	0.995	Electroneurography	0.444	tomography			0.66	electron radiography	0.43	Tomography
ZX TM doppler wind lidar sensor			0.374	laser Doppler velocimetry	0.44	Color Flow Doppler Ultrasound Imaging	0.313	electrical sensor			0.384	doppler ultrasound		
Training workshops	0.46	training process			0.428	Tartrate Resistant Acid Phosphatase Staining Method								
T-cell receptor sequencing	0.71	T cell receptor repertoire sequencing assay	0.387	phase cycle	0.764	T Cell Receptor Repertoire Sequencing	0.582	receptor	0.629	single cell sequencing			0.657	Sequencing
Fuel economy testing					0.613	Testing								
Community diversity analysis	0.383	dialysis	0.428	X-ray diffraction	0.531	Community Trial	0.362	image analysis method	0.408	data transformation	0.365	blood renin activity assay	0.443	Exome sequencing
Genetic manipulation (allele: ok1469)	0.394	genetic transformation			0.479	Genetic Population Study	0.363	genetic complementation	0.31	single cell isolation				
In vitro susceptibility testing	0.308	cell viability assay	0.553	magnetometry	0.62	Microbial Susceptibility Test	0.356	intestinal fluid stability assay	0.353	in vitro transcription				
Lipid analysis	0.513	replicate analysis	0.65	X-ray diffraction	0.625	DNA Analysis	0.614	lipid	0.62	data transformation	0.844	blood lipid analysis	0.673	Exome sequencing
mTOR complex 1 inhibition	0.494	competitive inhibition of binding assay			0.526	Complement C1 Esterase Inhibitor Measurement	0.513	CYP inhibition assay			0.302	ex vivo analysis of atomic composition		
Bioinformatics analysis	0.493	sequence analysis data transformation	0.503	thermal analysis	0.508	Somatic Mutation Analysis	0.73	bioinformatics method	0.481	spatial analysis	0.42	urine analysis	0.571	Chromosome conformation capture
Transforming growth factor-? (TGF-?) expression analysis	0.569	differential expression analysis data transformation	0.389	thermogravimetry	0.64	Transforming Growth Factor Beta Measurement	0.506	computational expression analysis	0.543	differential expression analysis data transformation	0.43	expression assay	0.391	Exome sequencing
Intervention delivery	0.492	study intervention	0.324	attenuated total reflectance infrared spectroscopy	0.742	Intervention or Procedure	0.561	delivery method	0.747	medical procedure			0.342	Protein interaction experiment
Serum NOx levels determination	0.527	age determination assay	0.493	determination of copper	0.509	Water Content Determination	0.514	conformation determination method						
Online exploratory data analysis	0.488	data analysis service	0.435	X-ray diffraction	0.511	Exploratory Surgery	0.384	sequencing data analysis software	0.641	data transformation	0.466	urine analysis	0.487	Exome sequencing
Fertility assessment	0.5	limits of stability assessment	0.3	differential mobility spectroscopy	0.812	Fertility Assessment and Management	0.628	assay quality assessment method	0.423	motility assay	0.454	in vivo visual assessment		
Passive and active malaria case detection	0.441	ligase detection reaction	0.519	mass detection	0.588	Pet is as Active as it Has Been	0.433	caspase activity determination	0.351	Ribo-seq	0.302	ribonuclease protection assay		
Species abundance survey					0.373	Do You Dance	0.502	protein abundance method						
Notarius kessleri identification	0.409	histone modification identification by ChIP-Seq assay			0.586	Lesion Identification	0.426	nucleic acid identification and quantitation method						
Immunoelectron microscopy	0.726	electron microscopy imaging assay	0.775	electron microscopy	0.796	Electron Microscopy	0.801	electron microscopy	0.567	microscopy assay	0.977	immunoelectron microscopy	0.802	Electron microscopy
Semi-structured in-depth interviews	0.369	3D structure determination assay	0.372	X-ray diffraction	0.536	Structured Clinical Interview for DSM-5	0.391	structural	0.459	Structure-Seq				
Distance metrics	0.323	insecticide resistance assay	0.379	raster image correlation spectroscopy	0.895	Gene Distance Metric	0.443	distance matrix alignment	0.385	Ren-Seq				
Genotyping	0.924	genotyping assay			0.957	Genotyping	0.877	genotyping method	0.968	genotyping			0.776	Genotyping experiment
Age-frequency matching	0.406	peak matching	0.518	low-frequency electron spin resonance spectroscopy	0.749	How Often Itching	0.393	descriptor matching method	0.333	DNA-seq			0.418	Sequencing
Proinflammatory cytokine expression analysis	0.533	serial analysis of gene expression assay	0.403	flow cytometry	0.613	Gene Expression Analysis	0.53	computational expression analysis	0.581	cap analysis gene expression	0.535	blood cytokine analysis	0.41	Exome sequencing
