_id	Name	Description	Model	Predictions
GSE151330	Functional assessment of the “two-hit” model for neurodevelopmental defects in Drosophila and X. laevis models of 16p12.1 deletion	We recently identified a deletion on chromosome 16p12.1 that is mostly inherited and associated with multiple neurodevelopmental phenotypes, where severely affected probands carried an excess of rare pathogenic variants in the genome compared to mildly affected carrier parents. We hypothesized that the 16p12.1 deletion sensitizes the genome for disease, but other hits in the genetic background modulate the ultimate phenotypic trajectory. To test this model, we examined the individual contribution of 16p12.1 homologs towards neurodevelopmental, cellular and molecular phenotypes in Drosophila melanogaster and Xenopus laevis. We observed that 16p12.1 homologs affect multiple phenotypic domains, leading to developmental delay, seizure susceptibility, brain size alterations, abnormal neuronal morphology, and cellular proliferation defects. In contrast to genes within CNVs of higher de novo occurrence, such as 16p11.2 deletion, homologs of 16p12.1 genes did not interact with each other, were less connected in a human brain network, and were sensitive to variation in the genetic background. Moreover, 214 “two-hit” models in the fly eye identified additive (47%), suppressive (34.5%), and epistatic (18.5%) interactions between 16p12.1 homologs and 80 homologs of genes carrying “second-hits” in children with the deletion and genes within related neurodevelopmental pathways. In fact, homologs of the intellectual disability-associated “second-hit” gene SETD5 synergistically interacted with homologs of MOSMO, modifying brain and cellular phenotypes and leading to new neuronal defects. Our results provide functional evidence for the “two-hit” model of neurodevelopmental disorders, where multiple 16p12.1 genes sensitize the genome to developmental defects, and complex domain-specific interactions with “second-hit” genes define the final phenotypic manifestation. mRNA-sequencing of Drosophila neuron-specific (Elav-GAL4 driver) RNAi knockdown (whole head) for four individual 16p12.1 homologs (CDR2, MOSMO, POLR3E, UQCRC2) and two VDRC GD wild-type controls (one with Dicer2 at 25°C, and one without Dicer2 at RT). Sequencing was performed using Illumina HiSeq 2000 on three biological replicates per sample (18 total replicates).	gpt-3.5-turbo	['mRNA-sequencing']
GSE185198	Genome-Wide High Resolution Expression Pattern of Crown Root Primordia in Rice	RNA sequencing data from laser microdissected crown root primordia (CRP) during CRP initiation (stage-I) and CRP outgrowth (stage-II) as compared to competent tissues (control) CRP at the stage of initiation and outgrowth together with control tissues were collected using laser caprute microdissection (LCM). RNA extracted from these tissue were subjected to RNA sequencing.	gpt-3.5-turbo	['RNA sequencing', 'Laser capture microdissection (LCM)', 'Tissue collection of crown root primordia (CRP)']
GSE193158	Transcriptomes of control and JAG1-deficient cochlea	The aim of this study is to identify the gene targets of the Notch ligand JAG1 in the postnatal cochlea. JAG1 was conditionally deleted in mice carrying both an inducible Cre allele (Sox2CreER) and a floxed (fl) Jag1 allele.  Tamoxifen was administered to P0/P1 pups.  Cochlear tissues from 6 Sox2CreER/+Jag1fl/fl and wildtype littermate controls were dissected under the dissecting microscope in ice-cold DEPC-treated PBS and stored in RNAlater (Invitrogen) at 4C. The RNAs were purified by RNeasy Micro Kit (QIAGEN).  The quality and quantity of RNAs were measured by a 2100 bioanalyzer (Agilent). Illumina compatible sequencing libraries were generated by the University of Rochester Genomics Research Center. Libraries were hybridized to the Illumina flow cell and single-end reads of 100nts were generated. Identification of significantly differentially expressed genes was determined using DeSeq2.  We found 548 differentially expressed genes with an adjusted p-value of <0.05, 411 of those genes were significantly upregulated while 137 were significantly downregulated.  Analysis of pathways revealed novel genes involved downstream of JAG1-Notch signaling in the postnatal cochlea. To delete Jag1 in maturing cochlear supporting cells, we administered tamoxifen to Sox2CreER/+Jag1fl/fl (Jag1-mutant) and Sox2+/+ (control) mice at postnatal day (P)0/P1. At P6 we collected the cochlear sensory epithelium, extracted RNA and performed RNA-Seq. Six biological replicates of each genotype, Jag1-mutants and controls (wt), were compared.	gpt-3.5-turbo	['Conditional gene deletion', 'Inducible Cre allele', 'Floxed allele', 'Tamoxifen administration', 'Dissection', 'RNA extraction', 'RNA purification', 'Quality and quantity measurement', 'Illumina sequencing', 'Library generation', 'Hybridization', 'Differential gene expression analysis', 'Pathway analysis']
GSE56068	Immortalization of T-cells is accompanied by gradual changes in CpG methylation resulting in a profile resembling a subset of T-cell leukemias [methylation]	We have previously described gene expression changes during spontaneous immortalization of T cells, thereby identifying cellular processes important for cell growth crisis escape and long term proliferation. Here we analyze the same model to investigate the role of genome-wide methylation in the immortalization process at different time points pre- and post- crisis using high-resolution arrays. We show that over time in culture there is an overall accumulation of methylation alterations, with  preferential increased methylation close to transcription start sites, island and shore regions.  Interestingly, the pattern of CpG site methylation observed in post-crisis T-cell cultures was similar to clinical T-cell acute lymphoblastic leukemia (T-ALL) samples classified as CpG island methylator phenotype positive (CIMP+). These sites were highly overrepresented by polycomb target genes and involved in developmental, cell adhesion and cell signaling processes. The presence of nonrandom methylation events in in vitro immortalized T-cell cultures and diagnostic T-ALL samples indicates altered methylation of CpG sites with a possible role in malignant hematopoiesis. Bisulphite converted DNA from the Cell culture and leukemia samples were hybridised to the Illumina Infinium 450k Human Methylation Beadchip	gpt-3.5-turbo	['Immortalization of T-cells', 'High-resolution arrays', 'Bisulphite conversion', 'DNA hybridization', 'Illumina Infinium 450k Human Methylation Beadchip']
GSE125941	FET fusion oncoprotein-regulated genes in HT1080 cell line	Some specific sarcomas and leukemias are defined by characteristic FET (FUS, EWSR1, TAF15) fusion oncogenes. Myxoid liposarcoma and Ewing sarcoma are the most common entities characterized by FUS-DDIT3 and EWSR1-FLI1, respectively. Here, we performed whole transcriptome analysis of HT1080 cells with either ectopic FUS-DDIT3 or ectopic EWSR1-FLI1 expression. Four different variants of HT1080 fibrosarcoma cells were analyzed using RNA sequencing: native HT1080 cells, HT1080 cells expressing EGFP, HT1080 cells expressing FUS-DDIT3-EGFP and HT1080 cells expressing EWSR1-FLI1-EGPF were analyzed (n = 3 -4).	gpt-3.5-turbo	['RNA sequencing', 'Whole transcriptome analysis']
ReframeDB_A00520	COVID-19 Nsp14 Guanine-N7-methyltransferase counterscreen assay	Secondary counterscreen assay for Nsp14 methyltransferase hits will utilize a commercially available bioluminescence-based biochemical assay (MTase-Glo, Promega). Purpose A commercially available bioluminescence-based biochemical assay kit (MTase-Glo, Promega) was utilized to measure methyltransferase activity for the ReFRAME primary screen. Nsp14 activity requires S-adenosyl methionine (SAM) to act as the methyl donor, converting it to S-adenosyl homocysteine (SAH) as it is consumed. At assay termination, a series of kit provided coupled reactions converts SAH to light: the SAH reaction product is converted to adenosine by SAH-hydrolase; then to AMP by adenosine kinase; then to ADP by polyphosphate:AMP phosphotransferase; then to ATP by pyruvate kinase. Finally, luciferase converts ATP to light, which is detected on a luminometer. These subsequent coupled reactions have the potential to be inhibited and picked up as false hits in the primary screen. Therefore, a counterscreen will be performed by omitting nsp14 from the reaction mix and replacing with SAH to simulate completed methyltransferase reaction conditions, and proceeding with the coupled reactions in the presence of drugs. Any inhibition observed would be indicative of off-target activity and/or false hits.  Protocol In 384 plates pre-loaded with test compounds, 1 ÂµM SAH in buffer containing 40 mM Tris-HCl (pH 8), 2 mM MgCl2, and 2 mM DTT is incubated at 37Â°C for 1 hr in the presence of MTase-GloTM reagent. Then, an equal volume of MTase-GloTM detection solution is then added to all wells and incubated for an additional 1 hr at room temperature. Luminescence is measured on a luminometer. Readout Assay read out is luminescence. Normalization to DMSO control.  Detection Method luminescence signals measured on a luminometer. Detection Reagents Kit supplied MTase-Glo detection solution. Components SAH; MTase-Glo reagent; MTase-Glo detection solution. Drug Concetration 10 nL for 10 ÂµL assay volume at 10 ÂµM 	gpt-3.5-turbo	['Counterscreen assay', 'Bioluminescence-based biochemical assay', 'High-throughput screening', 'Luminometer measurement']
ReframeDB_A00350	hRSV High Throughput Screen	The high throughput cell-based HTS-system based on recombinant human respiratory syncytial virus type A GFP reporter virus (hRSV-A_GFP) identifies anti-hRSV compounds. HRSV is a major cause for acute lower respiratory infections (ALRI) in infants, the elderly and immunocompromised patients. Purpose hRSV is a globally distributed viral pathogen causing respiratory disease in humans. The high throughput cell-based HTS-system employs a recombinant hRSV-A strain encoding GFP fluorescent protein as reporter. Since the GFP gene is an integral part of the modified RSV genome, GFP fluorescence reflects efficiency of RSV infection and replication. A human epithelial cell line (HEp-2) is infected with hRSV-A_GFP viruses in presence of test compounds. Subsequently, GFP-fluorescence is quantified. The intensity of GFP fluorescence reflects RSV infection efficiency and is used as a marker to quantify antiviral efficacy of test compounds. In parallel, cell viability is examined by use of an MTT test. The MTT test examines metabolic activity of cultured cells. This information is used to distinguish between compounds with antiviral activity and cytotoxic molecules which destroy cells and therefore indirectly inhibit virus infection. Protocol HEp-2 cells are seeded in a clear bottom 384-well plates. Compounds are added together with the virus (MOI 0.5) 24h post seeding. Synagis, an antibody against the pre-fusion hRSV F-protein, is used as an inhibitory control and same volume of DMSO is used as the neutral control. Readout 48h p.i. supernatant is removed and PBS is added to the cells. GFP signals are measured in live, unfixed cells using a Biotek Cytation 3 Cell Imaging Multi-Mode Reader; the same imaging reader is used to measure an MTT assay used to determine cell viability. Detection Method high content fluorescence measurement Detection Reagents green fluorescent protein (GFP), MTT substrate (3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyl tetrazolium bromide) Components HEp-2 (human epithelial cell line) Drug Concetration 5  Ã‚ÂµM	gpt-3.5-turbo	['High throughput screening', 'Recombinant viral reporter system', 'Cell-based assay', 'Green fluorescent protein (GFP) reporter', 'Fluorescence quantification', 'MTT assay', 'Cell viability measurement', 'Biotek Cytation 3 Cell Imaging Multi-Mode Reader']
ReframeDB_A00167	Zika cytopathic effect inhibition in neuroblastoma cells (SH-SY5Y)	Inhibitors for cytopathic effects induced by Zika virus in SH-SY5Y neuroblastoma cells Purpose This assay is designed to identify inhibitors of CPE induced by Zika virus in a 4 day assay using SH-SY5Y cells. The Zika virus MR766 strain is non-virulent, experiments are carried out using BSL2 practices. SH-sy5y is a neuroblastoma cell line that is more relevant than Vero cells and permissive to Zika, the viral titer was measured by plaque assay (current titer: 90 million PFU/mL) and stored at -80C in culture medium. Protocol Compounds are pre-spotted into white solid 384, TC treated plates. Next, dispense 40uL/well of SH-sy5y cells (20,000 cells/well; medium: MEM:F12=1:1, FBS=2%, NEAA 1x)into the assay plates. Incubate assay plates at 37C for 2h then add 10uL/well of the Zika virus suspension (MOI=1.0). Incubate at 37C for 4 days. After the incubation period, dispense CellTiterGlo at 20uL/well (1:2 dilution with water)and let sit for 10 min at RT before reading luminescence signal on the Perkin Elmer ViewLux. Readout Luminescence, Normalized to stimulators minus neutral control Detection Method celltiterglo is used for the detection of atp as a measurement of cell viability. Detection Reagents CellTiterGlo Components SH-sy5y neuroblastoma cells; CelltiterGlo Drug Concetration 2.5  Ã‚ÂµM	gpt-3.5-turbo	['Assay design', 'Cell culture', 'Plaque assay', 'Storage in culture medium', 'Pre-spotting into plates', 'Dispensing cells', 'Incubation', 'Virus suspension addition', 'Luminescence reading', 'Normalization', 'ATP measurement', 'Cell viability measurement']
ReframeDB_A00398	Small Molecule Inducer of MDS Stem Cell Differentiation	Primary CD34+ stem cells isolated from bone marrow of MDS patient or MDS cell line will be used for this assay. GlyA will be used as a marker of erythrocyte lineage differentiation.    Purpose In MDS, some of the cells in the bone marrow are abnormal (dysplastic) and have problems making new blood cells. Many of the blood cells formed by these bone marrow cells are defective. Defective cells often die earlier than normal cells, and the body also destroys some abnormal blood cells, leaving the person without enough normal blood cells. Currently, the therapeutic treatment for MDS is limited to chemotherapy therapies or epigenetic modulators and response rate is fairly low. Due to the cause of MDS is primarily defect in cell differentiation, strategy that alters MDS stem cell differentiation potential with small molecule holds promise to treat MDS disease.   Protocol In screening with primary MDS cells, CD34+ selection from bone marrow biopsy of MDS patient will be performed to isolate MDS stem cell.  MDS stem cells will be cultured in expansion media for 4 days and switch to myeloid/erythroid differentiation media for another 3 days. Cells will be seeded at 2000 cells/well in 50 uL differentiation media and exposed to compound at 2 uM for 4 days. This is an imaging based assay, by the end of day 4, cells will be stained with anti GlyA antibody and scanned with cellomics. Increase in percentage of GlyA+ cells are expected with hit compounds. In screening to MDS cell line (similar to primary MDS cells), increase in GlyA+ cells are expected with hits. Different than with primary cells, this assay is a flow cytometry based assay and the cells will be seeded at 20,000 cells/well in 50 uL.  Readout GlyA+ cell population Detection Method imaging and flow cytometry Detection Reagents Antibody Components Human Drug Concetration 2  Ã‚ÂµM	gpt-3.5-turbo	['CD34+ selection', 'Cell culture', 'Cell staining', 'Imaging', 'Flow cytometry']
ReframeDB_A00343	Dengue Virus antivirals	Identification of chemical compounds inhibiting DENV-2 replication Purpose Antigen-antibody reactions are one of the most specific biological interactions. Antibody based detection of viral antigen represents one of the best ways to confirm viral infection. We use this method as a specific, scalable and quantifiable technique to measure viral infection. Cells (of choice) are treated with compounds at predetermined conditions (concentration, time, sequence) followed by challenge with the virus. After the predetermined time window, when sufficient viral protein is detectable, cells are fixed. Either fluorescently conjugated antibodies specific to viral protein/s or specific primary antibody followed by fluorescently labeled secondary antibody are used to detect viral antigen. Fluorescent DNA or cell membrane binding dyes are used to get an estimate of total cell numbers. Cells stained with these reagents are imaged on an automated microscope. Image analysis software is used to count the number of cells that are positive for viral antigen (a direct correlate of infection), level of fluorescence (bright or dim: another parameter indicative of the level of replication) and total cell numbers. Comparison of these parameters among treated and untreated groups gives the estimate of compound activity. If different doses for treatment of cells are used, dose response curves can be generated that enable estimation of IC-50s and IC-90s. Protocol In the primary screen, 2,250 Huh-7.5 cells resuspended in 40 µl of DMEM supplemented with 10% FBS are plated in 384-well plates preliminary spotted with chemical compounds at a final concentration of 10 µM. 16 hours post seeding, 10 µl of diluted DENV-2 (MOI=5) are added to each well. 24 hours after the addition of the virus, cells are fixed by addition of 50 µl of 8% PFA to each well for 30 minutes. An immunofluorescence targeting DENV-2 envelope protein, followed by nuclei staining will be performed in order to quantify the percentage of infected cells. Briefly, cells will be permeabilized with 0.2% Triton-X100. After blocking 30 min with PBS supplemented with 3% BSA, cells will be incubated 1h with primary antibody anti-DENV envelope mouse (1 µg/ml). After two washing steps with PBS, cells will be incubated another hour with anti-mouse Alexa488 secondary antibody (1/2500 dilution) and DAPI. After two additional washed with PBS, cells will be finally resuspended in 25 µl of PBS and plates will be sealed with aluminium foils. Readout Immunofluorescence (Alexa488 and DAPI staining) Detection Method the percentage of infection will be calculated as the ratio of denv-2-envelope stained cells over the total amount of cells in each well. data will be normalized to the median of the percentage of infection within each plate. zâ€™ for each plate will be calculated following the equation zâ€™ =1-[(3sc++3sc-)/(|âµc+-âµc-|)]; (c+:wells treated with dmso;  c-: wells treated with the dhodh inhibitor a3).  compounds reducing denv-2 percentage of infection of at least 50%, will be tested in ic50 and cc50 assays. prism will be used to calculate ic50 and cc50 values using a non-linear regression curve fit. Detection Reagents Anti-mouse Alexa488 secondary antibody, DAPI Components Human Huh-7.5 cells infected with Dengue Virus (strain 17D) Drug Concetration 10  Ã‚ÂµM	gpt-3.5-turbo	['Antigen-antibody reactions', 'Fluorescently conjugated antibodies', 'Fluorescent DNA or cell membrane binding dyes', 'Automated microscope imaging', 'Image analysis', 'Immunofluorescence staining', 'Nuclei staining', 'Permeabilization', 'Blocking', 'Primary antibody incubation', 'Secondary antibody incubation', 'Immunofluorescence quantification', 'Plate sealing', "Z' calculation", 'IC50 and CC50 assays', 'Non-linear regression curve fit']
ReframeDB_A00252	Male Contraceptive Screen (Motility)	High-throughput screen for male contraceptive targeting sperm motility Purpose The Gates Foundation has identified the need for a male contraceptive. We have developed a dual readout phenotypic assay to screen for sperm function: 1) Multiple sperm motility parameters are measured using high-throughput live cell microscopy and cell tracking; 2) the status of the acrosome (a sperm specific Golgi-derived organelle) is measured using high-throughput flow cytometry.  The assays are in 384-well format and because they run sequentially which leads to a massive increase in throughput as compared to previous attempts in human sperm drug screening and allows for very efficient use of donor sample material. The assay is fully automated, flexible (screen for increased and decreased motility, acrosome agonists or antagonists) and extendible (e.g. for Ca2+ measurements). Furthermore, we have developed automated data analysis workflows to track sperm cells (motility assessment) and to gate sperm population (acrosome assessment).   Protocol Compounds are pre-spotted onto 384w black clear bottom microtiter plates (Perkin Elmer 6007550) at 6.25 uM for primary screen and 10uM top concentration for dose response. Human sperm from pooled donors is prepared, diluted, and dispensed 20uL into assay pre-spotted plates. Controls is added to columns 23/24. The plates are incubated for 10 minute at 37C and moved to CV7000 for fast imaging to look for sperm motility. The plates are then removed and stain and control are added for the acrosome reaction. The plates are incubated and moved to iQue screener for flow cytometry. Both data sets are processed using custom informatics solution. Readout Brightfield imaging, object tracking and velocity measurement and well average normalized to DMSO average of plate. Detection Method motility is measured by recording 2 positions per well. the sperm is tracked and velocity is calculated with the well average normalized to the dmso average of plate Detection Reagents none Components donated human sperm Drug Concetration 6.25  Ã‚ÂµM	gpt-3.5-turbo	['High-throughput live cell microscopy', 'Cell tracking', 'Flow cytometry', 'Automated data analysis workflows', 'Microtiter plates', 'Brightfield imaging', 'Object tracking', 'Velocity measurement']
ReframeDB_A00230	Identification of inhibitors of multiplication in cultured cells of the prototypic mammarenavirus lymphocytic choriomeningitis virus (LCMV)	Identification of inhibitors targeting any of the steps of multiplication in cultured cells of the prototypic mammarenavirus lymphocytic choriomeningitis virus (LCMV). Purpose Several mammarenaviruses, chiefly Lassa virus (LASV) in West Africa, cause hemorrhagic fever (HF) disease in humans and pose a serious public health problem in their endemic regions. Thus, LASV infects several hundred thousand individuals yearly in West Africa resulting in a high number of Lassa fever (LF) cases associated with high morbidity and mortality. Notably, increased traveling to and from endemic regions has led to the importation of LF into non-endemic metropolitan areas around the globe. In addition, evidence indicates that the worldwide-distributed prototypic mammarenavirus LCMV is a neglected important human pathogen of clinical significance. Moreover, because their stability, high morbidity and potential for aerosol transmission together with their unrestricted source from their natural rodent hosts, LASV and other HF mammarenaviruses pose a credible biodefense threat.  Concerns about mammarenavirus infections of humans are aggravated by the lack of US-FDA licensed vaccines and current anti-arenavirus therapy being restricted to ribavirin, which is only partially effective and associated with side effects. Therefore, there is an unmet need for the development of novel antiviral drugs to combat mammarenavirus infections. To this end, we have developed a robust cell-based assay to identify inhibitors of LCMV multiplication in cultured cells. The assay is based on the use of a recombinant LCMV expressing the ZsGreen reporter gene (rLCMV/ZsG). Levels of ZsGreen expression serve as surrogate of levels of virus multiplication. The assay has parameters compatible with HTS (S/B > 10, CV ‚â§ 10% and Z‚Äô > 0.5).  Primary hits will be subjected to secondary screens for confirmation and authentication and to rule out false positives. Validated hits will be used in dose-response assays to assess their potency (EC50) and toxicity (CC50), and hits with the highest selectivity index (SI, SI = CC50/EC50) and biological properties of interest will be advanced to studies using an already developed battery of cell-based assays to identify the steps of the virus life cycle being targeted by the hits uncovered by the screen, as well as to test their activity against LASV.  Protocol Compounds are pre-spotted onto Greiner 384w black clear bottom. Primary screen of the ReFrame library is conducted at a single dose of 10 ŒºM final concentration per compound. DMSO (0.001%) is used as vehicle negative control and Ribavirin (100 uM ¬µM final concentration), a validated inhibitor of LCMV multiplication, is used as a positive control. Vero cells (1x106 cells/well, M6 plate) are infected for 1h with rLCMV/ZsGreen at moi = 0.01. After 1 hour infection, a single cell suspension is prepared and seeded at 103 cells/ 384 well, 30 ¬µl/well in DMEM containing 10% FBS. After 48 hour infection at 37 C, 5% CO2, 15 ul ¬µl of 12% PFA- PBS is added (4% PFA final concentration) and cells are fixed for 30 min, followed by removal of fixative, and 1x wash with PBS. Cells are stained with DAPI for 15 min at room temperature, followed by two washes with PBS. ZsGreen expression levels and DAPI staining levels are quantified using a fluorescent plate reader (Advanced Hybrid microplate reader Synergy H4) using the appropriate wavelengths to both excite and to measure emission of ZsGreen. Similarly, the appropriate wavelengths are selected for measurement of DAPI levels. Preliminary hits are identified based on low toxicity (cell biomass >60%, as determined by DAPI staining) and strong (>50%) inhibition of ZsGreen expression compared to vehicle-treated and infected cells. Primary hits are confirmed in the same assay format by a repeat experiment using three replicate wells per compound. Confirmed hits are tested in a dose-response assay and EC50 and CC50 values calculated (Prism using a non-linear regression curve fit). Readout ZsGreen expression levels are quantified using a fluorescent plate reader (Advanced Hybrid microplate reader Synergy H4), using the appropriate wavelengths to both excite and to measure emission of ZsGreen. Similarly, the appropriate wavelengths are selected for measurement of DAPI levels.   Percent inhibition of ZsGreen expression levels (as a measure of viral LCMV multiplication) is calculated by dividing the fluorescent level of the compound treated cells (test well) by the average fluorescent level (average of 8 wells) in DMSO treated wells, and values normalized to % multiplying by 100.  Values for ribavirin-treated control samples (8 wells) are calculated in the same way. DAPI levels are compared similarly to DMSO control levels as a measure of cell biomass. Levels of ZsGreen expression in ribavirin-treated control wells are consistently < 5% of those obtained in vehicle (DMSO)-treated control wells. Mock-infected cells have a consistent small background fluorescence that can be subtracted from both compound- treated and control wells before determining percentage inhibition. Detection Method quantification of zsgreen expression levels by determining fluorescence levels in wells containing pfa fixed cells. dapi staining as surrogate of biomass levels. Detection Reagents Determination of ZsGreen expression levels do not need reagent addition (fluorescent protein is synthesized by the virus in infected cells). DAPI Components Vero cells infected with rLCMV/ZsGreen Drug Concetration 10  Ã‚ÂµM	gpt-3.5-turbo	['High-throughput screening (HTS)', 'Cell-based assay', 'Recombinant virus assay', 'Dose-response assay']
ReframeDB_A00357	Screening for modulators for FLYC1, mechanically activated ion channel 	Identification the modulators of the FLYC1, mechanically activated ion channels, by Ca2+ recording with FLIPR Purpose Venus flytrap responds to touch by rapid leaf movements triggered by touch-induced action potentials to capture animals for nutrient acquisition. We identify the FLYC1 ion channels required for the touch response in Venus flytrap that are preferentially expressed in trigger hairs. In order to find agonist of the channel, we plan to use the Calibr ReFrame library (1200 compounds) for high throughput cellular fluorescent and luminescent screening assays. Using the FLIPR Tetra system, HEK cells expressing Yellow Fluorescent proteins whose bio-fluoresce is quenched upon the addition of anionic compounds, as well as the trans-membrane Ion Channel FlyC1, will be seeded with 20,000cells per well in 384 well plates. The fluoresce of the compounds will be recorded in live.  Protocol Using the FLIPR Tetra system, HEK cells expressing Yellow Fluorescent proteins whose bio-fluoresce is quenched upon addition of anionic compounds as well as the trans-membrane Ion Channel FlyC1 were seeded with 20,000 cells per well in 384 well plates. The fluoresce of the compounds were recorded in live time before and after the addition of the ReFrame library to record the change in fluorescent illumination upon the addition of the compound. Compounds are pre-spotted onto white 384 well microtiter plate. During FLIPR experiment, we add 20ul directly into the each well of cell plates that covered by 20ul of buffer. So, the final working compound concentration will be 10uM, and this requires the pre-spotted compound concentration is 20uM.  Readout Fluorescent intensity in compare to buffer as neutral control Detection Method high-content imaging; hyposomtic buffer is used as positive controls, and isotonic buffer is the neutral control.  Detection Reagents YFP protein 485/521 Components HEK_YFP cells and compound  Drug Concetration 50nl	gpt-3.5-turbo	['Cellular fluorescent screening assays', 'Luminescent screening assays', 'High throughput screening', 'FLIPR Tetra system', 'Live cell imaging', 'High-content imaging']
ReframeDB_A00386	XDR Acinetobacter baumannii amikacin potentiation	Identification of potentiators of amikacin against XDR Acinetobacter baumannii via growth inhibition assay Purpose The goal of this screen is to identify compounds in the ReFRAME library that potentiate the efficacy of the aminoglycoside amikacin against extensively drug-resistant (XDR) A. baumannii. Aminoglycosides such as amikacin are important therapeutic options for treating nosocomial Gram-negative infections, but resistant isolates are increasingly reported. Mechanistically, aminoglycosides have the dual advantage of inhibiting protein synthesis, thereby decreasing the expression of bacterial toxins and resistance-mediating enzymes, and permeabilizing the outer membrane. The 384-well screen identifies inhibitors of globally prevalent XDR A. baumannii strains, either through potentiation of amikacin and/or direct growth inhibition. This screen is performed following the European Committee on Antimicrobial Susceptibility Testing (EUCAST) guidelines, which recommends using the International Organization for Standardization (ISO) reference methods for drug susceptibility testing (ISO 20776-1:2019). These guidelines were adapted to 384-well format to accommodate high-throughput screening and primary screening at single concentration. Protocol Compounds will be pre-spotted onto 384 well microtiter plate (columns 3-22) at 20 ÂµM for primary screen and 40 ÂµM top concentration for dose response together with a fixed subinhibitory concentration of amikacin corresponding to approximately 1/3 x MIC50 against the XDR A. baumannii strains. 5 x 105 CFU/mL of bacteria in Cation-Adjusted Mueller-Hinton Broth (CAMHB) are then dispensed to wells in columns 1-24 to a final volume of 50 Î¼l per well. Control conditions are bacteria only with DMSO (negative control), bacteria plus amikacin at the selected combination screen concentration (to be determined) and bacteria plus positive drug control apramycin (at 4x MIC). Plate are incubated for 20h at 37Â°C and optical density at 600 nm (OD600) read with a multimode plate reader. Readout Growth inhibition after 20h incubation measured by OD600 Detection Method optical density at 600 nm (od600) Detection Reagents None Components Acinetobacter baumannii Drug Concetration 20 ÂµM final concentration in A3-P22 (100 nL dispensed from 10 mM stock); Backfill with 400 nL DMSO for total volume in the well of 500 nL	gpt-3.5-turbo	['Growth inhibition assay', 'High-throughput screening', 'Drug susceptibility testing', 'Microtiter plate assay', 'Optical density measurement']
ReframeDB_A00213	Crypto-HCT-8 Host Cells (Wild C. parvum)	Cell-based assay which allows for concomitant measurement of Cryptosporidium parasite inhibition and host cell cytotoxicity using high-content imaging detection Purpose This is a secondary assay for hits active against C. parvum IOWA (Sterling and Bunch Grass Farm strains). Cryptosporidium parvum and the related species Cryptosporidium hominis cause diarrheal disease in humans. The current standard of care is ineffective in patients most at risk of cryptosporidiosis. This is a concomitant readout from the high-content imaging-based high-throughput screen of the full deck against the protozoan pathogen Cryptosporidium parvum. HCI detection of this cell-based assay allows for concomitant measurement of Cryptosporidium parasite inhibition and host cell cytotoxicity. Protocol This specific ID is for HCT-8 host cells infected with field isolates of C. parvum, which were isolated from naturally infected calves at Washington State University by the Zambriski lab. For the assay, HCT-8 cells are seeded into 1536-well clear-bottom plates and incubated at 37C. 24 hours later, compounds are transferred (1.88 uM for primary screening and 25 uM top concentration for dose-response), and then excysted Cryptosporidium sporozoites and oocysts are dispensed onto cells. 48 hours later, cells are fixed with 4% paraformaldehyde. Cells are then washed, permeabilized with 0.25% Triton X-100 in PBS, blocked with SuperBlock (Thermo), and finally stained with a 1:10 dilution of Superblock with 1ug/mL FITC-tagged Vicia Villosa lectin and 3uM DAPI nuclear stain. Cells are then washed with PBS-T to remove residual stain and plates are sealed with aluminum adhesive seals. Plates are imaged (10x objective) on the CX5 Cellomics imager using the SpotDetector algorithm. Compounds that inhibit Cryptosporidium proliferation by >= 70% and do not inhibit HCT-8 growth by more than 40% are picked for dose response testing. Readout After 48 hours, the infected cells are fixed, stained, and imaged. Cell count is the readout. Can you provide more information about the staining procedure, stains and algorithm used to quantify? Detection Method high-content imaging; puromycin is used as a positive control, and dmso is the neutral control. selected object counts are normalized by neutral controls minus inhibitors. Detection Reagents DAPI 386/440 Components C. parvum-infected HCT-8 host cells; Detection reagent Drug Concetration 2  Ã‚ÂµM	gpt-3.5-turbo	['High-content imaging detection', 'Cell-based assay', 'High-throughput screening', 'Fluorescence microscopy', 'Staining procedure validation']
