	name	dup_counts
3718	Binary black-hole simulation SXS:BBH:0753	2
3719	Binary black-hole simulation SXS:BBH:0754	2
3720	Binary black-hole simulation SXS:BBH:0755	3
3723	Binary black-hole simulation SXS:BBH:0758	2
3725	Binary black-hole simulation SXS:BBH:0760	4
3726	Binary black-hole simulation SXS:BBH:0761	4
3727	Binary black-hole simulation SXS:BBH:0762	3
3730	Binary black-hole simulation SXS:BBH:0765	4
3731	Binary black-hole simulation SXS:BBH:0766	3
3732	Binary black-hole simulation SXS:BBH:0767	4
3733	Binary black-hole simulation SXS:BBH:0768	3
3734	Binary black-hole simulation SXS:BBH:0769	2
3737	Binary black-hole simulation SXS:BBH:0774	2
3738	Binary black-hole simulation SXS:BBH:0776	2
3739	Binary black-hole simulation SXS:BBH:0777	3
3740	Binary black-hole simulation SXS:BBH:0778	3
3741	Binary black-hole simulation SXS:BBH:0779	2
3742	Binary black-hole simulation SXS:BBH:0780	3
3743	Binary black-hole simulation SXS:BBH:0781	2
3744	Binary black-hole simulation SXS:BBH:0782	4
3745	Binary black-hole simulation SXS:BBH:0783	2
3746	Binary black-hole simulation SXS:BBH:0784	2
3747	Binary black-hole simulation SXS:BBH:0785	3
3749	Binary black-hole simulation SXS:BBH:0787	2
3750	Binary black-hole simulation SXS:BBH:0788	2
3751	Binary black-hole simulation SXS:BBH:0789	3
3752	Binary black-hole simulation SXS:BBH:0790	2
3753	Binary black-hole simulation SXS:BBH:0791	2
3754	Binary black-hole simulation SXS:BBH:0793	3
3755	Binary black-hole simulation SXS:BBH:0795	2
3756	Binary black-hole simulation SXS:BBH:0796	2
3757	Binary black-hole simulation SXS:BBH:0797	2
3760	Binary black-hole simulation SXS:BBH:0800	2
3761	Binary black-hole simulation SXS:BBH:0801	3
3763	Binary black-hole simulation SXS:BBH:0804	3
3764	Binary black-hole simulation SXS:BBH:0805	2
3766	Binary black-hole simulation SXS:BBH:0807	2
3767	Binary black-hole simulation SXS:BBH:0808	2
3770	Binary black-hole simulation SXS:BBH:0812	2
3771	Binary black-hole simulation SXS:BBH:0814	3
3772	Binary black-hole simulation SXS:BBH:0815	2
3776	Binary black-hole simulation SXS:BBH:0819	2
3779	Binary black-hole simulation SXS:BBH:0822	3
3780	Binary black-hole simulation SXS:BBH:0823	2
3783	Binary black-hole simulation SXS:BBH:0826	2
3784	Binary black-hole simulation SXS:BBH:0828	2
3786	Binary black-hole simulation SXS:BBH:0830	2
3787	Binary black-hole simulation SXS:BBH:0831	2
3789	Binary black-hole simulation SXS:BBH:0834	2
3790	Binary black-hole simulation SXS:BBH:0835	3
3792	Binary black-hole simulation SXS:BBH:0837	3
3793	Binary black-hole simulation SXS:BBH:0838	2
3795	Binary black-hole simulation SXS:BBH:0840	2
3796	Binary black-hole simulation SXS:BBH:0841	2
3797	Binary black-hole simulation SXS:BBH:0842	3
3799	Binary black-hole simulation SXS:BBH:0844	2
3801	Binary black-hole simulation SXS:BBH:0846	2
3802	Binary black-hole simulation SXS:BBH:0847	3
3804	Binary black-hole simulation SXS:BBH:0850	3
3805	Binary black-hole simulation SXS:BBH:0851	2
3810	Binary black-hole simulation SXS:BBH:0856	3
3812	Binary black-hole simulation SXS:BBH:0858	2
3815	Binary black-hole simulation SXS:BBH:0862	2
3817	Binary black-hole simulation SXS:BBH:0864	2
3818	Binary black-hole simulation SXS:BBH:0866	3
3822	Binary black-hole simulation SXS:BBH:0870	3
3826	Binary black-hole simulation SXS:BBH:0874	4
3827	Binary black-hole simulation SXS:BBH:0875	4
3828	Binary black-hole simulation SXS:BBH:0876	3
3829	Binary black-hole simulation SXS:BBH:0877	3
3830	Binary black-hole simulation SXS:BBH:0878	2
3831	Binary black-hole simulation SXS:BBH:0879	2
3833	Binary black-hole simulation SXS:BBH:0881	3
3834	Binary black-hole simulation SXS:BBH:0882	2
3836	Binary black-hole simulation SXS:BBH:0884	2
3837	Binary black-hole simulation SXS:BBH:0885	2
3838	Binary black-hole simulation SXS:BBH:0886	4
3840	Binary black-hole simulation SXS:BBH:0888	2
3841	Binary black-hole simulation SXS:BBH:0889	3
3843	Binary black-hole simulation SXS:BBH:0891	2
3844	Binary black-hole simulation SXS:BBH:0892	4
3845	Binary black-hole simulation SXS:BBH:0895	3
3846	Binary black-hole simulation SXS:BBH:0896	2
3849	Binary black-hole simulation SXS:BBH:0899	2
3853	Binary black-hole simulation SXS:BBH:0903	2
3854	Binary black-hole simulation SXS:BBH:0904	3
3857	Binary black-hole simulation SXS:BBH:0909	2
3858	Binary black-hole simulation SXS:BBH:0910	2
3859	Binary black-hole simulation SXS:BBH:0911	4
3860	Binary black-hole simulation SXS:BBH:0912	2
3861	Binary black-hole simulation SXS:BBH:0913	2
3862	Binary black-hole simulation SXS:BBH:0914	2
3863	Binary black-hole simulation SXS:BBH:0915	4
3864	Binary black-hole simulation SXS:BBH:0917	3
3866	Binary black-hole simulation SXS:BBH:0920	2
3868	Binary black-hole simulation SXS:BBH:0923	4
3870	Binary black-hole simulation SXS:BBH:0925	2
3871	Binary black-hole simulation SXS:BBH:0926	2
3872	Binary black-hole simulation SXS:BBH:0927	4
3874	Binary black-hole simulation SXS:BBH:0929	3
3875	Binary black-hole simulation SXS:BBH:0930	2
3876	Binary black-hole simulation SXS:BBH:0932	2
3878	Binary black-hole simulation SXS:BBH:0934	2
3879	Binary black-hole simulation SXS:BBH:0935	2
3881	Binary black-hole simulation SXS:BBH:0937	2
3883	Binary black-hole simulation SXS:BBH:0939	2
3884	Binary black-hole simulation SXS:BBH:0940	2
3885	Binary black-hole simulation SXS:BBH:0941	3
3886	Binary black-hole simulation SXS:BBH:0942	2
3888	Binary black-hole simulation SXS:BBH:0944	4
3889	Binary black-hole simulation SXS:BBH:0946	3
3890	Binary black-hole simulation SXS:BBH:0947	2
3891	Binary black-hole simulation SXS:BBH:0948	2
3892	Binary black-hole simulation SXS:BBH:0949	2
3893	Binary black-hole simulation SXS:BBH:0950	2
3894	Binary black-hole simulation SXS:BBH:0952	2
3895	Binary black-hole simulation SXS:BBH:0953	3
3896	Binary black-hole simulation SXS:BBH:0954	4
3897	Binary black-hole simulation SXS:BBH:0955	2
3898	Binary black-hole simulation SXS:BBH:0956	3
3899	Binary black-hole simulation SXS:BBH:0957	2
3900	Binary black-hole simulation SXS:BBH:0958	3
3901	Binary black-hole simulation SXS:BBH:0959	2
3902	Binary black-hole simulation SXS:BBH:0961	2
3907	Binary black-hole simulation SXS:BBH:0966	3
3909	Binary black-hole simulation SXS:BBH:0968	3
3910	Binary black-hole simulation SXS:BBH:0969	2
3912	Binary black-hole simulation SXS:BBH:0971	2
3913	Binary black-hole simulation SXS:BBH:0972	3
3915	Binary black-hole simulation SXS:BBH:0974	3
3917	Binary black-hole simulation SXS:BBH:0976	3
3918	Binary black-hole simulation SXS:BBH:0977	2
3920	Binary black-hole simulation SXS:BBH:0979	3
3923	Binary black-hole simulation SXS:BBH:0984	4
3924	Binary black-hole simulation SXS:BBH:0985	4
3925	Binary black-hole simulation SXS:BBH:0986	2
3926	Binary black-hole simulation SXS:BBH:0987	2
3928	Binary black-hole simulation SXS:BBH:0989	2
3930	Binary black-hole simulation SXS:BBH:0991	2
3933	Binary black-hole simulation SXS:BBH:0996	2
3934	Binary black-hole simulation SXS:BBH:0998	2
3936	Binary black-hole simulation SXS:BBH:1001	2
3938	Binary black-hole simulation SXS:BBH:1004	2
3941	Binary black-hole simulation SXS:BBH:1007	2
3942	Binary black-hole simulation SXS:BBH:1008	2
3943	Binary black-hole simulation SXS:BBH:1009	2
3944	Binary black-hole simulation SXS:BBH:1010	2
3945	Binary black-hole simulation SXS:BBH:1011	2
3948	Binary black-hole simulation SXS:BBH:1014	2
3949	Binary black-hole simulation SXS:BBH:1015	3
3950	Binary black-hole simulation SXS:BBH:1016	2
3951	Binary black-hole simulation SXS:BBH:1017	2
3952	Binary black-hole simulation SXS:BBH:1018	2
3953	Binary black-hole simulation SXS:BBH:1019	2
3955	Binary black-hole simulation SXS:BBH:1021	2
3956	Binary black-hole simulation SXS:BBH:1022	2
3957	Binary black-hole simulation SXS:BBH:1023	3
3958	Binary black-hole simulation SXS:BBH:1024	2
3959	Binary black-hole simulation SXS:BBH:1025	3
3962	Binary black-hole simulation SXS:BBH:1028	2
3965	Binary black-hole simulation SXS:BBH:1031	2
3966	Binary black-hole simulation SXS:BBH:1033	2
3968	Binary black-hole simulation SXS:BBH:1035	2
3969	Binary black-hole simulation SXS:BBH:1036	4
3971	Binary black-hole simulation SXS:BBH:1038	3
3972	Binary black-hole simulation SXS:BBH:1039	2
3975	Binary black-hole simulation SXS:BBH:1043	2
3976	Binary black-hole simulation SXS:BBH:1044	2
3977	Binary black-hole simulation SXS:BBH:1045	2
3978	Binary black-hole simulation SXS:BBH:1046	2
3980	Binary black-hole simulation SXS:BBH:1048	3
3982	Binary black-hole simulation SXS:BBH:1050	2
3983	Binary black-hole simulation SXS:BBH:1051	2
3984	Binary black-hole simulation SXS:BBH:1052	2
3986	Binary black-hole simulation SXS:BBH:1054	3
3987	Binary black-hole simulation SXS:BBH:1055	2
3988	Binary black-hole simulation SXS:BBH:1057	2
3989	Binary black-hole simulation SXS:BBH:1058	2
3990	Binary black-hole simulation SXS:BBH:1059	2
3991	Binary black-hole simulation SXS:BBH:1061	2
3992	Binary black-hole simulation SXS:BBH:1062	2
3994	Binary black-hole simulation SXS:BBH:1064	2
3995	Binary black-hole simulation SXS:BBH:1065	2
3996	Binary black-hole simulation SXS:BBH:1066	4
3998	Binary black-hole simulation SXS:BBH:1068	2
4002	Binary black-hole simulation SXS:BBH:1072	2
4004	Binary black-hole simulation SXS:BBH:1074	2
4007	Binary black-hole simulation SXS:BBH:1078	3
4009	Binary black-hole simulation SXS:BBH:1081	2
4010	Binary black-hole simulation SXS:BBH:1083	4
4011	Binary black-hole simulation SXS:BBH:1087	3
4012	Binary black-hole simulation SXS:BBH:1088	3
4014	Binary black-hole simulation SXS:BBH:1091	2
4017	Binary black-hole simulation SXS:BBH:1095	2
4019	Binary black-hole simulation SXS:BBH:1097	3
4021	Binary black-hole simulation SXS:BBH:1100	3
4022	Binary black-hole simulation SXS:BBH:1101	2
4024	Binary black-hole simulation SXS:BBH:1103	2
4025	Binary black-hole simulation SXS:BBH:1104	2
4026	Binary black-hole simulation SXS:BBH:1105	2
4027	Binary black-hole simulation SXS:BBH:1106	3
4028	Binary black-hole simulation SXS:BBH:1109	2
4029	Binary black-hole simulation SXS:BBH:1110	3
4030	Binary black-hole simulation SXS:BBH:1111	3
4031	Binary black-hole simulation SXS:BBH:1112	2
4032	Binary black-hole simulation SXS:BBH:1113	4
4035	Binary black-hole simulation SXS:BBH:1122	2
4036	Binary black-hole simulation SXS:BBH:1123	2
4038	Binary black-hole simulation SXS:BBH:1125	2
4039	Binary black-hole simulation SXS:BBH:1126	2
4040	Binary black-hole simulation SXS:BBH:1127	2
4041	Binary black-hole simulation SXS:BBH:1128	2
4043	Binary black-hole simulation SXS:BBH:1130	4
4044	Binary black-hole simulation SXS:BBH:1131	2
4045	Binary black-hole simulation SXS:BBH:1132	2
4047	Binary black-hole simulation SXS:BBH:1134	2
4048	Binary black-hole simulation SXS:BBH:1135	2
4050	Binary black-hole simulation SXS:BBH:1137	2
4051	Binary black-hole simulation SXS:BBH:1138	4
4052	Binary black-hole simulation SXS:BBH:1139	3
4056	Binary black-hole simulation SXS:BBH:1144	3
4057	Binary black-hole simulation SXS:BBH:1145	3
4058	Binary black-hole simulation SXS:BBH:1146	2
4059	Binary black-hole simulation SXS:BBH:1147	2
4060	Binary black-hole simulation SXS:BBH:1149	2
4064	Binary black-hole simulation SXS:BBH:1153	3
4068	Binary black-hole simulation SXS:BBH:1158	2
4071	Binary black-hole simulation SXS:BBH:1162	2
4072	Binary black-hole simulation SXS:BBH:1163	2
4073	Binary black-hole simulation SXS:BBH:1164	2
4075	Binary black-hole simulation SXS:BBH:1166	2
4076	Binary black-hole simulation SXS:BBH:1167	2
4079	Binary black-hole simulation SXS:BBH:1171	4
4081	Binary black-hole simulation SXS:BBH:1175	2
4083	Binary black-hole simulation SXS:BBH:1177	2
4084	Binary black-hole simulation SXS:BBH:1178	2
4085	Binary black-hole simulation SXS:BBH:1180	2
4086	Binary black-hole simulation SXS:BBH:1181	2
4087	Binary black-hole simulation SXS:BBH:1182	2
4089	Binary black-hole simulation SXS:BBH:1185	4
4091	Binary black-hole simulation SXS:BBH:1187	2
4092	Binary black-hole simulation SXS:BBH:1188	2
4093	Binary black-hole simulation SXS:BBH:1189	2
4095	Binary black-hole simulation SXS:BBH:1191	5
4097	Binary black-hole simulation SXS:BBH:1193	2
4098	Binary black-hole simulation SXS:BBH:1194	3
4099	Binary black-hole simulation SXS:BBH:1195	2
4100	Binary black-hole simulation SXS:BBH:1196	2
4101	Binary black-hole simulation SXS:BBH:1197	3
4102	Binary black-hole simulation SXS:BBH:1198	3
4103	Binary black-hole simulation SXS:BBH:1199	2
4104	Binary black-hole simulation SXS:BBH:1201	3
4105	Binary black-hole simulation SXS:BBH:1202	3
4106	Binary black-hole simulation SXS:BBH:1203	2
4107	Binary black-hole simulation SXS:BBH:1204	2
4108	Binary black-hole simulation SXS:BBH:1205	3
4109	Binary black-hole simulation SXS:BBH:1206	2
4110	Binary black-hole simulation SXS:BBH:1207	2
4111	Binary black-hole simulation SXS:BBH:1209	3
4113	Binary black-hole simulation SXS:BBH:1211	2
4114	Binary black-hole simulation SXS:BBH:1212	3
4116	Binary black-hole simulation SXS:BBH:1215	2
4119	Binary black-hole simulation SXS:BBH:1218	3
4120	Binary black-hole simulation SXS:BBH:1221	2
4121	Binary black-hole simulation SXS:BBH:1222	2
4123	Binary black-hole simulation SXS:BBH:1224	4
4143	Binary black-hole simulation SXS:BBH:1271	2
4175	Binary black-hole simulation SXS:BBH:1348	2
4176	Binary black-hole simulation SXS:BBH:1350	2
4178	Binary black-hole simulation SXS:BBH:1352	3
4181	Binary black-hole simulation SXS:BBH:1356	3
4182	Binary black-hole simulation SXS:BBH:1358	2
4185	Binary black-hole simulation SXS:BBH:1361	2
4187	Binary black-hole simulation SXS:BBH:1363	3
4188	Binary black-hole simulation SXS:BBH:1364	2
4189	Binary black-hole simulation SXS:BBH:1365	3
4190	Binary black-hole simulation SXS:BBH:1366	2
4191	Binary black-hole simulation SXS:BBH:1367	2
4192	Binary black-hole simulation SXS:BBH:1368	2
4196	Binary black-hole simulation SXS:BBH:1372	2
4197	Binary black-hole simulation SXS:BBH:1373	4
4198	Binary black-hole simulation SXS:BBH:1375	2
4201	Binary black-hole simulation SXS:BBH:1378	2
4203	Binary black-hole simulation SXS:BBH:1382	2
4204	Binary black-hole simulation SXS:BBH:1383	2
4205	Binary black-hole simulation SXS:BBH:1384	3
4206	Binary black-hole simulation SXS:BBH:1385	3
4208	Binary black-hole simulation SXS:BBH:1388	2
4209	Binary black-hole simulation SXS:BBH:1390	2
4210	Binary black-hole simulation SXS:BBH:1391	3
4211	Binary black-hole simulation SXS:BBH:1392	2
4212	Binary black-hole simulation SXS:BBH:1393	2
4213	Binary black-hole simulation SXS:BBH:1394	2
4215	Binary black-hole simulation SXS:BBH:1396	3
4217	Binary black-hole simulation SXS:BBH:1399	2
4218	Binary black-hole simulation SXS:BBH:1400	3
4220	Binary black-hole simulation SXS:BBH:1402	2
4221	Binary black-hole simulation SXS:BBH:1404	2
4225	Binary black-hole simulation SXS:BBH:1409	3
4227	Binary black-hole simulation SXS:BBH:1411	4
4228	Binary black-hole simulation SXS:BBH:1412	2
4231	Binary black-hole simulation SXS:BBH:1416	2
4232	Binary black-hole simulation SXS:BBH:1419	4
4234	Binary black-hole simulation SXS:BBH:1422	2
4235	Binary black-hole simulation SXS:BBH:1423	2
4237	Binary black-hole simulation SXS:BBH:1425	2
4238	Binary black-hole simulation SXS:BBH:1426	2
4239	Binary black-hole simulation SXS:BBH:1427	2
4240	Binary black-hole simulation SXS:BBH:1428	2
4241	Binary black-hole simulation SXS:BBH:1429	2
4242	Binary black-hole simulation SXS:BBH:1430	3
4243	Binary black-hole simulation SXS:BBH:1432	3
4245	Binary black-hole simulation SXS:BBH:1435	3
4248	Binary black-hole simulation SXS:BBH:1438	2
4249	Binary black-hole simulation SXS:BBH:1439	2
4251	Binary black-hole simulation SXS:BBH:1441	3
4252	Binary black-hole simulation SXS:BBH:1442	2
4253	Binary black-hole simulation SXS:BBH:1443	4
4254	Binary black-hole simulation SXS:BBH:1444	2
4258	Binary black-hole simulation SXS:BBH:1450	3
4260	Binary black-hole simulation SXS:BBH:1452	3
4262	Binary black-hole simulation SXS:BBH:1455	2
4266	Binary black-hole simulation SXS:BBH:1461	3
4269	Binary black-hole simulation SXS:BBH:1467	3
4273	Binary black-hole simulation SXS:BBH:1471	2
4274	Binary black-hole simulation SXS:BBH:1472	4
4275	Binary black-hole simulation SXS:BBH:1473	2
4277	Binary black-hole simulation SXS:BBH:1475	2
4278	Binary black-hole simulation SXS:BBH:1476	3
4280	Binary black-hole simulation SXS:BBH:1478	3
4281	Binary black-hole simulation SXS:BBH:1479	2
4282	Binary black-hole simulation SXS:BBH:1480	3
4283	Binary black-hole simulation SXS:BBH:1481	3
4284	Binary black-hole simulation SXS:BBH:1482	2
4285	Binary black-hole simulation SXS:BBH:1484	2
4287	Binary black-hole simulation SXS:BBH:1486	2
4288	Binary black-hole simulation SXS:BBH:1487	2
4290	Binary black-hole simulation SXS:BBH:1490	3
4291	Binary black-hole simulation SXS:BBH:1491	2
4292	Binary black-hole simulation SXS:BBH:1492	3
4295	Binary black-hole simulation SXS:BBH:1496	2
4297	Binary black-hole simulation SXS:BBH:1500	2
4298	Binary black-hole simulation SXS:BBH:1501	4
4299	Binary black-hole simulation SXS:BBH:1502	2
4304	Binary black-hole simulation SXS:BBH:1507	2
4305	Binary black-hole simulation SXS:BBH:1508	2
4307	Binary black-hole simulation SXS:BBH:1510	3
4308	Binary black-hole simulation SXS:BBH:1511	3
4309	Binary black-hole simulation SXS:BBH:1512	2
4310	Binary black-hole simulation SXS:BBH:1513	3
4311	Binary black-hole simulation SXS:BBH:1515	2
4312	Binary black-hole simulation SXS:BBH:1516	2
4313	Binary black-hole simulation SXS:BBH:1517	2
4314	Binary black-hole simulation SXS:BBH:1518	3
4317	Binary black-hole simulation SXS:BBH:1521	2
4318	Binary black-hole simulation SXS:BBH:1524	2
4319	Binary black-hole simulation SXS:BBH:1525	3
4321	Binary black-hole simulation SXS:BBH:1528	2
4322	Binary black-hole simulation SXS:BBH:1529	3
4323	Binary black-hole simulation SXS:BBH:1530	2
4324	Binary black-hole simulation SXS:BBH:1531	2
4326	Binary black-hole simulation SXS:BBH:1533	2
4331	Binary black-hole simulation SXS:BBH:1538	3
4333	Binary black-hole simulation SXS:BBH:1540	3
4336	Binary black-hole simulation SXS:BBH:1543	2
4341	Binary black-hole simulation SXS:BBH:1549	3
4344	Binary black-hole simulation SXS:BBH:1553	2
4345	Binary black-hole simulation SXS:BBH:1554	2
4356	Binary black-hole simulation SXS:BBH:1567	2
4359	Binary black-hole simulation SXS:BBH:1570	4
4362	Binary black-hole simulation SXS:BBH:1578	2
4364	Binary black-hole simulation SXS:BBH:1580	2
4365	Binary black-hole simulation SXS:BBH:1582	2
4366	Binary black-hole simulation SXS:BBH:1583	3
4367	Binary black-hole simulation SXS:BBH:1584	2
4368	Binary black-hole simulation SXS:BBH:1585	2
4369	Binary black-hole simulation SXS:BBH:1586	2
4370	Binary black-hole simulation SXS:BBH:1588	2
4371	Binary black-hole simulation SXS:BBH:1589	2
4372	Binary black-hole simulation SXS:BBH:1590	2
4374	Binary black-hole simulation SXS:BBH:1592	4
4375	Binary black-hole simulation SXS:BBH:1593	2
4376	Binary black-hole simulation SXS:BBH:1594	2
4380	Binary black-hole simulation SXS:BBH:1598	2
4381	Binary black-hole simulation SXS:BBH:1599	2
4383	Binary black-hole simulation SXS:BBH:1602	3
4384	Binary black-hole simulation SXS:BBH:1603	2
4388	Binary black-hole simulation SXS:BBH:1607	3
4392	Binary black-hole simulation SXS:BBH:1612	2
4393	Binary black-hole simulation SXS:BBH:1613	2
4395	Binary black-hole simulation SXS:BBH:1615	2
4396	Binary black-hole simulation SXS:BBH:1616	4
4397	Binary black-hole simulation SXS:BBH:1617	2
4398	Binary black-hole simulation SXS:BBH:1618	2
4399	Binary black-hole simulation SXS:BBH:1621	2
4400	Binary black-hole simulation SXS:BBH:1622	2
4401	Binary black-hole simulation SXS:BBH:1623	2
4405	Binary black-hole simulation SXS:BBH:1632	3
4407	Binary black-hole simulation SXS:BBH:1634	2
4408	Binary black-hole simulation SXS:BBH:1635	2
4409	Binary black-hole simulation SXS:BBH:1636	2
4410	Binary black-hole simulation SXS:BBH:1637	2
4411	Binary black-hole simulation SXS:BBH:1639	2
4413	Binary black-hole simulation SXS:BBH:1641	3
4414	Binary black-hole simulation SXS:BBH:1642	2
4418	Binary black-hole simulation SXS:BBH:1646	2
4419	Binary black-hole simulation SXS:BBH:1648	2
4420	Binary black-hole simulation SXS:BBH:1649	2
4422	Binary black-hole simulation SXS:BBH:1652	2
4423	Binary black-hole simulation SXS:BBH:1653	2
4424	Binary black-hole simulation SXS:BBH:1654	2
4425	Binary black-hole simulation SXS:BBH:1655	2
4426	Binary black-hole simulation SXS:BBH:1656	2
4427	Binary black-hole simulation SXS:BBH:1657	2
4429	Binary black-hole simulation SXS:BBH:1659	2
4430	Binary black-hole simulation SXS:BBH:1660	3
4431	Binary black-hole simulation SXS:BBH:1661	2
4438	Binary black-hole simulation SXS:BBH:1668	2
4439	Binary black-hole simulation SXS:BBH:1669	3
4442	Binary black-hole simulation SXS:BBH:1674	2
4445	Binary black-hole simulation SXS:BBH:1678	2
4446	Binary black-hole simulation SXS:BBH:1679	2
4447	Binary black-hole simulation SXS:BBH:1680	3
4448	Binary black-hole simulation SXS:BBH:1681	2
4449	Binary black-hole simulation SXS:BBH:1682	2
4450	Binary black-hole simulation SXS:BBH:1684	2
4451	Binary black-hole simulation SXS:BBH:1685	2
4453	Binary black-hole simulation SXS:BBH:1688	2
4454	Binary black-hole simulation SXS:BBH:1689	2
4456	Binary black-hole simulation SXS:BBH:1691	2
4457	Binary black-hole simulation SXS:BBH:1693	2
4464	Binary black-hole simulation SXS:BBH:1705	3
4466	Binary black-hole simulation SXS:BBH:1707	2
4467	Binary black-hole simulation SXS:BBH:1708	2
4468	Binary black-hole simulation SXS:BBH:1709	2
4470	Binary black-hole simulation SXS:BBH:1711	2
4471	Binary black-hole simulation SXS:BBH:1712	2
4472	Binary black-hole simulation SXS:BBH:1714	2
4474	Binary black-hole simulation SXS:BBH:1716	2
4476	Binary black-hole simulation SXS:BBH:1718	2
4477	Binary black-hole simulation SXS:BBH:1719	2
4478	Binary black-hole simulation SXS:BBH:1720	3
4480	Binary black-hole simulation SXS:BBH:1722	2
4481	Binary black-hole simulation SXS:BBH:1723	2
4482	Binary black-hole simulation SXS:BBH:1724	2
4483	Binary black-hole simulation SXS:BBH:1726	3
4485	Binary black-hole simulation SXS:BBH:1729	3
4487	Binary black-hole simulation SXS:BBH:1731	2
4490	Binary black-hole simulation SXS:BBH:1736	2
4492	Binary black-hole simulation SXS:BBH:1739	2
4493	Binary black-hole simulation SXS:BBH:1740	3
4497	Binary black-hole simulation SXS:BBH:1744	2
4498	Binary black-hole simulation SXS:BBH:1745	2
4502	Binary black-hole simulation SXS:BBH:1749	3
4503	Binary black-hole simulation SXS:BBH:1750	2
4504	Binary black-hole simulation SXS:BBH:1751	2
4505	Binary black-hole simulation SXS:BBH:1752	3
4506	Binary black-hole simulation SXS:BBH:1753	2
4510	Binary black-hole simulation SXS:BBH:1759	2
4512	Binary black-hole simulation SXS:BBH:1761	2
4514	Binary black-hole simulation SXS:BBH:1764	2
4516	Binary black-hole simulation SXS:BBH:1767	2
4520	Binary black-hole simulation SXS:BBH:1775	3
4521	Binary black-hole simulation SXS:BBH:1776	2
4523	Binary black-hole simulation SXS:BBH:1778	2
4526	Binary black-hole simulation SXS:BBH:1781	3
4527	Binary black-hole simulation SXS:BBH:1782	2
4533	Binary black-hole simulation SXS:BBH:1792	3
4540	Binary black-hole simulation SXS:BBH:1803	2
4541	Binary black-hole simulation SXS:BBH:1804	3
4542	Binary black-hole simulation SXS:BBH:1805	3
4544	Binary black-hole simulation SXS:BBH:1807	2
4546	Binary black-hole simulation SXS:BBH:1809	3
4549	Binary black-hole simulation SXS:BBH:1812	3
4551	Binary black-hole simulation SXS:BBH:1815	2
4556	Binary black-hole simulation SXS:BBH:1821	2
4558	Binary black-hole simulation SXS:BBH:1825	2
4560	Binary black-hole simulation SXS:BBH:1828	2
4562	Binary black-hole simulation SXS:BBH:1830	2
4564	Binary black-hole simulation SXS:BBH:1832	2
4565	Binary black-hole simulation SXS:BBH:1833	2
4567	Binary black-hole simulation SXS:BBH:1835	2
4570	Binary black-hole simulation SXS:BBH:1838	2
4571	Binary black-hole simulation SXS:BBH:1839	2
4573	Binary black-hole simulation SXS:BBH:1841	3
4574	Binary black-hole simulation SXS:BBH:1842	3
4575	Binary black-hole simulation SXS:BBH:1844	2
4577	Binary black-hole simulation SXS:BBH:1846	2
4578	Binary black-hole simulation SXS:BBH:1847	2
4579	Binary black-hole simulation SXS:BBH:1848	3
4584	Binary black-hole simulation SXS:BBH:1855	2
4585	Binary black-hole simulation SXS:BBH:1856	2
4586	Binary black-hole simulation SXS:BBH:1857	2
4588	Binary black-hole simulation SXS:BBH:1859	2
4589	Binary black-hole simulation SXS:BBH:1860	2
4590	Binary black-hole simulation SXS:BBH:1861	2
4594	Binary black-hole simulation SXS:BBH:1866	2
4595	Binary black-hole simulation SXS:BBH:1867	2
4600	Binary black-hole simulation SXS:BBH:1872	3
4601	Binary black-hole simulation SXS:BBH:1873	2
4602	Binary black-hole simulation SXS:BBH:1874	3
4603	Binary black-hole simulation SXS:BBH:1875	2
4605	Binary black-hole simulation SXS:BBH:1878	2
4606	Binary black-hole simulation SXS:BBH:1880	2
4608	Binary black-hole simulation SXS:BBH:1882	2
4612	Binary black-hole simulation SXS:BBH:1886	2
4613	Binary black-hole simulation SXS:BBH:1888	2
4620	Binary black-hole simulation SXS:BBH:1896	3
4624	Binary black-hole simulation SXS:BBH:1900	3
4625	Binary black-hole simulation SXS:BBH:1902	2
4627	Binary black-hole simulation SXS:BBH:1904	2
4628	Binary black-hole simulation SXS:BBH:1905	2
4632	Binary black-hole simulation SXS:BBH:1909	2
4633	Binary black-hole simulation SXS:BBH:1910	2
4635	Binary black-hole simulation SXS:BBH:1912	2
4638	Binary black-hole simulation SXS:BBH:1915	2
4640	Binary black-hole simulation SXS:BBH:1918	3
4642	Binary black-hole simulation SXS:BBH:1920	2
4644	Binary black-hole simulation SXS:BBH:1924	3
4646	Binary black-hole simulation SXS:BBH:1927	2
4647	Binary black-hole simulation SXS:BBH:1928	2
4649	Binary black-hole simulation SXS:BBH:1930	3
4653	Binary black-hole simulation SXS:BBH:1934	2
4655	Binary black-hole simulation SXS:BBH:1936	3
4656	Binary black-hole simulation SXS:BBH:1937	3
4657	Binary black-hole simulation SXS:BBH:1938	2
4660	Binary black-hole simulation SXS:BBH:1943	3
4662	Binary black-hole simulation SXS:BBH:1946	2
4665	Binary black-hole simulation SXS:BBH:1950	2
4666	Binary black-hole simulation SXS:BBH:1951	2
4668	Binary black-hole simulation SXS:BBH:1953	2
4672	Binary black-hole simulation SXS:BBH:1957	2
4676	Binary black-hole simulation SXS:BBH:1962	2
4679	Binary black-hole simulation SXS:BBH:1965	2
4680	Binary black-hole simulation SXS:BBH:1966	2
4681	Binary black-hole simulation SXS:BBH:1969	3
4682	Binary black-hole simulation SXS:BBH:1970	2
4683	Binary black-hole simulation SXS:BBH:1971	2
