	_id	clean_pred	measurementTechnique	jsim
746	reframedb_a00385	Drug susceptibility testing	phenotypic	0.0
813	reframedb_a00546	Modified A549 cell monolayer	phenotypic	0.0
745	reframedb_a00385	High-throughput screening	cell-based	0.0
744	reframedb_a00385	High-throughput screening	phenotypic	0.0
743	reframedb_a00385	Growth inhibition assay	cell-based	0.0
742	reframedb_a00385	Growth inhibition assay	phenotypic	0.0
741	reframedb_a00411	Fluorimeter reading	enzyme-based fluorometric assay	0.0
814	reframedb_a00666	Bacterial viability assessment	fluorescence	0.0
740	reframedb_a00411	Selective inhibitor identification	enzyme-based fluorometric assay	0.0
739	reframedb_a00411	Incubation at 37°C	enzyme-based fluorometric assay	0.0
738	reframedb_a00411	Fluorogenic substrate addition	enzyme-based fluorometric assay	0.0
894	lds-1074	Protein kinase reactions	KiNativ kinase-small molecule binding assay	0.0
954	gse1000	Control experiments	Expression profiling by array	0.0
896	lds-1074	Cell lysate treatment	KiNativ kinase-small molecule binding assay	0.0
1119	reframedb_a00334	SpectraMax I3X system	phenotypic	0.0
1104	reframedb_a00417	High-throughput screening (HTS)	cell-based	0.0
1105	reframedb_a00417	Colorimetric reaction	cell-based	0.0
1106	reframedb_a00417	Inducible SEAP reporter gene assay	cell-based	0.0
1107	reframedb_a00417	EnVision plate reader	cell-based	0.0
1108	reframedb_a00334	Phenotypic luminescence screening	cell based	0.0
1110	reframedb_a00334	High throughput screening	cell based	0.0
1111	reframedb_a00334	High throughput screening	phenotypic	0.0
1112	reframedb_a00334	Axenic culture adaptation	cell based	0.0
1113	reframedb_a00334	Axenic culture adaptation	phenotypic	0.0
1114	reframedb_a00334	Biomek NXP	cell based	0.0
1115	reframedb_a00334	Biomek NXP	phenotypic	0.0
1116	reframedb_a00334	CellTiter-Glo 0 assay	cell based	0.0
1117	reframedb_a00334	CellTiter-Glo 0 assay	phenotypic	0.0
1118	reframedb_a00334	SpectraMax I3X system	cell based	0.0
1120	reframedb_a00436	384 well assay	cell based	0.0
1138	reframedb_a00465	Luminescence-based assay	cell based	0.0
1121	reframedb_a00436	Fluorescence measurement	cell based	0.0
1123	reframedb_a00436	High throughput screening	cell based	0.0
1124	reframedb_a00436	Data normalization	cell based	0.0
1125	reframedb_a00463	Protease inhibitor assay	not known	0.0
1126	reframedb_a00463	Polymerase inhibitor assay	not known	0.0
1127	reframedb_a00460	Inhibition of COVID-19 replication in cells	not known	0.0
1128	reframedb_a00460	Drug concentration at 10 µM	not known	0.0
1129	reframedb_a00464	Replicon assay	not known	0.0
1130	reframedb_a00464	Reporter assay	not known	0.0
1131	reframedb_a00464	Drug concentration assay	not known	0.0
1133	reframedb_a00544	Liquid dispensing	biochemical high throughput screen	0.0
1134	reframedb_a00544	Fluorogenic substrate monitoring	biochemical high throughput screen	0.0
1135	reframedb_a00544	Multi-mode reader	biochemical high throughput screen	0.0
1136	reframedb_a00544	Recombinant protein expression	biochemical high throughput screen	0.0
1103	reframedb_a00414	Luciferase activity measurement	cell based	0.0
1102	reframedb_a00414	Transfection	cell based	0.0
1101	reframedb_a00414	Dual SMAD inhibition protocol	cell based	0.0
1100	reframedb_a00414	Electroporation	cell based	0.0
1065	reframedb_a00360	Drug screening	cell based	0.0
1066	reframedb_a00360	Enzyme kinetics	cell based	0.0
1067	reframedb_a00190	High content	cell based	0.0
1069	reframedb_a00190	cell-based assay	cell based	0.0
1070	reframedb_a00190	cell-based assay	high content imaging	0.0
1071	reframedb_a00190	Image-based assay	cell based	0.0
1072	reframedb_a00190	Image-based assay	high content imaging	0.0
1073	reframedb_a00190	Primary neuron isolation	cell based	0.0
1074	reframedb_a00190	Primary neuron isolation	high content imaging	0.0
1075	reframedb_a00190	GFP reporter assay	cell based	0.0
1076	reframedb_a00190	GFP reporter assay	high content imaging	0.0
1077	reframedb_a00190	Mitochondrial morphology analysis	cell based	0.0
1078	reframedb_a00190	Mitochondrial morphology analysis	high content imaging	0.0
1079	reframedb_a00190	Incubation	cell based	0.0
1080	reframedb_a00190	Incubation	high content imaging	0.0
1081	reframedb_a00190	Plating	cell based	0.0
1082	reframedb_a00190	Plating	high content imaging	0.0
1083	reframedb_a00190	Compound dosing	cell based	0.0
1084	reframedb_a00190	Compound dosing	high content imaging	0.0
1085	reframedb_a00190	Plate imaging	cell based	0.0
1087	reframedb_a00190	Z-score calculation	cell based	0.0
1088	reframedb_a00190	Z-score calculation	high content imaging	0.0
1090	reframedb_a00203	Luciferase assay	cell based	0.0
1091	reframedb_a00203	Luminescence measurement	cell based	0.0
1092	reframedb_a00203	High-throughput screening	cell based	0.0
1094	reframedb_a00203	Transfection	cell based	0.0
1095	reframedb_a00203	Compound screening	cell based	0.0
1097	reframedb_a00414	HTS screening	cell based	0.0
1098	reframedb_a00414	Luciferase-based screening	cell based	0.0
1137	reframedb_a00544	Drug concentration measurement	biochemical high throughput screen	0.0
1139	reframedb_a00465	Probe displacement assay	cell based	0.0
1061	reframedb_a00360	Luminescence assay	cell based	0.0
1200	reframedb_a00511	Luminescence measurement	cell based assay measuring cell viability	0.0
1182	reframedb_a00461	Luciferase reporter assay	cell based	0.0
1183	reframedb_a00461	Luminescence reading	cell based	0.0
1184	reframedb_a00461	Data normalization	cell based	0.0
1185	reframedb_a00508	CellTiter-Glo assay	cell based	0.0
1187	reframedb_a00508	Luciferase reporter assay	cell based	0.0
1188	reframedb_a00508	Luminescence reading	cell based	0.0
1189	reframedb_a00509	Luminescence assay	cell based	0.0
1191	reframedb_a00509	Incubation	cell based	0.0
1192	reframedb_a00509	Luciferase reporter assay	cell based	0.0
1193	reframedb_a00509	High-throughput screening	cell based	0.0
1194	reframedb_a00509	Luminescence reading	cell based	0.0
1195	reframedb_a00509	Normalization	cell based	0.0
1196	reframedb_a00509	Detection method	cell based	0.0
1198	reframedb_a00511	High throughput screening (HTS)	cell based assay measuring cell viability	0.0
1201	reframedb_a00511	Plate reader analysis	cell based assay measuring cell viability	0.0
1140	reframedb_a00465	Photocrosslinking	cell based	0.0
1205	reframedb_a00466	Antibody staining	cell based phenotypic assay	0.0
1206	reframedb_a00466	Fluorescence imaging	cell based phenotypic assay	0.0
1207	reframedb_a00466	Confocal microscopy	cell based phenotypic assay	0.0
1208	reframedb_a00466	High-content imaging analysis	cell based phenotypic assay	0.0
1209	reframedb_a00466	Liquid handling	cell based phenotypic assay	0.0
1211	reframedb_a00466	Virus propagation	cell based phenotypic assay	0.0
1214	reframedb_a00485	Antibody staining	cell based phenotypic assay	0.0
1215	reframedb_a00485	Immunofluorescence imaging	cell based phenotypic assay	0.0
1216	reframedb_a00485	Confocal microscopy	cell based phenotypic assay	0.0
1217	reframedb_a00485	Fluorescence detection	cell based phenotypic assay	0.0
1218	reframedb_a00478	Lentivirus pseudotyping	cell based virus entry inhibitor assay	0.0
1220	reframedb_a00478	High-throughput screening	cell based virus entry inhibitor assay	0.0
1222	reframedb_a00478	Luminescence detection	cell based virus entry inhibitor assay	0.0
1224	reframedb_a00478	Compound screening	cell based virus entry inhibitor assay	0.0
1181	reframedb_a00461	High-throughput screening	cell based	0.0
1178	reframedb_a00461	Luminescence assay	cell based	0.0
1177	reframedb_a00489	Detection using One Glo substrate	cell based	0.0
1176	reframedb_a00489	Normalization	cell based	0.0
1141	reframedb_a00465	High-throughput screening (HTS)	cell based	0.0
1142	reframedb_a00465	Click chemistry	cell based	0.0
1143	reframedb_a00465	Covalent modification quantification	cell based	0.0
1144	reframedb_a00505	Luminescence viability assay	cell based	0.0
1147	reframedb_a00505	Incubation	cell based	0.0
1148	reframedb_a00505	Luciferase substrate addition	cell based	0.0
1149	reframedb_a00505	Luminescence reading	cell based	0.0
1150	reframedb_a00505	Normalization	cell based	0.0
1151	reframedb_a00505	Detection using CellTiter-Glo	cell based	0.0
1152	reframedb_a00505	Reporter output measurement	cell based	0.0
1154	reframedb_a00487	Transfection	cell based	0.0
1155	reframedb_a00487	Reporter assay	cell based	0.0
1156	reframedb_a00487	Incubation	cell based	0.0
1157	reframedb_a00487	Plate reader analysis.	cell based	0.0
1158	reframedb_a00545	Nanoluciferase reporter-based screen	cell based	0.0
1160	reframedb_a00545	Genetic engineering	cell based	0.0
1161	reframedb_a00545	Quantitative analysis	cell based	0.0
1162	reframedb_a00545	Luminescence measurement	cell based	0.0
1163	reframedb_a00545	Dose response analysis	cell based	0.0
1164	reframedb_a00486	Luminescence assay	cell based	0.0
1165	reframedb_a00486	Transfection	cell based	0.0
1166	reframedb_a00486	High-throughput screening	cell based	0.0
1167	reframedb_a00486	Cell-based assay	cell based	0.0
1168	reframedb_a00486	Luciferase assay	cell based	0.0
1169	reframedb_a00486	Inhibitor screening	cell based	0.0
1171	reframedb_a00489	Luciferase reporter assay	cell based	0.0
1173	reframedb_a00489	Incubation	cell based	0.0
1174	reframedb_a00489	White 1536-well plate spotting	cell based	0.0
1175	reframedb_a00489	Luminescence reading	cell based	0.0
1062	reframedb_a00360	Dose response study	cell based	0.0
1059	reframedb_a00172	Plate-based detection	cell-based	0.0
897	lds-1074	BHAcATP labeling	KiNativ kinase-small molecule binding assay	0.0
959	gse10000	Unpaired Student t-test	Expression profiling by array	0.0
942	lds-1011	Immobilized ligand	KINOMEscan kinase-small molecule binding assay	0.0
943	lds-1011	Quantitative PCR	KINOMEscan kinase-small molecule binding assay	0.0
944	lds-1011	DNA tag	KINOMEscan kinase-small molecule binding assay	0.0
945	lds-1011	TREEspot Kinase Dendrograms	KINOMEscan kinase-small molecule binding assay	0.0
947	gse1	Clustering based on correlation coefficients	Expression profiling by array	0.0
949	gse100	RNA immunoprecipitation (RNA IP)	Expression profiling by array	0.0
950	gse100	cDNA synthesis	Expression profiling by array	0.0
951	gse100	Comparative analysis	Expression profiling by array	0.0
952	gse1000	Tissue culture	Expression profiling by array	0.0
953	gse1000	Amino acid conjugation	Expression profiling by array	0.0
671	reframedb_a00383	Efficacy testing in mouse model of NTM infection	cell based	0.0
955	gse1000	Timepoint analysis	Expression profiling by array	0.0
957	gse10000	Laser capture microdissection	Expression profiling by array	0.0
958	gse10000	Fuzzy c-means cluster algorithm	Expression profiling by array	0.0
960	gse10000	Quantitative RT-PCR	Expression profiling by array	0.0
977	gse100002	BacTRAP analysis	Other	0.0
961	gse10000	Laser dissection microscopy	Expression profiling by array	0.0
962	gse10000	Single cell detection methodology	Expression profiling by array	0.0
963	gse10000	In situ hybridization (ISH)	Expression profiling by array	0.0
964	gse100000	Fosl1 overexpression	Expression profiling by high throughput sequencing	0.0
965	gse100000	Fosl1 overexpression	Genome binding/occupancy profiling by high throughput sequencing	0.0
966	gse100000	Transdifferentiation	Expression profiling by high throughput sequencing	0.0
967	gse100000	Transdifferentiation	Genome binding/occupancy profiling by high throughput sequencing	0.0
968	gse100000	Embryonic stem cell culture	Expression profiling by high throughput sequencing	0.0
969	gse100000	Embryonic stem cell culture	Genome binding/occupancy profiling by high throughput sequencing	0.0
970	gse100000	Trophoblast stem cell culture	Expression profiling by high throughput sequencing	0.0
971	gse100000	Trophoblast stem cell culture	Genome binding/occupancy profiling by high throughput sequencing	0.0
973	gse100001	siRNA knockdown	Expression profiling by high throughput sequencing	0.0
974	gse100001	Control group establishment	Expression profiling by high throughput sequencing	0.0
975	gse100002	Affymetrix microarray analysis	Other	0.0
941	lds-1011	Test compound	KINOMEscan kinase-small molecule binding assay	0.0
940	lds-1011	Kinase-tagged phage	KINOMEscan kinase-small molecule binding assay	0.0
937	lds-1030	Graphing techniques	KINOMEscan kinase-small molecule binding assay	0.0
936	lds-1030	Quantitative PCR	KINOMEscan kinase-small molecule binding assay	0.0
898	lds-1074	BHAcADP labeling	KiNativ kinase-small molecule binding assay	0.0
899	lds-1074	Trypsin digestion	KiNativ kinase-small molecule binding assay	0.0
900	lds-1074	Isolation of biotinylated peptides	KiNativ kinase-small molecule binding assay	0.0
901	lds-1074	Mass spectrometry analysis	KiNativ kinase-small molecule binding assay	0.0
903	lds-1076	Biotinylated acyl phosphates of ATP or ADP	KiNativ kinase-small molecule binding assay	0.0
904	lds-1076	Protein kinases	KiNativ kinase-small molecule binding assay	0.0
905	lds-1076	Covalent attachment	KiNativ kinase-small molecule binding assay	0.0
906	lds-1076	BHAcATP	KiNativ kinase-small molecule binding assay	0.0
907	lds-1076	BHAcADP	KiNativ kinase-small molecule binding assay	0.0
908	lds-1076	Kinase inhibitor	KiNativ kinase-small molecule binding assay	0.0
909	lds-1076	Trypsin digestion	KiNativ kinase-small molecule binding assay	0.0
910	lds-1076	Isolation of biotinylated peptides	KiNativ kinase-small molecule binding assay	0.0
911	lds-1076	Mass spectrometry analysisc	KiNativ kinase-small molecule binding assay	0.0
913	lds-1073	Biotinylated acyl phosphates	KiNativ kinase-small molecule binding assay	0.0
914	lds-1073	Protein kinases	KiNativ kinase-small molecule binding assay	0.0
915	lds-1073	Cell lysates	KiNativ kinase-small molecule binding assay	0.0
916	lds-1073	BHAcATP/BHAcADP labeling	KiNativ kinase-small molecule binding assay	0.0
917	lds-1073	Trypsin digestion	KiNativ kinase-small molecule binding assay	0.0
918	lds-1073	Isolation of biotinylated peptides	KiNativ kinase-small molecule binding assay	0.0
919	lds-1073	Mass spectrometry analysis	KiNativ kinase-small molecule binding assay	0.0
921	lds-1027	Quantitative PCR	KINOMEscan kinase-small molecule binding assay	0.0
923	lds-1015	quantitative PCR	KINOMEscan kinase-small molecule binding assay	0.0
925	lds-1022	Kinome profiling	KINOMEscan kinase-small molecule binding assay	0.0
926	lds-1022	Quantitative PCR	KINOMEscan kinase-small molecule binding assay	0.0
928	lds-1020	Quantitative PCR	KINOMEscan kinase-small molecule binding assay	0.0
930	lds-1029	Quantitative PCR (qPCR)	KINOMEscan kinase-small molecule binding assay	0.0
932	lds-1014	Kinome profiling	KINOMEscan kinase-small molecule binding assay	0.0
933	lds-1014	Quantitative PCR	KINOMEscan kinase-small molecule binding assay	0.0
935	lds-1030	Kinome profiling	KINOMEscan kinase-small molecule binding assay	0.0
976	gse100002	Transcriptome profiling	Other	0.0
978	gse100003	Extracellular flux measurements	Expression profiling by array	0.0
1058	reframedb_a00172	Fluorescence imaging	cell-based	0.0
1041	gse100017	Microarray analysis	Non-coding RNA profiling by array	0.0
1024	gse100013	KSHV infection assay	Expression profiling by high throughput sequencing	0.0
1025	gse100014	FACS sorting	Expression profiling by array	0.0
1026	gse100014	RNA extraction	Expression profiling by array	0.0
1027	gse100014	Hybridization on Affymetrix microarray	Expression profiling by array	0.0
1028	gse100015	Microarray analysis	Expression profiling by array	0.0
1029	gse100015	Cre-flox model	Expression profiling by array	0.0
1030	gse100015	Tamoxifen inducible model	Expression profiling by array	0.0
1031	gse100015	WT1-CreERT2	Expression profiling by array	0.0
1032	gse100015	RNA extraction	Expression profiling by array	0.0
1033	gse100015	Hybridization on Affymetrix microarrays	Expression profiling by array	0.0
1034	gse100016	RNA-Seq	Expression profiling by high throughput sequencing	0.0
1036	gse100016	Transcriptome analysis	Expression profiling by high throughput sequencing	0.0
1037	gse100016	Illumina HiSeq technology	Expression profiling by high throughput sequencing	0.0
1040	gse100017	Labeling and hybridization	Non-coding RNA profiling by array	0.0
1042	gse100017	Scanning	Non-coding RNA profiling by array	0.0
979	gse100003	Genome-scale modeling	Expression profiling by array	0.0
1043	gse100017	Image analysis	Non-coding RNA profiling by array	0.0
1044	gse100017	Data analysis	Non-coding RNA profiling by array	0.0
1045	gse100017	Normalization	Non-coding RNA profiling by array	0.0
1046	gse100017	quantile normalization	Non-coding RNA profiling by array	0.0
1047	gse100017	Class-specific filtering	Non-coding RNA profiling by array	0.0
1048	gse100018	CLIP-seq	Other	0.0
1049	gse100018	Immunoprecipitation	Other	0.0
1050	gse100018	Illumina Hi-Seq2500 platform	Other	0.0
1051	gse100018	Library preparation	Other	0.0
1052	gse100019	Whole-exome sequencing	Genome variation profiling by SNP array	0.0
1054	gse100019	Mutation screening	Genome variation profiling by SNP array	0.0
1055	gse100019	Histological analysis	Genome variation profiling by SNP array	0.0
1056	gse100019	Knockout mice construction	Genome variation profiling by SNP array	0.0
1057	reframedb_a00172	High-content screening	cell-based	0.0
1023	gse100013	Examination (possibly including microscopy and/or flow cytometry)	Expression profiling by high throughput sequencing	0.0
1022	gse100013	Cell growth assay	Expression profiling by high throughput sequencing	0.0
1020	gse100012	RNA extraction	Expression profiling by array	0.0
1019	gse100012	Dissection	Expression profiling by array	0.0
980	gse100003	Microarrays	Expression profiling by array	0.0
981	gse100004	bacTRAP	Other	0.0
982	gse100004	LPS injection	Other	0.0
983	gse100004	Behavioral monitoring	Other	0.0
984	gse100004	Transcriptome profiling	Other	0.0
985	gse100004	Hybridization	Other	0.0
986	gse100005	Immunohistochemistry	Other	0.0
987	gse100005	Fluorescence in situ hybridization	Other	0.0
988	gse100005	Laser capture microdissection	Other	0.0
989	gse100005	RNA sequencing	Other	0.0
991	gse100006	Microarray analysis	Expression profiling by array	0.0
992	gse100006	Injection of anti-Thy1 antibody	Expression profiling by array	0.0
993	gse100006	Establishment of anti-Thy1 model	Expression profiling by array	0.0
994	gse100006	Immunohistochemistry	Expression profiling by array	0.0
996	gse100007	Deep sequencing	Other	0.0
998	gse100007	Ribosome profiling	Other	0.0
999	gse100009	ChIP-seq	Expression profiling by high throughput sequencing	0.0
1000	gse100009	ChIP-seq	Genome binding/occupancy profiling by high throughput sequencing	0.0
1001	gse100009	mRNA-seq	Expression profiling by high throughput sequencing	0.0
1002	gse100009	mRNA-seq	Genome binding/occupancy profiling by high throughput sequencing	0.0
1004	gse10001	DNA Microarray	Expression profiling by array	0.0
1005	gse10001	Microarray analysis	Expression profiling by array	0.0
1006	gse100010	Global nuclear run-on (GRO)	Expression profiling by high throughput sequencing	0.0
1007	gse100010	Global nuclear run-on (GRO)	Genome binding/occupancy profiling by high throughput sequencing	0.0
1010	gse100010	ChIPseq	Expression profiling by high throughput sequencing	0.0
1011	gse100010	ChIPseq	Genome binding/occupancy profiling by high throughput sequencing	0.0
1014	gse100011	INTACT (isolation of nuclei tagged in specific cell types)	Genome binding/occupancy profiling by high throughput sequencing	0.0
1015	gse100011	INTACT (isolation of nuclei tagged in specific cell types)	Methylation profiling by high throughput sequencing	0.0
1018	gse100012	Transcriptome analysis	Expression profiling by array	0.0
672	reframedb_a00383	Efficacy testing in mouse model of NTM infection	phenotypic	0.0
0	gse57323	RNA extraction	Expression profiling by RT-PCR	0.0
670	reframedb_a00383	Target deconvolution	phenotypic	0.0
229	reframedb_a00350	Cell-based assay	high content fluorescence measurement	0.0
236	reframedb_a00350	Cell viability measurement	cell-based	0.0
235	reframedb_a00350	MTT assay	high content fluorescence measurement	0.0
234	reframedb_a00350	MTT assay	cell-based	0.0
232	reframedb_a00350	Fluorescence quantification	cell-based	0.0
231	reframedb_a00350	Green fluorescent protein (GFP) reporter	high content fluorescence measurement	0.0
230	reframedb_a00350	Green fluorescent protein (GFP) reporter	cell-based	0.0
227	reframedb_a00350	Recombinant viral reporter system	high content fluorescence measurement	0.0
215	gse56068	Bisulphite conversion	Methylation profiling by genome tiling array	0.0
226	reframedb_a00350	Recombinant viral reporter system	cell-based	0.0
224	reframedb_a00350	High throughput screening	cell-based	0.0
223	reframedb_a00520	Luminometer measurement	biochemical	0.0
222	reframedb_a00520	High-throughput screening	biochemical	0.0
220	reframedb_a00520	Counterscreen assay	biochemical	0.0
219	gse125941	Whole transcriptome analysis	Expression profiling by high throughput sequencing	0.0
238	reframedb_a00350	Biotek Cytation 3 Cell Imaging Multi-Mode Reader	cell-based	0.0
239	reframedb_a00350	Biotek Cytation 3 Cell Imaging Multi-Mode Reader	high content fluorescence measurement	0.0
240	reframedb_a00167	Assay design	cell based	0.0
241	reframedb_a00167	Assay design	cell viability	0.0
244	reframedb_a00167	Plaque assay	cell based	0.0
245	reframedb_a00167	Plaque assay	cell viability	0.0
246	reframedb_a00167	Storage in culture medium	cell based	0.0
247	reframedb_a00167	Storage in culture medium	cell viability	0.0
248	reframedb_a00167	Pre-spotting into plates	cell based	0.0
249	reframedb_a00167	Pre-spotting into plates	cell viability	0.0
250	reframedb_a00167	Dispensing cells	cell based	0.0
251	reframedb_a00167	Dispensing cells	cell viability	0.0
252	reframedb_a00167	Incubation	cell based	0.0
253	reframedb_a00167	Incubation	cell viability	0.0
254	reframedb_a00167	Virus suspension addition	cell based	0.0
255	reframedb_a00167	Virus suspension addition	cell viability	0.0
256	reframedb_a00167	Luminescence reading	cell based	0.0
216	gse56068	DNA hybridization	Methylation profiling by genome tiling array	0.0
214	gse56068	High-resolution arrays	Methylation profiling by genome tiling array	0.0
173	gse118402	Capture-C	Expression profiling by high throughput sequencing	0.0
183	gse145161	library preparation	Expression profiling by high throughput sequencing	0.0
192	gse57172	Oligonucleotide microarray	Expression profiling by array	0.0
189	gse97389	Tamoxifen treatment	Expression profiling by high throughput sequencing	0.0
188	gse97389	Flow cytometry (FACS)	Expression profiling by high throughput sequencing	0.0
187	gse97389	Bone marrow progenitor cell isolation	Expression profiling by high throughput sequencing	0.0
186	gse145161	gene expression analysis	Genome binding/occupancy profiling by high throughput sequencing	0.0
184	gse145161	library preparation	Genome binding/occupancy profiling by high throughput sequencing	0.0
182	gse145161	RNA isolation	Genome binding/occupancy profiling by high throughput sequencing	0.0
213	gse56068	Immortalization of T-cells	Methylation profiling by genome tiling array	0.0
181	gse145161	RNA isolation	Expression profiling by high throughput sequencing	0.0
180	gse145161	ChIP-seq analysis	Genome binding/occupancy profiling by high throughput sequencing	0.0
179	gse145161	ChIP-seq analysis	Expression profiling by high throughput sequencing	0.0
178	gse149413	RNA-seq	Expression profiling by high throughput sequencing	0.0
177	gse149413	Fibroblast isolation	Expression profiling by high throughput sequencing	0.0
175	gse118402	Capture-C	Other	0.0
193	gse57172	QTL mapping	Expression profiling by array	0.0
194	gse57172	Phenotyping	Expression profiling by array	0.0
195	gse57172	Microarray hybridizations	Expression profiling by array	0.0
196	gse151330	mRNA-sequencing	Expression profiling by high throughput sequencing	0.0
198	gse185198	Laser capture microdissection (LCM)	Expression profiling by high throughput sequencing	0.0
199	gse185198	Tissue collection of crown root primordia (CRP)	Expression profiling by high throughput sequencing	0.0
200	gse193158	Conditional gene deletion	Expression profiling by high throughput sequencing	0.0
201	gse193158	Inducible Cre allele	Expression profiling by high throughput sequencing	0.0
202	gse193158	Floxed allele	Expression profiling by high throughput sequencing	0.0
203	gse193158	Tamoxifen administration	Expression profiling by high throughput sequencing	0.0
204	gse193158	Dissection	Expression profiling by high throughput sequencing	0.0
205	gse193158	RNA extraction	Expression profiling by high throughput sequencing	0.0
206	gse193158	RNA purification	Expression profiling by high throughput sequencing	0.0
207	gse193158	Quality and quantity measurement	Expression profiling by high throughput sequencing	0.0
209	gse193158	Library generation	Expression profiling by high throughput sequencing	0.0
210	gse193158	Hybridization	Expression profiling by high throughput sequencing	0.0
212	gse193158	Pathway analysis	Expression profiling by high throughput sequencing	0.0
257	reframedb_a00167	Luminescence reading	cell viability	0.0
258	reframedb_a00167	Normalization	cell based	0.0
259	reframedb_a00167	Normalization	cell viability	0.0
310	reframedb_a00252	Microtiter plates	high-throughput imaging	0.0
317	reframedb_a00230	High-throughput screening (HTS)	cell-based assay	0.0
316	reframedb_a00252	Velocity measurement	high-throughput imaging	0.0
315	reframedb_a00252	Velocity measurement	cell based	0.0
314	reframedb_a00252	Object tracking	high-throughput imaging	0.0
313	reframedb_a00252	Object tracking	cell based	0.0
311	reframedb_a00252	Brightfield imaging	cell based	0.0
309	reframedb_a00252	Microtiter plates	cell based	0.0
260	reframedb_a00167	ATP measurement	cell based	0.0
308	reframedb_a00252	Automated data analysis workflows	high-throughput imaging	0.0
307	reframedb_a00252	Automated data analysis workflows	cell based	0.0
306	reframedb_a00252	Flow cytometry	high-throughput imaging	0.0
305	reframedb_a00252	Flow cytometry	cell based	0.0
304	reframedb_a00252	Cell tracking	high-throughput imaging	0.0
300	reframedb_a00343	Non-linear regression curve fit	phenotypic	0.0
318	reframedb_a00230	High-throughput screening (HTS)	phenotypic	0.0
320	reframedb_a00230	Cell-based assay	phenotypic	0.0
322	reframedb_a00230	Recombinant virus assay	phenotypic	0.0
324	reframedb_a00230	Dose-response assay	phenotypic	0.0
325	reframedb_a00357	Cellular fluorescent screening assays	cell based	0.0
326	reframedb_a00357	Luminescent screening assays	cell based	0.0
327	reframedb_a00357	High throughput screening	cell based	0.0
328	reframedb_a00357	FLIPR Tetra system	cell based	0.0
330	reframedb_a00357	High-content imaging	cell based	0.0
331	reframedb_a00386	Growth inhibition assay	phenotypic	0.0
332	reframedb_a00386	Growth inhibition assay	cell-based	0.0
333	reframedb_a00386	High-throughput screening	phenotypic	0.0
334	reframedb_a00386	High-throughput screening	cell-based	0.0
335	reframedb_a00386	Drug susceptibility testing	phenotypic	0.0
336	reframedb_a00386	Drug susceptibility testing	cell-based	0.0
337	reframedb_a00386	Microtiter plate assay	phenotypic	0.0
338	reframedb_a00386	Microtiter plate assay	cell-based	0.0
299	reframedb_a00343	Non-linear regression curve fit	cell based	0.0
298	reframedb_a00343	IC50 and CC50 assays	phenotypic	0.0
297	reframedb_a00343	IC50 and CC50 assays	cell based	0.0
280	reframedb_a00343	Immunofluorescence staining	phenotypic	0.0
261	reframedb_a00167	ATP measurement	cell viability	0.0
264	reframedb_a00398	CD34+ selection	cell based	0.0
267	reframedb_a00398	Imaging	cell based	0.0
268	reframedb_a00398	Flow cytometry	cell based	0.0
269	reframedb_a00343	Antigen-antibody reactions	cell based	0.0
270	reframedb_a00343	Antigen-antibody reactions	phenotypic	0.0
271	reframedb_a00343	Fluorescently conjugated antibodies	cell based	0.0
272	reframedb_a00343	Fluorescently conjugated antibodies	phenotypic	0.0
274	reframedb_a00343	Fluorescent DNA or cell membrane binding dyes	phenotypic	0.0
275	reframedb_a00343	Automated microscope imaging	cell based	0.0
276	reframedb_a00343	Automated microscope imaging	phenotypic	0.0
277	reframedb_a00343	Image analysis	cell based	0.0
278	reframedb_a00343	Image analysis	phenotypic	0.0
279	reframedb_a00343	Immunofluorescence staining	cell based	0.0
281	reframedb_a00343	Nuclei staining	cell based	0.0
296	reframedb_a00343	"""Z calculation"""	phenotypic	0.0
282	reframedb_a00343	Nuclei staining	phenotypic	0.0
283	reframedb_a00343	Permeabilization	cell based	0.0
284	reframedb_a00343	Permeabilization	phenotypic	0.0
285	reframedb_a00343	Blocking	cell based	0.0
286	reframedb_a00343	Blocking	phenotypic	0.0
287	reframedb_a00343	Primary antibody incubation	cell based	0.0
288	reframedb_a00343	Primary antibody incubation	phenotypic	0.0
289	reframedb_a00343	Secondary antibody incubation	cell based	0.0
290	reframedb_a00343	Secondary antibody incubation	phenotypic	0.0
291	reframedb_a00343	Immunofluorescence quantification	cell based	0.0
292	reframedb_a00343	Immunofluorescence quantification	phenotypic	0.0
293	reframedb_a00343	Plate sealing	cell based	0.0
294	reframedb_a00343	Plate sealing	phenotypic	0.0
295	reframedb_a00343	"""Z calculation"""	cell based	0.0
174	gse118402	Capture-C	Genome binding/occupancy profiling by high throughput sequencing	0.0
172	gse118402	Hi-C	Other	0.0
669	reframedb_a00383	Target deconvolution	cell based	0.0
56	gse168192	Cell functional assays	Expression profiling by high throughput sequencing	0.0
64	gse45593	Microarray analysis	Expression profiling by array	0.0
63	gse45593	Microarray analysis	Third-party reanalysis	0.0
62	gse45593	Immunophenotyping	Expression profiling by array	0.0
61	gse45593	Immunophenotyping	Third-party reanalysis	0.0
60	gse45593	Genomics	Expression profiling by array	0.0
59	gse45593	Genomics	Third-party reanalysis	0.0
55	gse168192	Genetic knockdown	Expression profiling by high throughput sequencing	0.0
46	gse202238	Transcriptomic analysis	Expression profiling by high throughput sequencing	0.0
54	gse168192	Doxycycline induction	Expression profiling by high throughput sequencing	0.0
