	Class ID	Preferred Label	Synonyms	Definitions	Obsolete	Semantic Types	Parents
90741	C19533	Vertebrate Biology	Vertebrate Biology	A biological science concerned with the origin, structure, development, growth, function, genetics, and reproduction of animals having a vertebral column.	False		C17269
92024	C16542	Embryology	Embryology	The branch of biology that studies the formation and early development of living organisms.	False		C16501
92027	C16543	Endocrinology	Endocrinology and Metabolism|Metabolism and Endocrinology|Endocrinology	The science and medical specialty concerned with the metabolism, physiology, or hormonal secretions and their physiologic and pathologic relations.	False		C16749
92177	C18247	Cancer Genetics	Cancer Genetics|Genetics of Cancer	Cancer Genetics; the science of heredity and the biological process of transmission of characteristics from progenitor to offspring, especially concerning a heritable predisposition to cancer susceptibility.	False		C18666
93315	C16954	Parasitology	Microbiology, Virology, Parasitology|Parasitology	A branch of biology which deals with parasitic organisms with a strong emphasis on their role in disease.	False		C201957
93320	C16958	Surgical Pathology	Surgical Pathology	A field of anatomical pathology in which tissue or cells removed from a living organism are macroscopically and microscopically reviewed for the purpose of disease diagnosis.	False		C18189
96117	C18132	Parallel Computing	Parallel Computing	Model for high performance computing in which a problem is solved by multiple processors working cooperatively and simultaneously.	False		C18149
97238	C19093	Tumor Cell Biology	Tumor Cell Biology	The study of the tumor cells at the microscopic and molecular level.	False		C19323
97240	C19095	Tumor Immunology	Tumor Immunology	Interactions of the immune system and tumor cells	False		C19323
97244	C19097	Tumor Pathology	Tumor Pathology	The medical science, and specialty practice, concerned with all aspects of tumor development, growth, and metastasis, but with special reference to the essential nature, causes, and development of abnormal conditions, as well as the structural and functional changes that result from the tumor.	False		C19323
98220	C17173	Surgery	Surgical Specialty|Surgical Specialties|Surgical Profession|Surgery	The branch of medical science that treats disease or injury by operative procedures.	False		C17153
98291	C16698	Human Genetics	Human Genetics	The branch of genetics focusing on human heredity.	False		C16624
98990	C91062	Image Quantification	Image Quantification	The process of measuring attributes of an image, by human sense or machine observations and experiences, and mapping them into members of some set of numbers or coded concepts.	False		C17606
100097	C153193	Lipidomics	Lipidomics	A study of the complete set of lipids produced in a given cell or organism under specific conditions.	False		C17964
104446	C105686	Neonatology	Neonatology	A branch of pediatric medicine focused on the diagnosis and treatment of newborns.	False		C16962
104480	C19102	Urologic Oncology	Urologic Oncology	The branch of oncology concerned with the study, diagnosis, and treatment of cancer of the genitourinary tract.	False		C17837
104483	C19100	Ultraviolet Radiation Biology	Ultraviolet Radiation Biology	The field of science that studies the biological effects of ultraviolet radiation.	False		C17055
106919	C20039	Hematology, Other	Hematology, Other	The medical specialty that pertains to the anatomy, physiology, pathology, symptomatology, and therapeutics related to the blood and blood-forming tissues.	False		C16673
107025	C18948	Polymer Chemistry	Polymer Chemistry	The study of synthesis and application of polymers.  Polymers are any of numerous natural and synthetic compounds of usually high molecular weight consisting of up to millions of repeated linked units, each a relatively light and simple molecule.	False		C16419
107489	C86575	Orthodontics	Orthodontics	The branch of dentistry dealing with the prevention or correction of irregularities of the teeth.	False		C52653
107634	C86070	Endodontics	Endodontics	The branch of dentistry dealing with diseases of the dental pulp.	False		C52653
108767	C119712	Proteogenomics	Proteogenomic Research|Proteogenomic Characterization|Proteogenomics|Proteogenomic Analysis	A method of study that relates annotated genomic information to global protein expression in order to determine the relationship between genomic sequences and both expressed proteins and predicted peptide sequences; these studies can identify novel coding regions.	False		C84343
109563	C19051	Surgery, Neonatal Pediatric	Surgery, Neonatal Pediatric	Surgery on neonates	False		C17851
109567	C19056	Invertebrate Taxonomy	Taxonomy, Invertebrate|Invertebrate Taxonomy	The systematic classification of invertebrates.	False		C17469
109568	C19059	Vertebrate Taxonomy	Vertebrate Taxonomy|Taxonomy, Vertebrate	The systematic classification of vertebrates.	False		C17469
109569	C19058	Plant Taxonomy	Plant Taxonomy|Taxonomy, Plant	The systematic classification of plants.	False		C17469
109570	C19057	Microbial Taxonomy	Taxonomy, Microbial|Microbial Taxonomy	The systematic classification of bacteria.	False		C17469
113252	C105685	Emergency Medicine	Emergency Medicine	The medical specialty concerned with the prompt diagnosis and treatment of injuries, trauma, or sudden illness.	False		C17153
115374	C19086	Transplacental Carcinogenesis	Transplacental Carcinogenesis	Studies of the mechanisms of induction of cancer in an individual by in utero exposure to a carcinogen.	False		C19941
116210	C48038	Integration	Integration	An operation used in calculus whereby the integral of a function is determined.	False		C47925
116498	C105694	General Surgery	General Surgery	A surgical specialty that focuses on surgical management of diseases of the abdominal organs.	False		C17173
116648	C19545	Interactive Communication	Interactive Communication		False		C19367
116870	C94918	Iterative Reconstruction	Iterative Reconstruction	A method of reconstruction used in PET and SPECT that repeats a series of calculation steps with image data such that there is an improvement in the image quality in each repetition. It is an alternative approach to filtered backprojection.	False		C17606
117505	C17759	Therapeutic Radiology	Radiology, Therapeutic|Therapeutic Radiology|Radiotherapy [Medical Specialty]	The medical specialty concerned with the use of electromagnetic or particulate radiation in the treatment of disease.	False		C17059
118069	C16673	Hematology	Hematologic|Hematology	The branch of medicine that deals with the blood and blood-forming organs and the diseases thereof.	False		C16749
118299	C19938	Arctic Research	Arctic Research	Health Research affecting Inuit/Eskimo populations.	False		C17039
118574	C182015	Pyramid Representation	Image Pyramid|Pyramid Representation|Pyramid	An image processing method where an image is decomposed into multi-resolution representations allowing for analysis and manipulation of the image over a range of spatial scales.	False		C17606
119577	C16550	Entomology	Entomology	Entomology; the branch of zoology that studies insects.	False		C18858
122992	C111303	Reconstruction of Raw Data Type	Reconstruction of Raw Data Type|RECONDAT	The type of mathematical process used to produce the displayed image from the raw k-space data obtained from the receiver circuitry.	False		C47925
123837	C18913	Oral Microbiology	Oral Microbiology	A microbiology subdiscipline concerned with microorganisms of the buccal cavity.	False		C16851
123840	C18914	Organometallic Chemistry	Organometallic Chemistry	The chemistry of organometallic compounds (compounds having bonds between one or more metal atoms and one or more carbon atoms of an organyl group).  This concerns the synthesis, structure, reactivity, and the properties of such compounds, and the chemical transformations they undergo.	False		C16419
124498	C18650	Biology of HIV Infection	Biology of HIV Infection	Delineate the molecular and cellular mechanisms of establishment and systemic spread of infection and their impact on disease progression.	False		C19112
125228	C16991	Comparative Physiology	Comparative Physiology	The study of similarities and differences of the vital processes of different organisms.	False		C19301
126115	C18979	Radiation Biology, Low Level Ionizing Radiation	Radiation Biology, Low Level Ionizing Radiation	The study of the mechanisms and biological effects of low level ionizing radiation.	False		C17055
126119	C18974	Protein/Amino Acid Biochemistry, Synthesis	Protein/Amino Acid Biochemistry, Synthesis	Protein synthesis occurs in the cell by translating the sequential codons in messenger RNAs into amino acid residues of a peptide chain.  This translation physically occurs in macromolecular complexes called ribosomes, pairing amino acid-carrying transfer RNA complexes with individual codons of the messenger RNA, transferring the elongating peptide to this tRNA-amino acid complex with formation of a peptide bond, releasing the previous tRNA, and translocating the messenger RNA to make the next codon available for pairing.  The process is then repeated until a termination codon is read and the peptide is released.	False		C19902
126121	C18972	Protein/Amino Acid Biochemistry, Degradation and Protease Chemistry	Protein/Amino Acid Biochemistry, Degradation and Protease Chemistry	The study of the molecules and mechanisms involved in the metabolism of proteins and amino acids with an emphasis on their processing and degradation.	False		C19902
126123	C18976	Pulmonary Pharmacology and Toxicology	Pulmonary Pharmacology and Toxicology|Pulmonary Pharmacology/Toxicology	A branch of pharmacology concerned with the effect of drugs on the lungs with an emphasis on the toxic effects of drugs on the lungs.	False		C18222
126124	C18973	Protein/Amino Acid Biochemistry, Enzymology	Protein/Amino Acid Biochemistry, Enzymology	The enzymes involved in the metabolism of proteins and amino acids.	False		C19902
126125	C18978	Radiation Biology, Electromagnetic Fields	Radiation Biology, Electromagnetic Fields	The study of the mechanisms and biological effects of electromagnetic fields.	False		C17055
126425	C129677	DNA Repair Kinetics	Repair Kinetics|DNA Repair Kinetics	The rate at which a cell can repair DNA.	False		C18491
126853	C19451	Nucleic Acid Biochemistry, Enzymology	Nucleic Acid Biochemistry, Enzymology	The branch of nucleic acid biochemistry concerned with the properties and actions of enzymes.	False		C19350
126855	C19454	Toxicology, Other	Toxicology, Other	This term is used as a form filler when there is no appropriate Toxicology term available.	False		C17206
126977	C201957	Infectious Disease Specialty	Infectious Disease Specialty|Infectious Disease	The medical specialty dealing with the diagnosis and treatment of infections.	False		C16749
127600	C20882	Trauma Nursing	Trauma Nursing	Critical Care Nursing specialty devoted to the care of the traumatically injured patient.	False		C17602
127605	C20888	Obstetrical Nursing	Obstetric Nursing|Obstetrical Nursing	Nursing care given to the pregnant patient before, during, or after childbirth.	False		C18827
127606	C20880	Perianesthesia Nursing	Perianesthesia Nursing	Nursing care of the patient under anesthesia and in the immediate post-anesthesia period.	False		C17602
127607	C20881	Emergency Room Nursing	Emergency Room Nursing|Emergency Nursing|ED Nursing|ER Nursing	The nursing specialty concerned with the care of patients in the emergency room.	False		C17602
128372	C19446	Red Blood Cell Structure/Function/Metabolism	Red Blood Cell Structure/Function/Metabolism	Cell biology concerned with structure and function of erythrocytes.	False		C16405
128803	C19500	RNA Biochemistry	Nucleic Acid Biochemistry, RNA - Ribonucleic Acid|RNA Biochemistry|Nucleic Acid Biochemistry, RNA	The branch of biochemistry that is specifically concerned with the structure, synthesis, and maintenance of RNA.	False		C19350
128859	C17035	Psychopathology	Psychopathology	The branch of pathology focusing on mental illness and abnormal behavior.	False		C18189
128861	C17039	Public Health	Public Health	The science and practice of protecting and improving the health of a community, as by preventive medicine, health education, control of communicable diseases, application of sanitary measures, and monitoring of environmental hazards.	False		C17153
129836	C18715	Comparative Biochemistry	Comparative Biochemistry	The study of the similarities and differences between different living organisms of the biological and physiological chemistry of the organisms. Used for the scientific discipline or the biochemical processes themselves. (from PSY94)	False		C19301
130369	C84343	Genomics	Genomics Research|Genomics|genomics	The study of the structure, function, expression, evolution, mapping and editing of genomes.	False		C17964
131952	C90448	Reproductive and Developmental Toxicology	Reproductive and Developmental Toxicology|Developmental and Reproductive Toxicology|DART|REPRO	The branch of pharmacology that deals with the nature and effects of poisonous substances on reproduction and development.	False		C17206
133205	C18810	Applied Genetics	Applied Genetics|Genetics, Applied	The application of genetics techniques to solve practical problems.	False		C16624
133206	C18811	Experimental Genetics	Experimental Genetics	Basic research in the field of genetics.	False		C16624
133208	C18816	Glycobiology	Glycobiology	The study of the structure, biosynthesis, biology, and evolution of sugars and saccharides.	False		C18676
133491	C86047	Anesthesiology	Anesthesiology	The medical specialty concerned with patient comfort before, during, and after surgery and other medical procedures, including administration of anesthesia.	False		C17153
134486	C94896	Filtered Backprojection	Filtered Backprojection|Backprojection	A method of reconstruction that sums individual contributions to a pixel (voxel) value from detected counts of all lines of response passing through this pixel (voxel). It is an alternative approach to iterative reconstruction. Associated with this process is also a filtering that removes undesirable artifacts.	False		C17606
134494	C94891	Electronic Collimation	Electronic Collimation	The use of coincidence with a pair of gammas giving a coincidence event in detectors 180 degrees apart in a PET scanner to define a line of response along which lies the location of the radiation emitting tracer. This differs from the use of slab collimators whose many holes define lines of response from a single gamma emission.	False		C17606
134546	C19014	Retrovirology	Retrovirology	The study of RNA viruses from the family Retroviridae, which copy their genomes into DNA by action of reverse transcriptase and insert them into the host genome.	False		C19120
135149	C153190	Epigenomics	Epigenomics	A study of the complete set of epigenetic modifications on the genetic material of a cell.	False		C84343
135958	C16487	Cytogenetics	cytogenetics|Cytogenetics|Cytogenetic	The branch of biology that studies the cellular aspects of heredity, especially the chromosomes. Includes the study of disease states caused by numerical and structural chromosome abnormalities.	False		C16624
137626	C115557	Clinical Trial Publication Policy	Clinical Trial Publication Policy|Pubs Policy|Publication Policy	The approved guidelines governing the publication of results from a clinical trial.	False		C17735
137944	C17964	Bioinformatics	Bioinformatics|Computational Biology|bioinformatics	Bioinformatics derives knowledge from computer analysis of biological data. These can consist of the information stored in the genetic code, but also experimental results from various sources, patient statistics, and scientific literature. Research in bioinformatics includes method development for storage, retrieval, and analysis of the data. Bioinformatics is a rapidly developing branch of biology and is highly interdisciplinary, using techniques and concepts from informatics, statistics, mathematics, chemistry, biochemistry, physics, and linguistics. It has many practical applications in different areas of biology and medicine. (M. Nilges and Jens P. Linge, Unite de Bio-informatique Structurale, Institut Pasteur, Paris)	False		C18145
138085	C16439	Clinical Informatics	Clinical Informatics|Health Informatics|Medical Informatics	The application of informatics methods to manage medical information and improve healthcare.	False		C18145
138388	C16801	Long-Term Care for Elderly	Long-Term Care for Elderly	Long-term care encompasses a broad range of help with daily activities that chronically disabled individuals need for a prolonged period of time.	False		C19155
139857	C18220	Human Biology	Human Biology	Interdisciplinary studies involving biology, anthropology, nutrition, and medicine with a focus on humans.	False		C19533
139965	C15889	Traditional Indigenous System	Traditional Indigenous System	Subcategory of Alternative Medical Systems in CAM. This sub-category refers to major indigenous systems of medicine other than acupuncture and traditional oriental medicine. It includes systems such as Ayurvedic medicine, Native American Medicine, Unani-Tibbi, Kampo, Traditional African systems and community based traditional medical systems. This sub-category may become subdivided further as these systems become better studied and more familiar in the U.S. Included are: Native American Medicine, Ayurvedic Medicine, Unani-Tibbi, SADHU, Kampo Medicine, Traditional African Medicine, Traditional Aboriginal Medicine, Curandersimo, Central and South American practices, Psychic surgery.	False		C180905
140312	C201964	Transplant Hepatology	Transplant Hepatology	A subspecialty of hepatology concerned with the special needs of liver transplant recipients.	False		C192581
140426	C105693	Sports Medicine	Sports Medicine	A medical specialty concerned with the diagnosis and treatment or injuries or illness resulting from athletic activities.	False		C17153
140665	C20626	Enzyme Kinetics	Enzyme Kinetics	A subdiscipline of Kinetics that studies the rates and mechanics of enzymes and enzyme-driven reactions.	False		C16770
140671	C20621	Hematopathology	Hematopathology	The branch of pathology concerned with diseases and disorders of the blood and blood-forming organs.	False		C18189
141551	C16931	Occupational Medicine	Occupational or Industrial Medicine|Occupational Medicine	This branch of medicine is concerned with the prevention, diagnosis, and treatment of injuries and illnesses that occur at the workplace or as a result of toxic exposures, stress, or accidents at the workplace. Occupational medicine encompasses issues such as industrial hygiene, safety, pollution control, ergonomics, industrial and agricultural toxicology, disability evaluation, physical rehabilitation, industrial psychology and emergency medicine. (BioTech Life Science Dictionary)	False		C17153
141554	C16939	Ophthalmology	Ophthalmology|OPHTHALMOLOGY|Ophthalmologic	A medical specialty concerned with the structure and function of the eye and the medical and surgical treatment of its defects and diseases.	False		C17153
142006	C19339	Optical Image Reconstruction	Reconstruction|Optical Image Reconstruction|Image Reconstruction	The process of generating an image from the raw data, or set of unprocessed measurements, made by an imaging system. (from AmershamHealth Medcyclopaedia)	False		C17606
142424	C18696	Child and Family Social Services	Child and Family Social Services		False		C17142
142428	C18694	Quantitative Chemistry	Chemistry, Quantitative|Quantitative Chemistry	A subdiscipline of chemistry concerned with the study of reaction rates and equilibrium states of chemical reaction	False		C16415
142890	C18988	Radiology, Head, Neck	Radiology, Head, Neck	A specialty concerned with the use of x-ray and other forms of radiant energy in the diagnosis and treatment of disease of the head and neck.	False		C17059
142892	C18989	Radiology, Soft Tissue	Radiology, Soft Tissue	A specialty concerned with the use of x-ray and other forms of radiant energy in the diagnosis and treatment of disease of soft tissue.	False		C17059
142894	C18985	Radioimmune Chemistry	Radioimmune Chemistry	A branch of chemistry concerned with radioimmunoconjugates.	False		C16713
142897	C18987	Radiology, Dental	Radiology, Dental		False		C17059
142898	C18986	Radiology, Bone	Radiology, Bone	A specialty concerned with the use of x-ray and other forms of radiant energy in the diagnosis and treatment of disease of the bone.	False		C17059
143361	C20126	Structural Genomics	Structural Genomics	The combination of computational DNA sequence analysis with structural determinations by X-ray crystallography and NMR techniques to study protein structural families. (from RFA: GM-99-009)	False		C84343
143367	C20121	Molecular Carcinogenesis	Molecular Carcinogenesis	Research that focuses on the genetics and mechanisms of cell transformation; the role of oxygen radicals in the carcinogenesis process; and identification and properties of tumor promoters and mechanisms of tumor promotion.	False		C18681
143368	C20122	Experimental Tobacco Carcinogenesis	Experimental Tobacco Carcinogenesis	Studies on the toxicology and pharmacology of smoking and tobacco-related exposures.  The research in this category is directed toward understanding the nature of the chemicals involved, and the reaction mechanisms behind, the deleterious effects of tobacco smoke and smokeless tobacco products.	False		C18681
144116	C17041	Public Policy	Public Policy	The basic policy or set of policies forming the foundation of public laws, especially such policy not yet formally enunciated. (dictionary.com)	False		C17735
144119	C17040	Public Health Nursing	Public Health Nursing	A discipline in nursing with a specific focus on health related concerns that can affect the general population; this includes high risk behaviors and communicable diseases.	False		C16456
144593	C192581	Hepatology	Hepatology	A branch of medicine concerned with disorders of the liver.	False		C16749
145932	C18479	Neuropathology	Neuropathology	The branch of pathology concerned with diseases and disorders of the nervous system.	False		C18189
146263	C19576	Nutritional Carcinogenesis	Nutritional Carcinogenesis	Basic studies on the etiologic effects of dietary macronutrients such as fat, vitamins and proteins; food mutagens and carcinogens formed during cooking; carcinogenic compounds and other substances closely associated with food preparation such as free radicals, fibers, and pyrolysis products; and digestive tract mutagens which form as a result of compound biodegradation, biotransformation, etc. The etiology of cancer resulting from deficiencies in the availability of various micronutrients, vitamins, metals, etc., is also of interest.	False		C18681
146264	C19571	Molecular Toxicology	Molecular Toxicology	The branch of toxicology that tries to understand the health effects of poisons by understanding the way that genes, proteins, and molecules interact.	False		C17206
147531	C142485	Data Mapping	Data Mapping|mapping	The process of connecting an item or symbol to a code or concept.	False		C47925
149400	C192382	Deformable Image Registration	Deformable Image Registration|Deformable Registration	An image registration process that can correct for changes in compared images by mapping between volume elements in one image and the corresponding volume elements in a subsequent image. Unlike rigid image registration, deformable image registration can account for non-linear displacements.	False		C80145
149458	C18465	Research Ethics	Research Ethics	The branch of ethics that studies moral values in research sciences and practices.	False		C39796
150207	C20085	Proteomics	Proteomics Research|Proteomic Research|Proteomics|proteomics	The global analysis of cellular proteins. Proteomics uses a combination of sophisticated techniques including two-dimensional (2D) gel electrophoresis, image analysis, mass spectrometry, amino acid sequencing, and bio-informatics to resolve comprehensively, to quantify, and to characterize proteins. The application of proteomics provides major opportunities to elucidate disease mechanisms and to identify new diagnostic markers and therapeutic targets.	False		C17964
150968	C82964	Computer Job	Computer Job|Job	A unit of work done by a computer consisting of a single complete task.	False		C62617
151129	C18870	Medical Radiation Physics	Medical Radiation Physics	The study of ionizing radiation and its effects on matter as it pertains to clinical use and practice.	False		C16922
151131	C18873	Microbial Physiology	Microbial Physiology	The metabolism of microbial life forms.	False		C16851
151132	C18874	Medical Microbiology	Medical Microbiology|Microbiology, Medical	The study of microorganisms with an emphasis on their role in the human disease process.	False		C16851
152314	C19023	School Health Nursing	School Nursing|School Health Nursing	Nursing care given to those in school settings	False		C16456
152319	C19025	Science Policy	Science Policy	The prioritizing of science projects by a government	False		C17735
153378	C20874	Medical-Surgical Nursing	Medical-Surgical Nursing|Med/Surg Nursing	Medical-Surgical Nursing includes the provision of care to individuals who have a known or predicted physiological alteration. Working within an interdisciplinary team and guided by theory and research, medical-surgical nursing practice considers all influences on health status and the related social and behavioral problems arising because of the patient's physiological condition.  Medical-surgical nursing is practiced in primary, acute, or long-term nursing care facilities. (from ANCC)	False		C20868
153380	C20876	Subacute Nursing	Subacute Care|Subacute Nursing|Sub-Acute Care	Comprehensive inpatient nursing care to treat one or more specific active complex medical conditions or to administer one or more technically complex treatments. Subacute care is generally more intensive than traditional nursing care and less intensive than acute care.	False		C20868
153381	C20877	Clinical Research Nursing	Clinical Research Nursing	Professional nursing care provided in a research environment.  Including management of clinical trials, direct patient care, and research assistance.	False		C20868
153383	C20879	OR Nursing	Perioperative Nursing|Surgical Nursing|Operating Room Nursing|OR Nursing	Nursing that is concerned with patient care during the preoperative, intraoperative, and postoperative phases of surgery.	False		C17602
153384	C20870	Long-Term Care Nursing	Long-Term Care Nursing|Nursing Home Nursing|LONG TERM NURSING CARE FACILITY	Professional nursing care provided in a long-term care/nursing facility to residents unable to provide for themselves a safe and adequate level of care.	False		C20868
153385	C20878	Flight Nursing	Flight Nursing	The provision of emergency or supportive nursing care to patients transported by helicopters or fixed-wing aircraft.	False		C17602
153386	C20875	Orthopedic Nursing	Orthopaedic Nursing|Orthopedic Nursing	Nursing care with a special emphasis on the care of individuals with orthopaedic-related injuries, diseases, and diagnoses.	False		C20868
153436	C18858	Invertebrate Biology	Invertebrate Biology	The science concerned with the origin, structure, development, growth, function, genetics, and reproduction of animals that have no spinal column.	False		C17269
153440	C18853	Inhalation Toxicology	Inhalation Toxicology	The branch of toxicology focusing on the health effects of inhaled poisons.	False		C17206
154091	C192371	Interventional Cardiology	Cardiovascular|Interventional Cardiology	A branch of cardiology concerned with the use of intravascular therapies, including coronary angioplasty and stenting, to treat disorders of the cardiovascular system.	False		C86055
154614	C105692	Pulmonary Medicine	Pulmonology|Pulmonary Medicine|Pulmonary	A medical specialty concerned with diagnosis and treatment of lung disorders and other breathing problems.	False		C16749
154664	C19268	Resource Informatics	Resource Informatics	The field of information science concerned with the analysis and dissemination of medical data through the application of computers to various resource aspects of health care and medicine.  Resources may include databases (drug structures, gene sequences, genealogical data, insurance records, tumor registries), software, cell or tissue banks, or other collections available for use in research.	False		C18145
155926	C19615	Neuropharmacology and Toxicology	Neuropharmacology / Toxicology|Neuropharmacology and Toxicology	Research into the mechanisms of drug action and cellular neurotoxicity in brain cells.	False		C18222
155928	C19613	Mammalian Genetics	Mammalian Genetics	The branch of science concerned with the means and consequences of transmission and generation of the components of biological inheritance in animals of the class Mammalia.	False		C16624
157883	C17381	Occupational Health	Occupational Health	The identification and control of risks and hazards in the workplace to establish and maintain a safe and healthy work environment.	False		C17039
159526	C17819	Experimental Hematology	Experimental Hematology	Basic research in the field of hematology.	False		C16673
162508	C17829	Gynecologic Oncology	Gynecologic Oncology|oncology, gynecologic	The branch of oncology that focuses on tumors of the reproductive tract of women.	False		C17837
163394	C17940	Microbial Genetics	Microbial Genetics	A branch of genetics concerned with the mechanisms and processes of heredity in microorganisms.	False		C16624
164292	C19118	Virology, DNA Viruses, Polyomavirus	Virology, DNA Viruses, Polyomavirus	The study of polyoma viruses and the diseases that they cause.	False		C19117
164293	C19112	Virology and Immunopathogenesis of HIV	Virology and Immunopathogenesis of HIV	Delineate the cellular and molecular mechanisms associated with the viral immunopathogenesis of HIV-related immune dysfunction.	False		C17256
164294	C19114	Virology, DNA Viruses, Adenovirus	Virology, DNA Viruses, Adenovirus	The study of adenoviruses and the diseases they cause.	False		C19115
164295	C19115	Virology, DNA Viruses, General	Virology, DNA Viruses, General	The study of DNA viruses.	False		C17256
164296	C19116	Virology, DNA Viruses, Papillomavirus	Virology, DNA Viruses, Papillomavirus	The study of papilloma viruses and the diseases that they cause.	False		C19117
164298	C19119	Virology, Human	Virology, Human	The study of those viruses that infect humans and the diseases they cause.	False		C17256
164299	C19113	Virology, Animal	Virology, Animal	The study of animal viruses and the diseases they cause.	False		C17256
164300	C19111	Viral Genetics	Viral Genetics	The branch of science concerned with the means and consequences of viral transmission and generation of the components of biological inheritance.	False		C16624
164301	C19117	Virology, DNA Viruses, Papovavirus	Virology, DNA Viruses, Papovavirus	The study of papova viruses and the diseases they cause.	False		C19115
164443	C28641	Hospice Nursing	End-of-life Nursing|Hospice Nursing	Nursing specialized in providing palliative care for terminally ill patients.  It includes support for both the patient and their family.	False		C20889
166049	C18961	Prostaglandin Pharmacology	Prostaglandin Pharmacology	The branch of pharmacology concerned with the chemistry, actions, and uses of prostaglandins.	False		C18936
166054	C18967	Protein Function	Protein Function	The action of enzymes, regulators, chaperones etc.	False		C19902
166055	C18964	Protein Chemistry	Peptide/Protein Chemistry|Protein Chemistry	The chemistry (synthesis, degradation, and modification) of proteins and peptides.	False		C19902
166454	C18809	Genetic Toxicology	Genetic Toxicology|GENTOX	Toxicology focusing on the effects of drugs on genetics material and the generation of mutations and cancer.	False		C17206
167559	C18778	Expedite Dissemination	Expedite Dissemination	Support research to identify existing gaps in communications approaches, identify existing strategies that are effective, and develop and test new and innovative communication strategies that will improve access to and use of state-of-the-art HIV information by all relevant target audiences. (FMB)	False		C16732
167921	C16942	Orthopedics	Orthopedic Surgical Profession|Orthopedic Surgery|Orthopedics|Orthopedic	The branch of surgery broadly concerned with the skeletal system (bones and joints).	False		C17173
167925	C16943	Otolaryngology	Otorhinolaryngology|Oto/Rhino/Laryngology|Ear, Nose, and Throat|Otolaryngology|ENT	A medical specialty concerned with the study and treatment of disorders of the ear, nose, and throat.	False		C17153
169700	C18098	Molecular Pathology	Molecular Pathology	Description of disease and disease processes based upon the underlying protein and genetic defects rather than by a description of morphology.	False		C18189
169703	C18094	Immunopathology	Immunopathology	The branch of pathology focusing on immune diseases.	False		C18189
170838	C19294	Parasitology, Other	Parasitology, Other	This term is used as a form filler when there is no appropriate Parasitology term available.	False		C16954
171575	C18491	Cell Cycle Kinetics	Cell Cycle Kinetics|Cell Kinetics	Cell cycle kinetics is the rate at which a cell progresses through the cell cycle.  It is a general indication of how fast a tissue or cell sample is proliferating.  This rate is generally increased in more aggressive tumors and can be measured by various biochemical methods such as the incorporation of labeled nucleotides into replicating DNA or the level of expression of cell cycle proteins or other proliferation markers.	False		C19372
174484	C19625	Cytoskeleton/Tumor Biology	Cytoskeleton/Tumor Biology	The study of the role of the cytoskeleton in the development and treatment of tumors and cancer.	False		C19093
174513	C105690	Podiatry	Podiatry	A medical specialty concerned with care and treatment of human feet in health and disease.	False		C17153
174615	C18826	Gynecologic Pathology	Gynecologic Pathology	The medical science and specialty practice concerned with all aspects of disease of the genital tract, endocrine system, and reproductive system of the female.	False		C18189
176989	C73932	Serialization	Serialization	The process of taking a data object and converting it to a format in which it can be transported across a network or persisted to a storage location.	False		C47925
176992	C73937	Commit Operation	Commit Operation|Commit|Save	The final step in the processing of a business transaction during which a business process is done. Examples of business processes include creation of a study or the registration of a patient into a study.	False		C62617
176994	C73933	Deserialization	Deserialization	The process of taking a data object from a transport operation or persisted storage location and converting it back to its original form.	False		C47925
176995	C73938	Rollback Operation	Rollback Operation|Rollback|Undo	A command to cancel a business process and return a record to its previous state.	False		C62617
177071	C18892	Mycology, Nonclinical	Mycology, Nonclinical	The study of fungus in a nonclinical environment, ie not as a pathogen	False		C16851
177074	C18898	Neurogenetics	Neurogenetics	A subdiscipline of genetics with a focus on nerve cells and the nervous system.	False		C16624
177401	C18832	Health Promotion in Nursing	Health Promotion in Nursing		False		C17011
177627	C16668	Health Policy	Health Policy	A set of decisions and courses of action undertaken to achieve specific health care goals within a community or society.	False		C17735
177938	C47929	Deconvolution	Deconvolution	Processing of signal parameters to exclude undesirable effects, including those caused by the detection instrument itself.	False		C47925
178041	C18192	Plastic Surgery	Plastic Surgery	The branch of surgery concerned with therapeutic or cosmetic reformation of tissue.	False		C17173
178162	C18633	Animal Genetics	Animal Genetics	The study of genetic traits in animals.	False		C16624
178165	C18636	Auditory Physiology	Auditory Physiology	The science concerned with the normal processes of hearing	False		C19029
178180	C18998	Repair Enzymology	DNA Repair Enzymology|Repair Enzymology	The study of the enzymes and mechanisms involved in the repair of damaged DNA.	False		C19451
178182	C18990	Radiology, Thorax, Chest	Radiology, Thorax, Chest	A specialty concerned with the use of x-ray and other forms of radiant energy in the diagnosis and treatment of disease of the thorax and chest.	False		C17059
178186	C18997	Renal/Urogenital Pathology	Renal/Urogenital Pathology	The medical science, and specialty practice, concerned with all aspects of disease of the kidney and general organs of reproduction and urination, but with special reference to the essential nature, causes, and development of abnormal conditions, as well as the structural and functional changes that result from the disease processes.	False		C18189
178187	C18991	Receptor Biology and Gene Expression	Receptor Biology and Gene Expression	The study of the regulation of gene expression by nuclear receptors.  Includes the mechanisms by which receptors are themselves regulated.	False		C16872
178286	C105688	Obstetrics and Gynecology	Obstetrics and Gynecology|OBG/GYN|OBGYN	A medical specialty concerned with the female reproductive organs in their pregnant and non-pregnant states.	False		C17153
179219	C19974	Biosynthetic Chemistry	Biosynthetic Chemistry	A branch of chemistry dealing with the biosynthesis of compounds.	False		C20609
