"Data Set","Data Set Version","Apollo","Contact","Contact institution","Release # and date","Build Number Introduced","Category","Data Set Name","dataset_id","Organism(s) (source or reference)","Publications","Release Policy","Short Attribution","Summary","Type","Genes"
"SNP calls on WGS of Sporothrix brasiliensis isolates","2020-11-30","Apollo","Marcus Teixeira","Departamento de Biologia Celular, Universidade de Brasília, Brasília, DF, Brazil","FungiDB rel. 63, 2023-MAY-03","63","Genetic variation","sbra5110_HTS_SNP_Sbra_FIlho_PRJNA607682_RSRC","DS_3182236459","<i>Sporothrix brasiliensis</i> 5110<br>","33155518","N/A","Filho et al. 2020","Natural variation of Sporothrix brasiliensis in different epidemic areas of the Brazilian territory","isolates","N/A"
"<i>Trichoderma reesei</i> QM6a 2017 Genome Sequence and Annotation","2017-03-30","N/A","Ting-Fang Wang","Institute of Molecular Biology, Academia Sinica, Taiwan","FungiDB rel. 54, 2021-SEP-08","51","Genomes","treeQM6a2017_primary_genome_RSRC","DS_3182ff461b","<i>Trichoderma reesei</i> QM6a 2017<br>","28690679","N/A","Wan-Chen Li et al. 2017","Genome Sequence and Annotation for <i>Trichoderma reesei</i> QM6a 2017","genome","10238"
"<i>Fusarium mangiferae</i> MRC7560 Genome Sequence and Annotation","2016-12-06","Apollo","Robert H. Proctor","USDA ARS NCAUR, Peoria, USA","FungiDB rel. 60, 2022-NOV-09","60","Genomes","fmanMRC7560_primary_genome_RSRC","DS_31a4f96649","<i>Fusarium mangiferae</i> MRC7560<br>","32703172","N/A","Robert H. Proctor","Genome Sequence and Annotation of <i>Fusarium mangiferae</i> MRC7560","genome","16149"
"Development stage specific proteome","2016-04-16","Apollo","Rembert Pieper","JCVI","FungiDB rel. 32, 2017-APR-20","32","Protein expression","afumAf293_quantitativeMassSpec_Suh_stageSpecific_RSRC","DS_320aa01bad","<i>Aspergillus fumigatus</i> Af293<br>","22545825","N/A","Suh et al.","<i>Aspergillus fumigatus</i> quantitative stage-specific proteome","protein_expression","N/A"
"SNP calls on WGS of 182 isolates of Candida albicans collected worldwide","2018-06-05","Apollo","Christophe d’Enfert","Department of Mycology, Fungal Biology and Pathogenicity Unit, Institut Pasteur, INRA, France","FungiDB rel. 55, 2021-DEC-02","55","Genetic variation","calbSC5314_HTS_SNP_WGS_182_Candida_Ropars_RSRC","DS_325f546077","<i>Candida albicans</i> SC5314<br>","29884848","N/A","Ropars et al. 2018","Isolates were collected worldwide, and include commensal isolates, as well as ones responsible for superficial and invasive infections.","isolates","N/A"
"RNA-seq analysis of FSS1-dependent genes in Fusarium graminearum Z-3639","2015-06-17","Apollo","Yin-Won Lee","Department of Agricultural Biotechnology, Seoul National University","FungiDB rel. 59, 2022-AUG-30","59","RNASeq","fgraPH-1_Son_2015_FZ3639_ebi_rnaSeq_RSRC","DS_326fa801af","<i>Fusarium graminearum</i> PH-1<br>","25627458","N/A","Son et al. 2015","The wild-type, fss1 deletion, fss1 overexpression mutant strains were incubated in potato dextrose broth (PDB) with or without 1 M NaCl supplementation for an hour.","transcript_expression","N/A"
"<i>Fusarium proliferatum</i> ET1 Genome Sequence and Annotation","2016-12-06","Apollo","Ulrich Güldener","Technische Universität München, Wissenschaftszentrum Weihenstephan, Department of Genome-oriented Bioinformatics","FungiDB rel. 51, 2021-MAR-16","41","Genomes","fproET1_primary_genome_RSRC","DS_32a5330fef","<i>Fusarium proliferatum</i> ET1<br>","28040774","N/A","Ulrich Güldener","Genome sequence and annotation for <i>Fusarium proliferatum</i> ET1.","genome","16509"
"Chemical Entities of Biological Interest Compounds","2021-10-13","N/A","EMBL-EBI","EMBL-EBI","FungiDB rel. 1.0, 01-JAN-05","0","Compounds from ChEBI","compounds_chEBI_RSRC","DS_32b4753324","<br>","23180789","N/A","EMBL-EBI","Compound records from Chemical Entities of Biological Interest (ChEBI)","compound","N/A"
"The Sequence Ontology","2015-05-15","N/A","The Sequence Ontology Project (SO)","N/A","FungiDB rel. 1.0, 01-JAN-05","0","Ontology and terminology","SO_RSRC","DS_3331bdf8a7","<br>","15892872","N/A","The Sequence Ontology Project (SO)","The Sequence Ontology Project (SO) is a joint effort by genome annotation centres, including: WormBase, 
         FlyBase, the Mouse Genome Informatics group, and the Sanger Institute. As part of the Gene Ontology Project 
         and the Open Biomedical Ontologies (OBO), their aim is to develop an ontology, or hierarchical vocabulary, suitable for describing biological sequences.","sres","N/A"
"<i>Aspergillus campestris</i> IBT 28561 Genome Sequence and Annotation","2017-12-27","Apollo","Igor V. Grigoriev","DOE Joint Genome Institute","FungiDB rel. 51, 2021-MAR-16","37","Genomes","acamIBT28561_primary_genome_RSRC","DS_339f68fa2f","<i>Aspergillus campestris</i> IBT 28561<br>","29317534","N/A","Igor V. Grigoriev","<i>Aspergillus campestris</i> IBT 28561 Genome Sequence and Annotation","genome","9929"
"Transcriptome analysis of the col-26 mutant and its wild type parental strain","2017-04-09","Apollo","Louise N. Glass","University of California, Berkeley","FungiDB rel. 45, 2019-SEP-05","45","RNASeq","ncraOR74A_Glass_Starch_Degradation_ebi_rnaSeq_RSRC","DS_33fc617b03","<i>Neurospora crassa</i> OR74A<br>","28467421","N/A","Glass et al. 2017","mRNA profiles after 4 hours of exposure to various carbon sources","transcript_expression","N/A"
"<i>Fusarium solani</i> FSSC 5 MPI-SDFR-AT-0091 Genome Sequence and Annotation","2022-02-02","Apollo","Francis Martin","INRA, France","FungiDB rel. 63, 2023-MAY-03","63","Genomes","fsolFSSC5MPISDFRAT0091_primary_genome_RSRC","DS_344fe1e671","<i>Fusarium solani</i> FSSC 5 MPI-SDFR-AT-0091<br>","34893598","N/A","Francis Martin","Genome Sequence and Annotation of <i>Fusarium solani</i> FSSC 5 MPI-SDFR-AT-0091","genome","17940"
"Mapping 3-prime ends of coding genes with QuantSeq 3-prime mRNA-Seq (PAS-Seq)","2020-03-18","Apollo","Guilhem Janbon","Institut Pasteur, Unité Biologie des ARN des Pathogènes Fongiques, Département de Mycologie, France","FungiDB rel. 59, 2022-AUG-30","59","RNASeq","cneoJEC21_PasSeqJEC21_Wallace_2021_ebi_rnaSeq_RSRC","DS_34f2ba224c","<i>Cryptococcus neoformans</i> var. neoformans JEC21<br>","32020195","N/A","Wallace et al. 2020","Positioning the 3′ ends of coding genes.","transcript_expression","N/A"
"RNA-seq Analysis of FlbD-, AbaA-, and WetA-dependent Genes in Fusarium graminearum Z-3639","2013-09-10","Apollo","Yin-Won Lee","Department of Agricultural Biotechnology, Seoul National University","FungiDB rel. 58, 2022-JUN-23","58","RNASeq","fgraPH-1_Son_Z-3639_2013_ebi_rnaSeq_RSRC","DS_36c1c0082f","<i>Fusarium graminearum</i> PH-1<br>","24039821, 24186953, 25277408, 27175901","N/A","Son et al. 2013","RNA-seq Analysis of FlbD-, AbaA-, and WetA-dependent Genes in Fusarium graminearum Z-3639","transcript_expression","N/A"
"<i>Zymoseptoria tritici</i> IPO323 Genome Sequence and Annotation","2015-07-01","Apollo","Eva Stukenbrock","Max Planck Institute for Evolutionary Biology","FungiDB rel. 51, 2021-MAR-16","34","Genomes","ztriIPO323_primary_genome_RSRC","DS_36dcafc6dd","<i>Zymoseptoria tritici</i> IPO323<br>","21695235, 25917918","N/A","Eva Stukenbrock","Genome sequence and annotation for <i>Zymoseptoria tritici</i> IPO323","genome","11839"
"SNP calls on WGS of 17 clinical isolates","2022-06-28","Apollo","Anna Selmecki","Department of Microbiology and Immunology, University of Minnesota Medical School","FungiDB rel. 64, 2023-JUL-12","64","Genetic variation","caurB8441_HTS_SNP_Cau_evol_PRJNA635156_RSRC","DS_36f31fca93","<i>Candida auris</i> strain B8441<br>","35862787","N/A","Burrack et al. 2022","Genome analysis and in vitro evolution of 17 new clinical isolates of <i>C. auris</i> from clades I and IV.","isolates","N/A"
"RNA-Seq of wheat blast field samples from Bangladesh (collected March, 2017)","2017-05-02","Apollo","Sophien Kamoun","The Sainsbury Laboratory, UK","FungiDB rel. 57, 2022-APR-21","57","RNASeq","mory70-15_Bangladesh_Mp_Tofazzal_2017_ebi_rnaSeq_RSRC","DS_372b3a2dc0","<i>Pyricularia oryzae</i> 70-15<br>","N/A","N/A","Chanclud et al. 2017","RNA-Seq of 15 <i>P.oryzae</i> isolates collected in the wheat fields.","transcript_expression","N/A"
"<i>Globisporangium ultimum</i> DAOM BR144 Genome Sequence and Annotation","2016-03-02","Apollo","C. Robin Buell","Department of Plant Biology, Michigan State University, East Lansing, Michigan, USA","FungiDB rel. 51, 2021-MAR-16","21","Genomes","pultDAOMBR144_primary_genome_RSRC","DS_372ff5fc6d","<i>Globisporangium ultimum</i> DAOM BR144<br>","20626842","N/A","C. Robin Buell","Genome sequence and annotation for <i>Globisporangium ultimum</i> DAOM BR144.","genome","15430"
"Expression profiles of fluconazole resistant and fluconazole sensitive clinical isolates.","2018-11-20","Apollo","Deborah A. Hogan","Department of Microbiology and Immunology, Geisel School of Medicine, Dartmouth College","FungiDB rel. 55, 2021-DEC-02","55","RNASeq","clusATCC42720_Clus_fluconazole_2018_ebi_rnaSeq_RSRC","DS_37390faca3","<i>Clavispora lusitaniae</i> ATCC 42720<br>","30389707","N/A","Demers et al. 2018","Expression profiling by high throughput sequencing","transcript_expression","N/A"
"<i>Melampsora larici-populina</i> 98AG31 Genome Sequence and Annotation","2015-03-13","Apollo","The Broad Institute of MIT and Harvard","The Broad Institute of MIT and Harvard","FungiDB rel. 51, 2021-MAR-16","21","Genomes","mlar98AG31_primary_genome_RSRC","DS_375b7510d1","<i>Melampsora larici-populina</i> 98AG31<br>","N/A","N/A","The Broad Institute of MIT and Harvard","Genome sequence and annotation for <i>Melampsora larici-populina</i> 98AG31.","genome","16380"
"<i>Gaeumannomyces tritici</i> R3-111a-1 Genome Sequence and Annotation","2015-03-13","Apollo","Li-Jun Ma","Department of Biochemistry and Molecular Biology, University of Massachusetts Amherst","FungiDB rel. 58, 2022-JUN-23","58","Genomes","gtriR3-111a-1_primary_genome_RSRC","DS_377ed4b120","<i>Gaeumannomyces tritici</i> R3-111a-1<br>","N/A","N/A","Li-Jun Ma","Genome Sequence and Annotation of <i>Gaeumannomyces tritici</i> R3-111a-1","genome","14749"
"<i>Histoplasma capsulatum</i> G217B Genome Sequence and Annotation","2021-03-29","Apollo","Mark Voorhies","Department of Microbiology and Immunology, University of California, San Francisco","FungiDB rel. 64, 2023-JUL-12","36","Genomes","hcapG217B_primary_genome_RSRC","DS_385db6b935","<i>Histoplasma capsulatum</i> G217B<br>","35089059","N/A","Mark Voorhies","<i>Histoplasma capsulatum </i> strain G217B Genome Sequence and Annotation","genome","12363"
"NCBI Taxonomy","2020-11-01","N/A","TAXON","NCBI","FungiDB rel. 1.0, 01-JAN-05","0","Taxonomy and Phylogeny","taxonomy_RSRC","DS_385ea4f5f9","<br>","N/A","N/A","TAXON","The NCBI Taxonomy database is a curated set of names and classifications for all organisms that are represented in the Entrez databases. 
         The Taxonomy database attempts to incorporate phylogenetic and taxonomic knowledge from a variety of sources, including the published literature,
          web-based databases, and the advice of sequence submitters and outside taxonomy experts.","sres","N/A"
"Transcriptional profiles induced by exposure to crystalline cellulose","2013-09-01_gus4","Apollo","Louise N. Glass","University of California, Berkeley","FungiDB rel. 27, 2016-FEB-20","27","RNASeq","anidFGSCA4_Glass_CellulaseSecretion_ebi_rnaSeq_RSRC","DS_3880fe17d7","<i>Aspergillus nidulans</i> FGSC A4<br>","23766336","N/A","Coradetti et al. 2013","mRNA from WT (FGSC 4A) and &#916;clrB were were harvested at 6 hours, after a culture shift from sucrose/glucose to Avicel (crystaline cellulose) or no carbon media","transcript_expression","N/A"
"<i>Phytophthora palmivora</i> var. palmivora strain sbr112.9 Genome Sequence and Annotation","2018-02-02","Apollo","Bryan A. Bailey","Plant Sciences Institute, USDA/ARS, Beltsville Agricultural Research Center-West, Beltsville, MD USA","FungiDB rel. 51, 2021-MAR-16","46","Genomes","ppalsbr112.9_primary_genome_RSRC","DS_39745663c5","<i>Phytophthora palmivora</i> var. palmivora strain sbr112.9<br>","28186564","N/A","Bryan A. Bailey","Genome sequence and annotation for <i>Phytophthora palmivora</i> var. palmivora strain sbr112.9.","genome","28185"
"Expression profiling of yeast to filament transition in Histoplasma","2019-09-30","Apollo","Anita Sil","Department of Microbiology and Immunology, University of California, USA","FungiDB rel. 53, 2021-JUL-21","53","RNASeq","hcapG217B_Rodriguez_Hcap_Trans_ebi_rnaSeq_RSRC","DS_39a9b940c0","<i>Histoplasma capsulatum</i> G217B<br>","31568523","N/A","Rodriguez et al. 2019","<i>Histoplasma</i> wild type, msb2, and complemented strains were grown in GlcNAc.","transcript_expression","N/A"
"<i>Verticillium dahliae</i> JR2 Genome Sequence and Annotation","2014-08-29","Apollo","Bart P. Thomma","Wageningen University and Research, The Netherlands","FungiDB rel. 63, 2023-MAY-03","51","Genomes","vdahJR2_primary_genome_RSRC","DS_3a4d320efe","<i>Verticillium dahliae</i> JR2<br>","16733756, 21829347, 23685541","N/A","de Jonge et al. 2013","Genome Sequence and Annotation for <i>Verticillium dahliae</i> JR2","genome","11637"
"<i>Pythium insidiosum</i> Pi-s Genome Sequence and Annotation","2017-10-03","Apollo","Weerayuth Kittichotirat","Systems Biology and Bioinformatics Research Group, Pilot Plant Development and Training Institute, King Mongkut's University of Technology Thonburi, Bangkok, Thailand","FungiDB rel. 59, 2022-AUG-30","59","Genomes","pinsPi-s_primary_genome_RSRC","DS_3a745be8fc","<i>Pythium insidiosum</i> Pi-s<br>","26089407","N/A","Weerayuth Kittichotirat","Genome Sequence and Annotation of <i>Pythium insidiosum</i> Pi-s","genome","14850"
"SNP calls of WGS of Parastagonospora nodorum isolates","2020-08-19","Apollo","Daniel Croll","Laboratory of Evolutionary Genetics, Institute of Biology, University of Neuchatel,
13 Neuchatel, Switzerland","FungiDB rel. 68, 2024-MAY-07","68","Genetic variation","pnodSN15_HTS_SNP_WGS_Pn_PRJNA606320_RSRC","DS_3b67a4647c","<i>Parastagonospora nodorum</i> SN15<br>","32986802","N/A","Pereira et al. 2023","Population genomics of Parastagonospora nodorum","isolates","N/A"
"Transcriptional changes during maize root infection","2016-12-31","Apollo","Ulrich Güldener","Technische Universität München, Wissenschaftszentrum Weihenstephan, Department of Genome-oriented Bioinformatics","FungiDB rel. 53, 2021-JUL-21","53","RNASeq","fver7600_Niehaus_Maize_Root_ebi_rnaSeq_RSRC","DS_3bcd7c95b1","<i>Fusarium verticillioides</i> 7600<br>","28040774","N/A","Niehaus et al. 2016","Transcriptional changes during maize root infection. Root samples were taken 4, 10 and 20 dpi for RNA isolation.","transcript_expression","N/A"
"Transcriptional analysis of Coccidioides immitis mycelia and spherules","2021-05-07","Apollo","Theo Kirkland","University of California San Diego","FungiDB rel. 54, 2021-SEP-08","54","RNASeq","cimmRS_Carlin_2020_CimmitisMSPH_ebi_rnaSeq_RSRC","DS_3c0865bc03","<i>Coccidioides immitis</i> RS<br>","34067070","N/A","Carlin et al. 2021","Analysis of gene expression changes in mycelia and young and mature spherules.","transcript_expression","N/A"
"Transciptomic analysis of B. cinerea exposed to a bacterial biocontrol agent (secretome)","2020-12-26","Apollo","Georgios Tzelepis","Department of Forest Mycology and Plant Pathology, Swedish University of Agricultural Sciences, Uppsala Biocenter, Uppsala, Sweden","FungiDB rel. 59, 2022-AUG-30","59","RNASeq","bcinB05-10_BsMBI600_Thessaloniki_ebi_rnaSeq_RSRC","DS_3c23b11271","<i>Botrytis cinerea</i> B05.10<br>","33839506","N/A","Samaras et al. 2021","Transcriptome of B. cinerea in response to exposure to <i>Bacillus subtilis</i> MBI 600, a new commercialized biopesticide.","transcript_expression","N/A"
"<i>Sporothrix brasiliensis</i> 5110 Genome Sequence and Annotation","2015-01-16","Apollo","Marcus Teixeira","Departamento de Biologia Celular, Universidade de Brasília, Brasília, DF, Brazil","FungiDB rel. 51, 2021-MAR-16","41","Genomes","sbra5110_primary_genome_RSRC","DS_3d23d8f8c0","<i>Sporothrix brasiliensis</i> 5110<br>","25351875","N/A","Marcus Teixeira","Genome sequence and annotation for <i>Sporothrix brasiliensis</i> 5110.","genome","9231"
"<i>Madurella mycetomatis</i> mm55 Genome Sequence and Annotation","2016-03-09","Apollo","Wendy W. J. van de Sande","Department of Medical Microbiology and Infectious Diseases, Erasmus MC, Rotterdam, The Netherlands","FungiDB rel. 65, 2023-SEP-14","65","Genomes","mmycmm55_primary_genome_RSRC","DS_3d506aaabf","<i>Madurella mycetomatis</i> mm55<br>","27231361","N/A","Wendy W. J. van de Sande","Genome Sequence and Annotation of <i>Madurella mycetomatis</i> mm55","genome","10707"
"The Cryptococcus neoformans transcriptome at the site of human meningitis (paired-end data)","2013-10-23","Apollo","John Perfect","Molecular Genetics and Microbiology, Duke University","FungiDB rel. 34, 2017-SEP-07","34","RNASeq","cneoH99_Chen_HumanMeningitis_Paired_End_ebi_rnaSeq_RSRC","DS_3e2cfef9d4","<i>Cryptococcus neoformans</i> var. grubii H99<br>","24496797","N/A","Chen et al. 2014","The <i>Cryptococcus neoformans</i> transcriptome at the site of human meningitis.","transcript_expression","N/A"
"Global translational landscape of the Candida albicans morphological transition (ribo)","2021-02-09","Apollo","David Kadosh","Department of Microbiology, Immunology and Molecular Genetics, University of Texas Health Science Center at San Antonio","FungiDB rel. 60, 2022-NOV-09","60","RNASeq","calbSC5314_Mundodi_2020_Calb_Ribo_ebi_rnaSeq_RSRC","DS_3e31349bf3","<i>Candida albicans</i> SC5314<br>","33585865","N/A","Mundodi et al. 2020","Global translational landscape of the Candida albicans morphological transition","transcript_expression","N/A"
"RNA-seq of Botrytis cinerea isolates from Spain and Italy","2020-05-13","Apollo","Centre for Plant Biotechnology and Genomics UPM-INIA","Centre for Plant Biotechnology and Genomics UPM-INIA","FungiDB rel. 62, 2023-MAR-09","62","RNASeq","bcinB05-10_UPM_INIA_2020_ebi_rnaSeq_RSRC","DS_3f4593a823","<i>Botrytis cinerea</i> B05.10<br>","N/A","N/A","Centre for Plant Biotechnology and Genomics UPM-INIA, 2020","Sequencing of total RNA of Botrytis cinerea isolates from Italy and Spain.","transcript_expression","N/A"
"<i>Lodderomyces elongisporus</i> NRRL YB-4239 Genome Sequence and Annotation","2016-07-14","Apollo","Geraldine Butler","UCD School of Biomolecular and Biomedical Science, Conway Institute, University College Dublin","FungiDB rel. 56, 2022-FEB-15","56","Genomes","leloNRRLYB-4239_primary_genome_RSRC","DS_3f9de63eb2","<i>Lodderomyces elongisporus</i> NRRL YB-4239<br>","19465905","N/A","Geraldine Butler","Genome Sequence and Annotation of <i>Lodderomyces elongisporus</i> NRRL YB-4239","genome","5908"
"Transcriptomic response to lignocellulose (willow)","2015-04-13","Apollo","David B. Archer","School of Biology, University of Nottingham","FungiDB rel. 41, 2018-DEC-13","41","RNASeq","anigCBS513-88_Archer_LignocelluloseResponses_Willow_ebi_rnaSeq_RSRC","DS_4016c563d4","<i>Aspergillus niger</i> CBS 513.88<br>","22912594","N/A","Pullan et al. 2012","Transcriptomic profiling of cells growing on glucose, willow, and glucose+willow (AB SOLiD System 3.0)","transcript_expression","N/A"
"SNP calls on WGS of Aspergillus fumigatus clinical isolates","2019-04-01","Apollo","Silvia García-Cobos","University of Groningen, University Medical Center Groningen, Department of Medical Microbiology and Infection Prevention","FungiDB rel. 64, 2023-JUL-12","64","Genetic variation","afumAf293_HTS_SNP_Afum_4_PRJEB28819_RSRC","DS_402b8b7bf6","<i>Aspergillus fumigatus</i> Af293<br>","31551947","N/A","Puértolas-Balint et al. 2019","Whole genome sequence of a set of clinical, environmental and experimental (B5233) <i>A. fumigatus</i> isolates","isolates","N/A"
"<i>Emmonsia crescens</i> UAMH 3008 Genome Sequence and Annotation","2015-05-15","Apollo","The Broad Institute of MIT and Harvard","The Broad Institute of MIT and Harvard","FungiDB rel. 62, 2023-MAR-09","62","Genomes","ecreUAMH3008_primary_genome_RSRC","DS_403a34d78a","<i>Emmonsia crescens</i> UAMH 3008<br>","26439490","N/A","The Broad Institute of MIT and Harvard","Genome Sequence and Annotation of <i>Emmonsia crescens</i> UAMH 3008","genome","9558"
"Transcriptional responses to macrophage phagocytosis","2021-12-21","Apollo","Michael C. Lorenz","Department of Microbiology & Molecular Genetics, University of Texas Health Science Center at Houston","FungiDB rel. 61, 2022-DEC-15","61","RNASeq","calbSC5314_Calbicans_Pountain_2021_ebi_rnaSeq_RSRC","DS_406f9db57f","<i>Candida albicans</i> SC5314<br>","34903044","N/A","Pountain et al. 2021","Transcriptional responses to macrophage phagocytosis by Candida albicans","transcript_expression","N/A"
"Transcriptome changes in response to genotoxic stress","2015-11-02","Apollo","Zachary Lewis","Department of Microbiology, University of Georgia, Athens USA","FungiDB rel. 48, 2020-AUG-27","48","RNASeq","ncraOR74A_Basenko_NEU41_Chromatin_ebi_rnaSeq_RSRC","DS_418996c9ec","<i>Neurospora crassa</i> OR74A<br>","26578794","N/A","Basenko et al. 2015","Transcriptomes of WT and H3K9me3-deficient mutants","transcript_expression","N/A"
"Transcriptional responses to macrophage phagocytosis","2021-12-21","Apollo","Michael C. Lorenz","Department of Microbiology & Molecular Genetics, University of Texas Health Science Center at Houston","FungiDB rel. 61, 2022-DEC-15","61","RNASeq","ctroMYA3404_Ctropicalis_Pountain_2021_ebi_rnaSeq_RSRC","DS_41db653adf","<i>Candida tropicalis</i> MYA-3404<br>","34903044","N/A","Pountain et al. 2021","Transcriptional responses to macrophage phagocytosis by Candida tropicalis","transcript_expression","N/A"
"<i>Cryptococcus gattii VGI</i> EJB2 Genome Sequence and Annotation","2015-02-17","N/A","Christina Cuomo","The Broad Institute of Harvard and MIT, USA","FungiDB rel. 51, 2021-MAR-16","38","Genomes","cgatEJB2_primary_genome_RSRC","DS_41e884fe46","<i>Cryptococcus gattii</i> EJB2<br>","26330512","N/A","Christina Cuomo","<i>Cryptococcus gattii</i> EJB2 Genome Sequence and Annotation","genome","6908"
"SNP calls of C. auris collected from apples","2022-03-23","Apollo","Anuradha Chowdhary","Department of Medical Mycology, Vallabhbhai Patel Chest Institute, University of Delhi, New Delhi, India","FungiDB rel. 62, 2023-MAR-09","62","Genetic variation","caurB8441_HTS_SNP_Cauris_Yadav_2022_PRJNA809768_RSRC","DS_426f7ac5d5","<i>Candida auris</i> strain B8441<br>","35357170","N/A","Anuradha Chowdhary","Seasonal tropical and temperate fruits were screened for <i>C. auris</i>. Colonies of <i>C. auris</i> were obtained from the surfaces of stored apples.","isolates","N/A"
"CalCEN: Candida albicans co-expression Network v1.0.0","2021-01-20","Apollo","Teresa O'Meara","Department of Microbiology and Immunology, University of Michigan Medical School, Ann Arbor, USA","FungiDB rel. 56, 2022-FEB-15","56","RNASeq","calbSC5314_array_rnaSeqCoexpressionOMeara_RSRC","DS_429e31c02f","<i>Candida albicans</i> SC5314<br>","33472984","N/A","Teresa O'Meara","Raw reads from 853 RNA-seq runs of 18 large-scale candida Albicans studies were collected from NCBI and re-mapped to 6226 open reading frames of the SC5314 strain. The CalCEN co-expression network was then estimated by the pairwise spearman rank-correlation of FPKM expression values across all runs.","generic_profiles","N/A"
"Over-expressed proteins in ΔprtT mutant","2012-04-13","Apollo","Nir Osherov","Department of Clinical Microbiology and Immunology, Sackler School of Medicine Ramat-Aviv, Tel-Aviv, Israel, 2","FungiDB rel. 53, 2021-JUL-21","53","Protein expression","afumAf293_massSpec_Hagag_Protease_Mutant_RSRC","DS_43031ce523","<i>Aspergillus fumigatus</i> Af293<br>","22514608","N/A","Hagag et al. 2012","Proteome analysis of the protease-deficient ΔprtT mutant in <i>Aspergillus fumigatus</i>.","protein_expression","N/A"
"Comparative transcriptomics of C. neoformans mutants defective in heterochromatin regulation","2014-11-10","Apollo","Madhani HD","Department of Biochemistry and Biophysics, University of California, San Francisco, USA","FungiDB rel. 38, 2018-JUL-05","38","RNASeq","cneoH99_HD_Genotypes_Comparison_ebi_rnaSeq_RSRC","DS_4338716bc6","<i>Cryptococcus neoformans</i> var. grubii H99<br>","25533783","N/A","Dumesic et al. 2015","Stranded RNA-Seq profiles of WT, ezh2&#916;, msl1&#916;, ccc1&#916;, clr4&#916;, and ccc1-W52A 
		aromatic cage mutant.","transcript_expression","N/A"
"Deep RNA-Seq under diverse growth conditions","2010-07-15_gus4","Apollo","Michael Snyder","Stanford University","FungiDB rel. 3.0, 2014-MAY-08","21","RNASeq","calbSC5314_Snyder_ComprehensiveAnnotation_ebi_rnaSeq_RSRC","DS_4346dd3378","<i>Candida albicans</i> SC5314<br>","20810668","N/A","Bruno et al. 2010","Growth conditions tested: hyphae-inducing, tissue culture medium buffered to different pH's, high oxidative stress, low oxidative stress, nitrosative stress, and cell wall damage–inducing.","transcript_expression","N/A"
"SNP calls on WGS of Cryptococcus neoformans Zambian environmental and clinical isolates","2016-09-28","Apollo","Matthew Fisher","Imperial College London","FungiDB rel. 45, 2019-SEP-05","45","Genetic variation","cneoH99_HTS_SNP_Fisher_Zambian_Isolates_RSRC","DS_4477b85a6c","<i>Cryptococcus neoformans</i> var. grubii H99<br>","27862555","N/A","Vanhove et al.","Forty five isolates were sequenced using Illumina HiSeq 2000.","isolates","N/A"
"<i>Cladophialophora psammophila</i> CBS 110553 Genome Sequence and Annotation","2014-03-05","Apollo","Christina Cuomo","The Broad Institute of Harvard and MIT, USA","FungiDB rel. 57, 2022-APR-21","57","Genomes","cpsaCBS110553_primary_genome_RSRC","DS_44c7c4539b","<i>Cladophialophora psammophila</i> CBS 110553<br>","28348446","N/A","Christina Cuomo","Genome Sequence and Annotation of <i>Cladophialophora psammophila</i> CBS 110553","genome","13421"
"Transcriptomics of fungal condinia and hyphae","2021-08-06","Apollo","Koon Ho Wong","MoE Frontiers Science Center for Precision Oncology, University of Macau","FungiDB rel. 57, 2022-APR-21","57","RNASeq","anidFGSCA4_Anif_con_Wang_2021_ebi_rnaSeq_RSRC","DS_44cccd9101","<i>Aspergillus nidulans</i> FGSC A4<br>","34183813","N/A","Wang et al. 2021","Transcription in fungal conidia (3 and 17 days) and hyphae.","transcript_expression","N/A"
"<i>Thermothelomyces thermophilus</i> ATCC 42464 Genome Sequence and Annotation","2014-09-02","Apollo","Adrian Tsang","Centre for Structural and Functional Genomics,Concordia University, Montreal, Canada","FungiDB rel. 51, 2021-MAR-16","51","Genomes","ttheATCC42464_primary_genome_RSRC","DS_45fe0e4ca4","<i>Thermothelomyces thermophilus</i> ATCC 42464<br>","21964414","N/A","Adrian Tsang","Genome Sequence and Annotation for <i>Thermothelomyces thermophilus</i> ATCC 42464","genome","9292"
"<i>Coccidioides posadasii</i> RMSCC 3700 Genome Sequence","2015-07-13","N/A","Daniel E. Neafsey","Harvard University & BROAD Institute, Cambridge, MA, USA","FungiDB rel. 51, 2021-MAR-16","26","Genomes","cposRMSCC3700_primary_genome_RSRC","DS_46bfcd2586","<i>Coccidioides posadasii</i> RMSCC 3700<br>","20516208","N/A","Daniel E. Neafsey","Genome sequence for <i>Coccidioides posadasii</i> RMSCC 3700","genome","N/A"
"SNP calls on WGS of clinical and environmental isolates of Aspergillus fumigatus in Germany","2021-10-04","Apollo","Amelia Barber","Friedrich Schiller University Jena and not the Leibniz-HKI","FungiDB rel. 58, 2022-JUN-23","58","Genetic variation","afumAf293_HTS_SNP_AfumigatusDE_PRJNA697844_RSRC","DS_46ca1ca0a7","<i>Aspergillus fumigatus</i> Af293<br>","34819642","N/A","Barber et al. 2021","Genome sequencing of environmental Aspergillus fumigatus isolates collected from farms in central Germany and clinical isolates submitted to the German National Reference Center for Invasive Fungal Disease.","isolates","N/A"
