Data Set,Data Set Version,Apollo,Contact,Contact institution,Release # and date,Build Number Introduced,Category,Data Set Name,dataset_id,Organism(s) (source or reference),Publications,Release Policy,Short Attribution,Summary,Type,Genes,
P. knowlesii H piggyBAC Insertion Sites,2024-03,Apollo,Kourosh Zarringhalam,"Department of Mathematics, University of Massachusetts Boston, Boston, MA, USA","PlasmoDB rel. 68, 2024-MAY-07",68,N/A,pknoH_piggyBAC_Insertion_sites_RSRC,DS_2d6d24bc81,<i>Plasmodium knowlesi</i> strain H<br>,N/A,N/A,Kourosh Zarringhalam,JBrowse track showing coverage of sequence retrieved from quantitative insertion metagenesis sequencing (QiSeq). Peaks represent piggyBac insertion sites.,N/A,N/A,
P. falciparum NF54 gametocyte stages II-V long read RNA-Seq,2023_08,Apollo,Arthur M Talman,Université de Montpellier,"PlasmoDB rel. 66, 2023-NOV-28",66,LongReadRNASeq,pfal3D7_Gomes_et_al_nanopore_rnaSeqNextflow_RSRC,DS_2e2a681fa9,<i>Plasmodium falciparum</i> 3D7<br>,36477538,N/A,Gomes et al.,Transcriptome (Nanopore RNA-Seq) of <i>P.falciparum</i> NF54 gametocytes.,longRead_transcript_expression,N/A,
Dietary restriction of P berghei WT and Δkin parasites,7/13/2017,Apollo,Maria M. Mota,"Instituto de Medicina Molecular, Faculdade de Medicina da Universidade de Lisboa","PlasmoDB rel. 54, 2021-SEP-08",54,RNASeq,pberANKA_Mancio_Silva_dietary_transcriptome_ebi_rnaSeq_RSRC,DS_2f87d793d9,<i>Plasmodium berghei</i> ANKA<br>,28678779,N/A,Mancio-Silva et al.,RNA-seq transcriptome of synchronized <i>P. berghei</i> wild-type and Δkin parasites collected from mice with normal diet or dietary restriction.,transcript_expression,N/A,
"Liver, mosquito and blood stage expression profiles",1,Apollo,Stefan Kappe,Seattle Children’s Research Institute,"PlasmoDB rel. 1.0, 01-JAN-05",0,DNA Microarray Assay,pyoeyoelii17X_microarrayExpression_Kappe_LiverStage_RSRC,DS_3021e25a77,<i>Plasmodium yoelii</i> yoelii 17X<br>,18172196,N/A,Tarun et al.,"<i>P. yoelii</i> liver, mosquito and erythrocyte stage gene expression analyzed by microarray",transcript_expression,N/A,
Histone modifications in Sir2 knockouts,1,Apollo,Artur Scherf,Unite de Biologie des Interactions Hote-Parasite,"PlasmoDB rel. 1.0, 01-JAN-05",0,ChIP chip,pfal3D7_chipChipExper_Artur_Scherf_RSRC,DS_3045197830,<i>Plasmodium falciparum</i> 3D7<br>,19218088,N/A,Artur Scherf,"ChIP-Chip analysis to identify histone modifications (H3K9me3, H3K9Ac, H3K4me3, H4K20me3) in 
      <i>Plasmodium falciparum</i> 3D7 wild type and Sir2 knockouts.",transcript_expression,N/A,
In vivo transcriptome in mouse,1/25/2019,Apollo,Arnab Pain,King Abdullah University of Science and Technology,"PlasmoDB rel. 53, 2021-JUL-21",53,RNASeq,pchachabaudi_Ramaprasad_Pcha_invivo_ebi_rnaSeq_RSRC,DS_325dad5166,<i>Plasmodium chabaudi</i> chabaudi<br>,30683099,N/A,Ramaprasad et al,<i>P. chabaudi</i> transcriptome during infection in mouse. Samples collected by micro-sampling and terminal artery bleed.,transcript_expression,N/A,
Chemical Entities of Biological Interest Compounds,10/13/2021,N/A,EMBL-EBI,EMBL-EBI,"PlasmoDB rel. 1.0, 01-JAN-05",0,Compounds from ChEBI,compounds_chEBI_RSRC,DS_32b4753324,<br>,23180789,N/A,EMBL-EBI,Compound records from Chemical Entities of Biological Interest (ChEBI),compound,N/A,
Apicoplast and ER Proteomes (Quantitative)(Dd2),9/13/2018,Apollo,Ellen Yeh,"Department of Microbiology and Immunology, Stanford University School of Medicine, Stanford, California","PlasmoDB rel. 42, 2019-MAR-07",42,Protein expression,pfal3D7_quantitativeMassSpec_Apicoplast_ER_RSRC,DS_32db942cc7,<i>Plasmodium falciparum</i> 3D7<br>,30212465,N/A,Boucher et al,Apicoplast proteome determined by BioID followed by mass spec of <i>P. falciparum</i> Dd2 parasites during asexual blood-stage growth.,protein_expression,N/A,
The Sequence Ontology,5/15/2015,N/A,The Sequence Ontology Project (SO),N/A,"PlasmoDB rel. 1.0, 01-JAN-05",0,Ontology and terminology,SO_RSRC,DS_3331bdf8a7,<br>,15892872,N/A,The Sequence Ontology Project (SO),"The Sequence Ontology Project (SO) is a joint effort by genome annotation centres, including: WormBase, 
         FlyBase, the Mouse Genome Informatics group, and the Sanger Institute. As part of the Gene Ontology Project 
         and the Open Biomedical Ontologies (OBO), their aim is to develop an ontology, or hierarchical vocabulary, suitable for describing biological sequences.",sres,N/A,
Asexual stages ubiquitome,6/22/2020,Apollo,Tony Holder,The Francis Crick Institute,"PlasmoDB rel. 55, 2021-DEC-02",55,Protein expression,pfal3D7_massSpec_Green_Asexual_Stages_RSRC,DS_3371d4c2e0,<i>Plasmodium falciparum</i> 3D7<br>,32569299,N/A,Green et al. 2020,"<i>P. falciparum</i> ubiquitome in four life stages: rings, schizonts, merozoites and trophozoites.",protein_expression,N/A,
Transcriptome of P. vivax salivary gland sporozoites,8/2/2017,Apollo,Aaron Jex,Walter and Eliza Hall Institute of Medical Research and University of Melbourne,"PlasmoDB rel. 46, 2019-NOV-06",46,RNASeq,pvivP01_Muller_salivary_gland_rnaSeq_RSRC,DS_337c46b0f0,<i>Plasmodium vivax</i> P01<br>,31071319,N/A,Muller et al.,Transcriptomic analysis via RNA-Seq of <i>P. vivax</i> salivary gland sporozoites from isolates of symptomatic blood-stage malaria infections.,transcript_expression,N/A,
MNase-Seq Nucleosome Occupancy,12/13/2013,Apollo,Richard Bartfai,"Department of Molecular Biology, Radboud University, ,","PlasmoDB rel. 11.0, 2014-MAY-08",21,CHIP Seq,pfal3D7_Stunnenberg_DBP_chipSeq_RSRC,DS_346d7e565b,<i>Plasmodium falciparum</i> 3D7<br>,26578577,N/A,Bartfai Lab,Nucleosome occupancy determined by ChIP-Seq using micrococcal nuclease.,transcript_expression,N/A,
Genome-wide HP1 Occupancy in multiple strains of Pf schizonts and IDC from Pf3D7 and Pf2004,8/15/2017,Apollo,Richard Bartfai and Till Voss,Radboud University and University of Basel,"PlasmoDB rel. 42, 2019-MAR-07",42,CHIP Seq,pfal3D7_Fraschka_Pf_HP1_chipSeq_RSRC,DS_364cb4d495,<i>Plasmodium falciparum</i> 3D7<br>,29503181,N/A,Fraschka et al.,"Genome-wide distribution of HP1 in <i>P. falciparum</i> 3D7, NF54, NF135, Pf2004 schizonts, as well as Pf3D7 ring, Pf3D7 trophozoites, Pf2004 gameotcyte II/III and Pf2004 gametocyte IV/V.",transcript_expression,N/A,
Genome-wide HP1 occupancy in Pv clinical isolate pool,8/15/2017,Apollo,Richard Bartfai and Till Voss,Radboud University and University of Basel,"PlasmoDB rel. 42, 2019-MAR-07",42,CHIP Seq,pvivP01_Fraschka_Pv_HP1_chipSeq_RSRC,DS_3779bfbffd,<i>Plasmodium vivax</i> P01<br>,29503181,N/A,Fraschka et al.,Genome-wide occupancy of HP1 from a pool of eight <i>P. vivax</i> clinical isolates.,transcript_expression,N/A,
NCBI Taxonomy,12/21/2020,N/A,TAXON,NCBI,"PlasmoDB rel. 1.0, 01-JAN-05",0,Taxonomy and Phylogeny,taxonomy_RSRC,DS_385ea4f5f9,<br>,N/A,N/A,TAXON,"The NCBI Taxonomy database is a curated set of names and classifications for all organisms that are represented in the Entrez databases. 
         The Taxonomy database attempts to incorporate phylogenetic and taxonomic knowledge from a variety of sources, including the published literature,
          web-based databases, and the advice of sequence submitters and outside taxonomy experts.",sres,N/A,
Merozoite Proteome (3D7),6/13/2008,Apollo,Shahid Kahn,Leiden University,"PlasmoDB rel. 1.0, 01-JAN-05",0,Protein expression,pfal3D7_massSpec_Khan_Merozoite_RSRC,DS_388d40eae3,<i>Plasmodium falciparum</i> 3D7<br>,N/A,N/A,Shahid Kahn,"Merozoites from <i>P. falciparum</i> 3D7 were purified and protein samples were analyzed by 
           LC-MS/MS.",protein_expression,N/A,
<i>Plasmodium falciparum</i> NF54 Genome Sequence and Annotation,12/17/2019,N/A,Joana Carneiro da Silva,University of Maryland School of Medicine,"PlasmoDB rel. 55, 2021-DEC-02",55,Genomes,pfalNF54_primary_genome_RSRC,DS_393c7bca36,<i>Plasmodium falciparum</i> NF54<br>,31915075,N/A,Joana Carneiro da Silva,Genome Sequence and Annotation of <i>Plasmodium falciparum</i> NF54,genome,5609,
<i>Plasmodium malariae</i> UG01 Genome Sequence and Annotation,9/1/2020,Apollo,Thomas Dan Otto,"Institute for Infection, Immunity and Inflammation, University of Glasgow","PlasmoDB rel. 68, 2024-MAY-07",30,Genomes,pmalUG01_primary_genome_RSRC,DS_3986a0b578,<i>Plasmodium malariae</i> UG01<br>,28117441,N/A,Thomas Dan Otto,Sequence for <i>Plasmodium malariae</i> strain UG01,genome,6715,
Sexual and asexual life cycle proteomes (3D7),1,Apollo,Laurence Florens,N/A,"PlasmoDB rel. 1.0, 01-JAN-05",0,Protein expression,pfal3D7_massSpec_Florens_Life_Cycle_RSRC,DS_39e1f056b7,<i>Plasmodium falciparum</i> 3D7<br>,12368866,N/A,Florens et al.,"Analysis of proteomes of merozoite, trophozoite, gametocyte and sporozoite stages of <i>P. falciparum</i> 3D7 using MudPIT.",protein_expression,N/A,
Aligned genomic sequence reads - <i>P. reichenowi</i> Oscar,10/21/2006,Apollo,Matthew Berriman,"Wellcome Sanger Institute, UK","PlasmoDB rel. 1.0, 01-JAN-05",0,Genetic variation,pfal3D7_SNP_sanger_PReichenowi_gff_RSRC,DS_3a3c4e30bd,<i>Plasmodium falciparum</i> 3D7<br>,17159978,N/A,Matthew Berriman,"Whole genome resequencing data from  <i>P. reichenowi</i> Oscar were used to call SNPs 
       and determine CNV at the gene and chromosome level.",SNP,N/A,
Intraerythrocytic developmental cycle by RNA-Seq,27-10-2011_gus4,Apollo,Chris I. Newbold,Weatherall Institute of Molecular Medicine,"PlasmoDB rel. 1.0, 01-JAN-05",0,RNASeq,pfal3D7_Otto_rnaSeq_RSRC,DS_3ad80c4eee,<i>Plasmodium falciparum</i> 3D7<br>,20141604,N/A,Otto et al.,Seven time points in the <i>P. falciparum</i> intraerythrocytic developmental cycle were analyzed by RNA-Seq.,transcript_expression,N/A,
RMgmDB - Rodent Malaria genetically modified Parasites,N/A,Apollo,Chris J. Janse,"Leiden Malaria Research Group, Department of Parasitology, Leiden University Medical Center","PlasmoDB rel. 39, 2018-AUG-30",39,Phenotype,(.*)_phenotype_Rod_Mal_Phenotype_RSRC,DS_3bcc2ee874,<i>Plasmodium berghei</i> ANKA<br><i>Plasmodium falciparum</i> 3D7<br><i>Plasmodium yoelii</i> yoelii 17XNL<br>,"20663715, 22990775",N/A,Chris J. Janse,"The RMgmDB is a database that curates, mostly from
    literature references, genetically modified parasites for <i>P. berghei</i>, <i>P. chaubadi</i>, and <i>P. yoelii</i>.",phenotype,N/A,
Aligned genomic sequence reads - Ghana1 and IT,10/21/2006,Apollo,Matthew Berriman,"Wellcome Sanger Institute, UK","PlasmoDB rel. 1.0, 01-JAN-05",0,Genetic variation,pfal3D7_SNP_sanger_ItGhana_gff_RSRC,DS_3bfce4740a,<i>Plasmodium falciparum</i> 3D7<br>,17159978,N/A,Matthew Berriman,"Whole genome resequencing data from  <i>Plasmodium falciparum</i> Ghana1 and IT were used to call SNPs 
       and determine CNV at the gene and chromosome level.",SNP,N/A,
Intraerythrocytic development cycle for P. vinckei CY,1/25/2019,Apollo,Arnab Pain,King Abdullah University of Science and Technology,"PlasmoDB rel. 53, 2021-JUL-21",53,RNASeq,pvinvinckeiCY_Ramaprasad_IDC_ebi_rnaSeq_RSRC,DS_3d00996d17,<i>Plasmodium vinckei</i> vinckei CY<br>,"30683099, 33888092",N/A,Ramaprasad et al,Transcriptome time course during the intraerythrocytic cycle of <i>P. vinckei</i> CY,transcript_expression,N/A,
Transcription factor binding sites,2010-04-21_gus4,Apollo,Manuel Llinas,Pennsylvania State University,"PlasmoDB rel. 1.0, 01-JAN-05",0,"Sequence sites, features and motifs",pfal3D7_genomeFeature_Llinas_TransFactorBindingSites_GFF2_RSRC,DS_3e474b64ad,<i>Plasmodium berghei</i> ANKA<br><i>Plasmodium chabaudi</i> chabaudi<br><i>Plasmodium falciparum</i> 3D7<br><i>Plasmodium falciparum</i> IT<br><i>Plasmodium knowlesi</i> strain H<br><i>Plasmodium vivax</i> P01<br><i>Plasmodium yoelii</i> yoelii 17X<br>,"12370781, 16998473, 21060817",N/A,Manuel Llinas,<i>P. falciparum</i> Trans-factor binding sites determined by protein binding microarray,feature,N/A,
Invasion pathway knockouts,1,Apollo,Alan Cowman,The Walter and Eliza Hall Institute of Medical Research,"PlasmoDB rel. 1.0, 01-JAN-05",0,DNA Microarray Assay,pfal3D7_microarrayExpression_Cowman_InvasionKOs_RSRC,DS_3ef554e244,<i>Plasmodium falciparum</i> 3D7<br>,16123303,N/A,Stubbs et al.,"Microarray analysis of <i>P. falciparum</i> wild type and knockout mutants that are deficient in the sialic 
      acid-dependent ligands necessary for parasite invasion pathways into human erythrocytes.",transcript_expression,N/A,
Three Isogenic Lines w/ CQ Treatment: expression profiles,1,Apollo,Xin-zhuan Su,"National Institute of Allergy and Infectious Diseases, NIH","PlasmoDB rel. 1.0, 01-JAN-05",0,DNA Microarray Assay,pfal3D7_microarrayExpression_GSE10022_CQ_RSRC,DS_3f06ca816e,<i>Plasmodium falciparum</i> 3D7<br>,18575593,N/A,Jiang et al.,"Chloroquine induced changes in gene expression were assayed by microarray in 
      three isogenic clones that have differing drug resistance profiles.",transcript_expression,N/A,
<i>Plasmodium knowlesi</i> strain Malayan Strain Pk1 A Genome Sequence and Annotation,5/15/2017,N/A,Jessica Kissinger,University of Georgia,"PlasmoDB rel. 51, 2021-MAR-16",35,Genomes,pknoMalayanPk1A_primary_genome_RSRC,DS_3f2eadf75b,<i>Plasmodium knowlesi</i> strain Malayan Strain Pk1 A<br>,28720171,N/A,Jessica Kissinger,Genome Sequence and annotation for <i>Plasmodium knowlesi</i> strain Malayan Strain Pk1 A,genome,5343,
Ribosome and steady state mRNA-Seq of asexual cell cycle stages,2014-12-10_gus4,Apollo,Joseph L DeRisi,"Department of Biochemistry and Biophysics, University of California, San Francisco","PlasmoDB rel. 27, 2016-FEB-20",27,RNASeq,pfal3D7_Caro_ribosome_profiling_ebi_rnaSeq_RSRC,DS_406e180ec4,<i>Plasmodium falciparum</i> 3D7<br>,25493618,N/A,Caro et al.,"Ribosome profiling and steady state mRNA-Seq through five stages of the <i>P. falciparum</i> 
           blood phase developmental cycle. RNA from W2 strain asexual stages were aligned to 
           <i>P. falciparum</i> 3D7.",transcript_expression,N/A,
GeneChip Plasmodium/Anopheles Genome Array,1,Apollo,Affymetrix,Affymetrix,"PlasmoDB rel. 1.0, 01-JAN-05",0,Array Probes,pfal3D7_microarrayPlatform_Affy-plasmodiumanopheles_RSRC,DS_40c3e2feca,<i>Plasmodium falciparum</i> 3D7<br>,N/A,N/A,Affymetrix,Probe sequences from the <i>P. falciparum</i> Anopheles Oligos. Zoom to 20K or less to see the probe glyphs.,transcript_expression_platform,N/A,
"Intraerythrocytic development cycle transcriptome by DAFT-Seq (3D7, HB3, IT, 2020)",6/8/2020,Apollo,Manuel Llinas,Pennsylvania State University,"PlasmoDB rel. 53, 2021-JUL-21",53,RNASeq,pfal3D7_Chappell_IDC_DAFT_UTRSeq_ebi_rnaSeq_RSRC,DS_416070059c,<i>Plasmodium falciparum</i> 3D7<br>,32513207,N/A,Chappell et al. 2020,"Transcriptome throughout the intraerythrocytic development cycle. RNA sequence analysis of 7 time points (0, 8, 16, 24, 32, 40, 48 hrs) post infection of tightly synchronized <i>Plasmodium falciparum</i> 3D7, HB3 and IT parasites.",transcript_expression,N/A,
International Centers of Excellence for Malaria Research,N/A,Apollo,International Centers of Excellence for Malaria Research (ICEMR),"U.S. Department of Health and Human Services, National Institutes of Health","PlasmoDB rel. 27, 2016-FEB-20",27,Immunology,pfal3D7_microarrayAntibody__ICEMR_RSRC,DS_4267c95a1c,<i>Plasmodium falciparum</i> 3D7<br>,"25778501, 25849211, 26259938, 28118367",N/A,International Centers of Excellence for Malaria Research (ICEMR),An NIH program establishing a network of independent research centers in malaria-endemic settings.,putative_function,N/A,
Aligned genomic sequence reads - strain IQ07,1/11/2012,Apollo,Elizabeth Winzeler,The Scripps Research Institute,"PlasmoDB rel. 10.0, 2013-SEP-25",19,Genetic variation,pvivP01_HTS_SNP_Winzeler_clin_isolate_RSRC,DS_42de5c0884,<i>Plasmodium vivax</i> P01<br>,22721170,N/A,Elizabeth Winzeler,"Whole genome resequencing data from  <i>P. vivax</i> strain IQ7 were used to call SNPs 
       and determine CNV at the gene and chromosome level.",isolates,N/A,
Parasite infected erythrocyte surface proteins (PIESP) (3D7),1,Apollo,Laurence Florens,N/A,"PlasmoDB rel. 1.0, 01-JAN-05",0,Protein expression,pfal3D7_massSpec_Florens_PIESPs_RSRC,DS_43d88325ac,<i>Plasmodium falciparum</i> 3D7<br>,15287581,N/A,Florens et al.,"Intact parasite-infected <i>P. falciparum</i> 3D7 erythrocytes were biotin labeled and 
      purified surface proteins were analyzed by MudPIT.",protein_expression,N/A,
<i>Plasmodium falciparum</i> SD01 Genome Sequence and Annotation,4/20/2018,N/A,Matt Berriman,"Wellcome Sanger Institute, Hinxton, UK","PlasmoDB rel. 51, 2021-MAR-16",41,Genomes,pfalSD01_primary_genome_RSRC,DS_44bdb781e5,<i>Plasmodium falciparum</i> SD01<br>,29862326,N/A,Matt Berriman,Genome Sequence and annotation for <i>Plasmodium falciparum</i> SD01,genome,5444,
Life cycle expression data (3D7),5/14/2009,Apollo,Elizabeth Winzeler,The Scripps Research Institute,"PlasmoDB rel. 1.0, 01-JAN-05",0,DNA Microarray Assay,pfal3D7_microarrayExpression_Winzeler_CellCycle_RSRC,DS_4582562a4b,<i>Plasmodium falciparum</i> 3D7<br>,12893887,N/A,Le Roch et al.,"Nine different stages during the development of <i>P. falciparum</i> 3D7 were assayed by 
      oligonucleotide microarray analysis.",transcript_expression,N/A,
Affymetrix PF-Sanger Genechip tiling array,1,Apollo,Hongying Jiang,NIAID/NIH,"PlasmoDB rel. 1.0, 01-JAN-05",0,Array Probes,pfal3D7_microarrayPlatform_Affy-pfsanger_RSRC,DS_48a8a10191,<i>Plasmodium falciparum</i> 3D7<br>,N/A,N/A,Hongying Jiang,Probe sequences from the Affymetrix <i>P. falciparum</i>  PFSanger Genechip tiling array. Zoom to 20K or less to see the probe glyphs.,transcript_expression_platform,N/A,
Oocyst sporozoite global proteome in P. falciparum,10/31/2019,Apollo,Robert Moritz,Institute for Systems Biology,"PlasmoDB rel. 53, 2021-JUL-21",53,Protein expression,pfal3D7_massSpec_Lindner_Oocyst_Proteome_RSRC,DS_48bf0699e2,<i>Plasmodium falciparum</i> 3D7<br>,31673027,N/A,Lindner and Swearingen et al.,Proteomic analysis of <i>Plasmodium falciparum</i>  oocyst sporozoites.,protein_expression,N/A,
5 asexual and sexual stage transcriptomes,2014-03-14_gus4,Apollo,Wieteke Hoeijmakers,"Radboud University Nijmegen, The Netherlands","PlasmoDB rel. 12.0, 2014-SEP-10",22,RNASeq,pberANKA_Janse_Hoeijmakers_five_stages_ebi_rnaSeq_RSRC,DS_49781e8c33,<i>Plasmodium berghei</i> ANKA<br>,25359557,N/A,Hoeijmakers et al.,"PolyA+ RNA-Seq coverage from five <i>P. berghei</i> ANKA life cycle stages: Ring, Trophozoite, Schizont, Gametocyte and Ookinete.",transcript_expression,N/A,
Whole genome tiling array PvivaxLi520507 (Westenberger),1,Apollo,Elizabeth Winzeler,The Scripps Research Institute,"PlasmoDB rel. 1.0, 01-JAN-05",0,Array Probes,pvivP01_microarrayPlatform_Westenberger_Lib520507_RSRC,DS_4ae399fb29,<i>Plasmodium vivax</i> P01<br>,20386602,N/A,Elizabeth Winzeler,"Probe sequences from the Affymetrix  <i>P. vivax</i> whole genome tiling array PvivaxLi520507 (Westenberger). 
      Zoom to 20K or less to see the probe glyphs.<br><br>",transcript_expression_platform,N/A,
<i>Plasmodium vinckei</i> petteri strain CR Genome Sequence and Annotation,1/31/2014,N/A,The Broad Institute of MIT and Harvard,The Broad Institute of MIT and Harvard,"PlasmoDB rel. 51, 2021-MAR-16",30,Genomes,pvinpetteriCR_primary_genome_RSRC,DS_4c2903c205,<i>Plasmodium vinckei</i> petteri strain CR<br>,N/A,N/A,The Broad Institute of MIT and Harvard,Sequence for <i>Plasmodium vinckei petteri</i> strain CR,genome,5213,
<i>Plasmodium vivax</i> Sal-1 Genome Sequence and Annotation,6/18/2015,N/A,GeneDB,"GeneDB, Wellcome Sanger Institute","PlasmoDB rel. 9.0, 2012-MAY-18",0,Genomes,pvivSal1_primary_genome_RSRC,DS_4c3a073590,<i>Plasmodium vivax</i> Sal-1<br>,18843361,N/A,GeneDB,<i>P. vivax</i> Salvador I genome sequence and annotation,genome,5665,
Enzyme Nomenclature Database,12/21/2020,N/A,ENZYME,Swiss Institute of Bioinformatics,"PlasmoDB rel. 1.0, 01-JAN-05",0,Function,enzymeDB_RSRC,DS_4d5814c3f2,<br>,10592255,N/A,ENZYME,EC Numbers from ENZYME,function,N/A,
Sexually vs asexually committed schizont transcriptional profiles,1/14/2015,Apollo,Matthias Marti,Harvard School of Public Health,"PlasmoDB rel. 28, 2016-MAR-31",28,DNA Microarray Assay,pfal3D7_microarrayExpression_Pelle_sexual_commitment_RSRC,DS_4f365680c8,<i>Plasmodium falciparum</i> 3D7<br>,25722744,N/A,Pelle et al.,"Transcriptional profile during schizont sexual committment to gametocytes:  Gene expression (microarray) of 
      sexually vs asexually committed schizonts in the P2G12 gametocyte-producing 
      derivative of <i>P. falciparum</i> 3D7.",transcript_expression,N/A,
<i>Plasmodium falciparum</i> 7G8 2019 Genome Sequence and Annotation,12/17/2019,N/A,Joana Carneiro da Silva,University of Maryland School of Medicine,"PlasmoDB rel. 55, 2021-DEC-02",55,Genomes,pfal7G8-2019_primary_genome_RSRC,DS_50ade832c1,<i>Plasmodium falciparum</i> 7G8 2019<br>,31915075,N/A,Joana Carneiro da Silva,Genome Sequence and Annotation of <i>Plasmodium falciparum</i> 7G8 2019,genome,5482,
Blood stage transcriptome,8/3/2020,Apollo,Adam J. Reid,"Wellcome/CRUK Gurdon Institute: Cambridge, GB","PlasmoDB rel. 51, 2021-MAR-16",51,RNASeq,hpil2019_Aunin_Blood_Stage_ebi_rnaSeq_RSRC,DS_5137426106,<i>Hepatocystis sp.</i> ex Piliocolobus tephrosceles 2019<br>,32745123,N/A,Aunin et al.,Transcriptome sequencing of <i>Hepatocystis sp. ex Piliocolobus tephrosceles</i> strain 2019 from a <i>Piliocolobus tephrosceles</i> blood sample was performed as part of the red colobus monkey genome sequencing project.,transcript_expression,N/A,
Mixed asexual stage ESTs,8/23/2007,Apollo,Malcolm J. Gardner,Seattle BioMed,"PlasmoDB rel. 1.0, 01-JAN-05",0,EST,pfal3D7_EST_ZhangGardner_EstLibrary_sequences_RSRC,DS_5395556c1a,<i>Plasmodium falciparum</i> 3D7<br>,N/A,N/A,Malcolm J. Gardner,"<i>P. falciparum</i> 3D7 mixed asexual stage EST library, from Hanbang Zhang and Malcolm Gardner.",EST,N/A,
Oocyst sporozoite global proteome in P. yoelii,10/31/2019,Apollo,Robert Moritz,Institute for Systems Biology,"PlasmoDB rel. 53, 2021-JUL-21",53,Protein expression,pyoeyoelii17X_massSpec_Lindner_Oocyst_Salivary_RSRC,DS_5771fd6126,<i>Plasmodium yoelii</i> yoelii 17X<br>,31673027,N/A,Lindner and Swearingen et al.,Proteomic analysis of <i>Plasmodium yoelii</i> oocyst sporozoites.,protein_expression,N/A,
Gametocyte time course from commitment to maturity,4/30/2018,Apollo,Lyn-Marie Birkholtz,University of Pretoria,"PlasmoDB rel. 45, 2019-SEP-05",45,DNA Microarray Assay,pfal3D7_microarrayExpression_Birkholtz_GametocyteTimeCourse_RSRC,DS_57b027468b,<i>Plasmodium falciparum</i> 3D7<br>,N/A,N/A,van Biljon et al.,Comprehensive high-resolution transcriptome dataset spanning the whole of gametocyte commitment and development of <i>P. falciparum</i>,transcript_expression,N/A,
"Aligned genomic sequence reads - Dd2, HB3, and other partial strains",8/1/2007,Apollo,Dyann F. Wirth,"Harvard School of Public Health, Harvard University","PlasmoDB rel. 1.0, 01-JAN-05",0,Genetic variation,pfal3D7_SNP_Broad_gff_RSRC,DS_57d9303094,<i>Plasmodium falciparum</i> 3D7<br>,17159979,N/A,Dyann F. Wirth,"Whole genome resequencing data from  <i>Plasmodium falciparum</i> Dd2, HB3 and other partial strains were used to call SNPs 
       and determine CNV at the gene and chromosome level.",SNP,N/A,
<i>Plasmodium falciparum</i> Dd2 Genome Sequence and Annotation,4/20/2018,N/A,Matt Berriman,"Wellcome Sanger Institute, Hinxton, UK","PlasmoDB rel. 51, 2021-MAR-16",41,Genomes,pfalDd2_primary_genome_RSRC,DS_58283fc81a,<i>Plasmodium falciparum</i> Dd2<br>,29862326,N/A,Matt Berriman,Genome Sequence and annotation for <i>Plasmodium falciparum</i> Dd2,genome,5461,
<i>Plasmodium knowlesi</i> strain A1H1 Genome Sequence and Annotation,9/19/2017,N/A,Taane G Clark,N/A,"PlasmoDB rel. 53, 2021-JUL-21",53,Genomes,pknoA1H1_primary_genome_RSRC,DS_586b8aaee2,<i>Plasmodium knowlesi</i> strain A1H1<br>,29258833,N/A,Taane G Clark,Genome Sequence and Annotation of <i>Plasmodium knowlesi</i> strain A1H1,genome,5465,
UTRs based on DAFT- and UTR-Seq (IT 2020),6/8/2020,Apollo,Manuel Llinas,Pennsylvania State University,"PlasmoDB rel. 52, 2021-MAY-20",52,"Sequence sites, features and motifs",pfal3D7_IT-UTRs-DAFT_GFF_RSRC,DS_5973aa0e89,<i>Plasmodium falciparum</i> 3D7<br>,32513207,N/A,Manuel Llinas,GFF files showing UTRs for IT strain determined by DAFT and 5UTR-Seq RNA sequencing techniques. Data are shown aligned to the 3D7 genome.,feature,N/A,
<i>Plasmodium coatneyi</i> Hackeri Genome Sequence and Annotation,9/16/2016,Apollo,Mary R Galinski,Emory University,"PlasmoDB rel. 51, 2021-MAR-16",23,Genomes,pcoaHackeri_primary_genome_RSRC,DS_597478d531,<i>Plasmodium coatneyi</i> Hackeri<br>,27587810,N/A,Mary R Galinski,Genome sequence and annotation of <i>Plasmodium coatneyi</i> strain Hackeri,genome,5575,
DOZI Mutant Transcript Profile,1,Apollo,Andrew Waters,"Department of Parasitology, Leiden University","PlasmoDB rel. 1.0, 01-JAN-05",0,DNA Microarray Assay,pberANKA_microarrayExpression_Waters_DOZI_RSRC,DS_5ae28eebe3,<i>Plasmodium berghei</i> ANKA<br>,16888139,N/A,Mair et al.,"mRNA abundance was compared between DOZI (development of zygote inhibited) mutant and wild 
      type <i>P. berghei</i> ANKA strains.",transcript_expression,N/A,
Aligned genomic sequence reads - P. yoelii from 100 Genomes project,1/10/2013,Apollo,Daniel E. Neafsey,"Harvard University & BROAD Institute, Cambridge, MA, USA","PlasmoDB rel. 13.0, 2015-JAN-14",23,Genetic variation,pyoeyoelii17X_HTS_SNP_Broad_100_genomes_RSRC,DS_5b7bc44266,<i>Plasmodium yoelii</i> yoelii 17X<br>,N/A,N/A,Daniel E. Neafsey,"Illumina whole genome shotgun sequencing of genomic DNA paired-end 
    library 'Solexa-97988' containing sample 'Plasmodium yoelii 17X'",isolates,N/A,
