Data Set,Data Set Version,Apollo,Contact,Contact institution,Release # and date,Build Number Introduced,Category,Data Set Name,dataset_id,Organism(s) (source or reference),Publications,Short Attribution,Summary,Type,Genes,,,,
"State-wide mosquito surveillance in Iowa, USA, 2004 (New Jersey light trap)",2/8/2019,N/A,Unidentified,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000387_RSRC,DS_28cd269bdc,<br>,N/A,Unidentified,"Mosquito collections have been made in various locations in Iowa, USA, using New Jersey light traps. (MapVEu VBP0000387)",population_biology,N/A,,,,
Anopheles stephensi transcriptome project (aligned to Indian strain),Jan-20,N/A,"University of Tokyo, Medical Genome Sciences","University of Tokyo, Medical Genome Sciences","VectorBase rel. 47, 2020-APR-07",47,RNASeq,asteIndian_SRP000747_ebi_rnaSeq_RSRC,DS_2962dcf64d,<i>Anopheles stephensi</i> Indian<br>,N/A,"University of Tokyo, Medical Genome Sciences","This transcriptome project is being performed at the University of Tokyo, Department of Medical Genome Sciences.",transcript_expression,N/A,,,,
Susceptibility of Aedes (S) albopictus larvae to synthetic insecticides,7/18/2014,N/A,B.C. Chakraborty,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000053_RSRC,DS_29711e8a3d,<br>,7348727,B.C. Chakraborty,Insecticide resistance study imported from IRBase. (MapVEu VBP0000053),population_biology,N/A,,,,
"State-wide mosquito surveillance in Iowa, USA, 1978 (New Jersey light trap)",3/12/2019,N/A,Ryan Smith,Iowa State University,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000428_RSRC,DS_2998bfc85f,<br>,"18714883, 25102595, 31036953",Ryan Smith,"Mosquito collections have been made in various locations in Iowa, USA, using New Jersey light traps. (MapVEu VBP0000428)",population_biology,N/A,,,,
Embryonic timecourse,Jan-20,Apollo,Andrew Hall,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","VectorBase rel. 47, 2020-APR-07",47,RNASeq,aaegLVP_AGWG_SRP046160_ebi_rnaSeq_RSRC,DS_29bdd32f97,<i>Aedes aegypti</i> LVP_AGWG<br>,22457801,Biedler et al 2012,RNA-Seq of <i>Aedes aegypti</i> Liverpool embryos at 3 timepoints,transcript_expression,N/A,,,,
"Mosquito surveillance in Cass County, North Dakota, and Clay County, Minnesota, USA. 2010",8/15/2018,N/A,Benjamin Prather,Cass County Vector Control District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000304_RSRC,DS_2a02587e72,<br>,N/A,Benjamin Prather,Mosquito surveillance from the Cass County Vector Control District program to survey mosquito populations. (MapVEu VBP0000304),population_biology,N/A,,,,
"Mosquito surveillance, Northwest Mosquito and Vector Control District, in California, USA, 2017",2/28/2019,N/A,Angela Caranci,Northwest Mosquito and Vector Control District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000402_RSRC,DS_2a125481e5,<br>,N/A,Angela Caranci,"Mosquito surveillance, Northwest Mosquito and Vector Control District, in California, USA, 2017. (MapVEu VBP0000402)",population_biology,N/A,,,,
"Resistance Status to Deltamethrin, Permethrin, and Temephos Along With Preliminary Resistance Mechanism in Aedes aegypti (Diptera: Culicidae) From Punjab, Pakistan",6/17/2019,N/A,Hafiz Azhar Ali Khan,"Institute of Agricultural Sciences, University of the Punjab, Lahore, Pakistan.","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000470_RSRC,DS_2a13145718,<br>,31028391,Hafiz Azhar Ali Khan,"Twelve field strains of Ae. aegypti from Punjab were evaulated for resistance against deltamethrin, permethrin, and temephos along with underlying resistance mechanisms. (MapVEu VBP0000470)",population_biology,N/A,,,,
"Mosquito surveillance in Desplaines Valley Mosquito Abatement, Illinois, USA, 1994",7/20/2019,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000502_RSRC,DS_2b33c73afd,<br>,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement 1994. (MapVEu VBP0000502),population_biology,N/A,,,,
Natural diversity of the malaria vector Anopheles gambiae,N/A,Apollo,Alistair Miles,Wellcome Centre for Human Genetics,"VectorBase rel. 48, 2020-AUG-27",48,Genetic variation,agamPEST_VBP0000163_ag1000g.phase1.ar3.pass.%_ebi_VCF_RSRC,DS_2b5254b775,<i>Anopheles gambiae</i> PEST<br>,29186111,Alistair Miles,"Sequencing of 765 wild specimens of Anopheles gambiae and Anopheles coluzzii sampled from 15 locations across Africa. The data reveal high levels of genetic diversity, with over 50 million single nucleotide polymorphisms across the 230 Mb genome.",isolates,N/A,,,,
Insecticide resistance to permethrin and malathion and associated mechanisms in Aedes aegypti mosquitoes from St. Andrew Jamaica,1/24/2018,N/A,Sheena Francis,"Natural Products Institute, Faculty of Science and Technology, University of the West Indies, Mona, Jamaica","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000216_RSRC,DS_2b6e80e480,<br>,28859159,Sheena Francis,"The emergence of novel diseases spread by the Aedes aegypti mosquito in Jamaica and the Caribbean, has prompted studies on insecticide resistance towards effective management of the vector. Though Jamaica has been using the organophosphate insecticide malathion in its vector control program for more than 30 years, resistance to the pesticide has not been tested in over a decade. We analyzed resistance to malathion and the pyrethroid insecticide, permethrin on mosquitoes collected across St. Andrew, Jamaica, and analyzed the molecular basis of resistance. (MapVEu VBP0000216)",population_biology,N/A,,,,
Male mosquito contribution towards malaria transmission: mating influences the Anopheles female midgut transcriptome and susceptibility to human malaria parasites,11/7/2019,Apollo,Mara Lawniczak,"Wellcome Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridgeshire, UK","VectorBase rel. 61, 2022-DEC-15",61,RNASeq,acolAcolN3idAnoColuKW18c001_1_ERP113663_ebi_rnaSeq_RSRC,DS_2b7b4820e2,<i>Anopheles coluzzii</i> AcolN3<br>,31697788,Dahalan et al 2019,"Female mosquitoes were blood or sugar feed. In both groups, some were kept with males for mating (virgins were in separate cages). Injections were done with ecdysone plus ethanol as the carrier, or ethanol alone, no injection controls were also used.",transcript_expression,N/A,,,,
"Neafsey et al., 2010 Anopheles gambiae M, S and Bamako populations - AgSNP01 genotypes and karyotypes for chromosome arms 2L and 2R",6/6/2013,N/A,Nora Besansky,University of Notre Dame,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000003_RSRC,DS_2b98dd44ab,<br>,20966254,Nora Besansky,"Female mosquitoes were collected from Mali via spray catch in 2004. These were identified, using a combination of cytological karyotyping and molecular assays, as one of the three known sympatric A. gambiae populations in Mali (M, S, and Bamako).  Genotyping at ~60k quality-controlled loci was performed using the Affymetrix SNP chip (AgSNP01). (MapVEu VBP0000003)",population_biology,N/A,,,,
The polymorphism and geographical distribution of knockdown resistance of adult Anopheles sinensis populations in eastern China,6/17/2019,N/A,Jun Sun,"Department of Vector Control, Jiangsu Center for Disease Prevention and Control, Nanjing, Jiangsu, China","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000471_RSRC,DS_2bce8e32a8,<br>,22554130,Jun Sun,"Adult Anopheles mosquitoes were sampled from multiple sites across Jiangsu and Anhui provinces, and sufficient mosquitoes collected from eleven sites for insecticide susceptibility bioassays. The DIIS4-DIIS6 region of the para-type sodium channel gene was amplified and sequenced, then multiple PCR and Taqman assays were used to assess the frequencies of kdr mutations at the target gene. (MapVEu VBP0000471)",population_biology,N/A,,,,
Male reproductive organs,1/2/2019,Apollo,Richard Emes,"School of Veterinary Medicine and Sciences., University of Nottingham","VectorBase rel. 61, 2022-DEC-15",61,RNASeq,acolAcolN3idAnoColuKW18c001_1_SRP155215_ebi_rnaSeq_RSRC,DS_2bd8409197,<i>Anopheles coluzzii</i> AcolN3<br>,30623175,Izquierdo et al 2019,Gene expression was determined for Male accessory gland and testes,transcript_expression,N/A,,,,
"Insecticide resistance in malaria and arbovirus vectors in Papua New Guinea, 2017–2022",2024,N/A,Karl Stephen,"PNG Institute of Medical Research, Madang, Madang Province, Papua New Guinea","VectorBase rel. 67, 2024-FEB-21",67,N/A,ISATab_VBP0000845_RSRC,DS_2bd9f36ff6,<br>,36376932,Karl Stephen,Mosquito larvae were collected in larval habitat surveys and through ovitraps. Mosquitoes were reared to adults and tested using standard WHO susceptibility bioassays.,population_biology,N/A,,,,
Proboscis with and without Trypanosoma infection,Jan-20,Apollo,Paul Mireji,Yale University,"VectorBase rel. 47, 2020-APR-07",47,RNASeq,gmorYale_SRP093552_ebi_rnaSeq_RSRC,DS_2be66219b5,<i>Glossina morsitans</i> Yale<br>,29155830,Awuoche et al 2017,RNAseq from proboscis of males with and without infection with <i>Trypanosoma congolense<i> infections 28d post-infection.,transcript_expression,N/A,,,,
Generic RNA samples,Jan-20,Apollo,The Genome Center at Washington University School of Medicine in St. Louis,The Genome Center at Washington University School of Medicine in St. Louis,"VectorBase rel. 47, 2020-APR-07",47,RNASeq,mdomaabys_SRP015949_ebi_rnaSeq_RSRC,DS_2c1240d445,<i>Musca domestica</i> aabys<br>,N/A,The Genome Center at Washington University School of Medicine in St. Louis,Musca domestica (house fly) is a mechanical vector of numerous human pathogens. It has been included in the genomes sequenced by the Glossina Genomes Consortium as a closely related non-blood feeding fly and non-trypanosome vector species. This transcriptome data will support genome annotation and comparative functional studies.,transcript_expression,N/A,,,,
"Tick cell lines DAE15, DAE100 and DVE1",2/19/2014,Apollo,Daniel E. Neafsey,"Harvard University & BROAD Institute, Cambridge, MA, USA","VectorBase rel. 64, 2023-JUL-12",64,RNASeq,dandqqDerAnde1_Neafsey_Dermacentor_celllines_2014_ebi_rnaSeq_RSRC,DS_2c164a746d,<i>Dermacentor andersoni</i> qqDerAnde1.2<br>,N/A,"Neafsey et al 2014, unpublished","Unpublished transcriptome sequencing of D. variabilis DVE1 and, D. andersoni DAE15 and DAE100 cell lines.",transcript_expression,N/A,,,,
Current insecticide susceptibility status of Anopheles minimus Theobald in Assam,8/6/2014,N/A,A. Prakash,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000064_RSRC,DS_2c55d8cc30,<br>,8810151,A. Prakash,Insecticide resistance study imported from IRBase. (MapVEu VBP0000064),population_biology,N/A,,,,
"Mosquito surveillance in Salt Lake County, Utah, USA. 2020",2023,N/A,Gregory White,N/A,"VectorBase rel. 66, 2023-NOV-28",66,N/A,ISATab_VBP0000842_RSRC,DS_2c77428cb1,<br>,N/A,Gregory White,Mosquito surveillance from the Salt Lake City Mosquito Abatement District program to survey mosquito populations.,population_biology,N/A,,,,
Generic RNA-Seq for gene prediction,Jan-20,Apollo,The Genome Center at Washington University School of Medicine in St. Louis,The Genome Center at Washington University School of Medicine in St. Louis,"VectorBase rel. 47, 2020-APR-07",47,RNASeq,gpalIAEA_SRP017756_ebi_rnaSeq_RSRC,DS_2c8bd1cead,<i>Glossina pallidipes</i> IAEA<br>,N/A,The Genome Center at Washington University School of Medicine in St. Louis,Generic RNA-Seq for gene prediction,transcript_expression,N/A,,,,
"Response to chemical attractants and host seeking behavior of Anopheles Meigen spp. (Diptera: Culicidae) in a malaria endemic area of Bolivar State, Venezuela",2022,N/A,Yasmin Rubio-Palis,"UNIVERSIDAD DE CARABOBO':' MARACAY, ARAGUA, VE","VectorBase rel. 57, 2022-APR-21",57,N/A,ISATab_VBP0000798_RSRC,DS_2cd94649c6,<br>,N/A,Yasmin Rubio-Palis,"The efficiency of the Mosquito Magnet Liberty PlusTM (MMLP) trap was evaluated baited with the chemical attractants 1-octen-3-ol (octenol) and Lurex3M (L-lactic acid) together with carbon dioxide (CO2) to collect anophelines in the Amerindian village Boca de Nichare, Sucre municipality, Bol&#8192;var State, Venezuela.",population_biology,N/A,,,,
ATAC-seq of both A. gambiae midguts (MGs) and salivary glands (SGs) infected with P. falciparum,1/20/2021,Apollo,Elena Gomez-Diaz,Instituto de Parasitologia y Biomedicina Lopez-Neyra (IPBLN),"VectorBase rel. 57, 2022-APR-21",57,CHIP Seq,agamPEST_Ruiz_ATACseq_Agambiae_MGs_SGs_infected_Pfalciparum_2021_chipSeq_RSRC,DS_2ce38f92c8,<i>Anopheles gambiae</i> PEST<br>,33987532,Ruiz et al 2021,ATAC-seq of both A. gambiae s.s. Kisumu midguts (MGs) and salivary glands (SGs) infected with P. falciparum 3D7,transcript_expression,N/A,,,,
"Mosquito surveillance in Desplaines Valley Mosquito Abatement, Illinois, USA, 1996",7/22/2019,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000506_RSRC,DS_2d0c8a4001,<br>,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement 1996. (MapVEu VBP0000506),population_biology,N/A,,,,
Musca domestica Transcriptome or Gene expression,Jan-20,Apollo,Min Lu,"Institute of Animal Husbandry and Veterinary Science, Henan Academy of Agricultural Sciences","VectorBase rel. 47, 2020-APR-07",47,RNASeq,mdomaabys_SRP033226_ebi_rnaSeq_RSRC,DS_2d0eadb369,<i>Musca domestica</i> aabys<br>,N/A,Min Lu,Transcriptome Analysis and Discovery of Genes Involved in Immune Pathways of bacteria Challenged musca domestica,transcript_expression,N/A,,,,
In depth annotation of the Anopheles gambiae mosquito midgut transcriptome,Jan-20,Apollo,Vijayaraj Nagarajan,NIAID,"VectorBase rel. 47, 2020-APR-07",47,RNASeq,agamPEST_SRP038137_ebi_rnaSeq_RSRC,DS_2d2dbe18c7,<i>Anopheles gambiae</i> PEST<br>,N/A,Vijayaraj Nagarajan,"This study involved in-depth transcriptome analysis of the midgut of the human malaria vector, the An. gambiae mosquito, using RNA-Seq by Illumina sequencing. The goal of the study was to discover new transcripts and improve the genome annotation, especially of midgut-expressed genes, as interaction of Plasmodium with this organ is critical for the malaria parasite to establish an infection. We explored the mosquito midgut transcriptome of two An. gambiae strains, the L3-5 refractory strain that was selected to melanize Plasmodium, and the An. gambiae G3 susceptible strain, both under different physiologic conditions.",transcript_expression,N/A,,,,
"Susceptibility of adult Aedes aegypti (L) and Culex quinquefaciatus Say (Diptera, Culicidae) to DDT in Kampuchea",8/6/2014,N/A,M. Kohn,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000093_RSRC,DS_2d7fb5cca0,<br>,1808035,M. Kohn,Insecticide resistance study imported from IRBase. (MapVEu VBP0000093),population_biology,N/A,,,,
"Adult female midgut, Malpighian tubules, fat body, and ovary",8/21/2017,Apollo,Akhilesh Pandey,"Mayo Clinic, Rochester, Minnesota","VectorBase rel. 67, 2024-FEB-21",67,RNASeq,asteIndian2020_SRP043489_ebi_rnaSeq_RSRC,DS_2d801b9b6c,<i>Anopheles stephensi</i> UCISS2018<br>,28708456,Sreenivasamurthy et al 2017,"Adult female midgut, Malpighian tubules, fat body, and ovary",transcript_expression,N/A,,,,
Sequence reads,Jan-20,Apollo,zheng du,Lanzhou veterinary research institute,"VectorBase rel. 62, 2023-MAR-09",62,RNASeq,aalbFPA_SRP133921_ebi_rnaSeq_RSRC,DS_2db2b4da6c,<i>Aedes albopictus</i> Foshan FPA<br>,N/A,"Zheng et al 2018, unpublished",Aedes albopictus transcriptome Raw sequence reads,transcript_expression,N/A,,,,
Pyrethroid-resistant vs -susceptible bed bugs,Jan-20,Apollo,Zach Adelman,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","VectorBase rel. 47, 2020-APR-07",47,RNASeq,clecHarlan_SRP007589_ebi_rnaSeq_RSRC,DS_2dc6a41f29,<i>Cimex lectularius</i> Harlan<br>,22039447,Adelman et al 2011,"Bed bugs collected in Richmond, VA exhibit both kdr-type (L925I) and metabolic resistance to pyrethroid insecticides. The Harlan-strain is susceptible. Deep-sequencing of the two adult bed bug transcriptomes was performed",transcript_expression,N/A,,,,
"Effective population sizes of a major vector of human diseases, Aedes aegypti",Jun-20,Apollo,Norah P Saarman,"Yale University, New Haven, CT, USA","VectorBase rel. 48, 2020-AUG-27",48,Genetic variation,aaegLVP_AGWG_VBP0000193_Saarman-EvoApps-2017-SNPs_2_AaegL5_ebi_VCF_RSRC,DS_2dedb1ac27,<i>Aedes aegypti</i> LVP_AGWG<br>,29151858,Norah P Saarman,"In this study, we use 12 microsatellite markers and 14,888 single nucleotide polymorphisms (SNPs) to empirically estimate Ne in Aedes aegypti, the major vector of yellow fever, dengue, chikungunya, and Zika viruses. We used the method of temporal sampling to estimate Ne on a global dataset made up of 46 samples of Ae. aegypti that included multiple time points from 17 widely distributed geographic localities.",isolates,N/A,,,,
Evolution of gene expression levels in Anopheles male reproductive organs aaraDongola,1/2/2019,Apollo,Richard Emes,"School of Veterinary Medicine and Sciences., University of Nottingham","VectorBase rel. 67, 2024-FEB-21",67,RNASeq,aaraDONGOLA2021_SRP155215_ebi_rnaSeq_RSRC,DS_2e36188d4e,<i>Anopheles arabiensis</i> DONGOLA 2021<br>,30623175,Izquierdo et al 2019,Gene expression was determined for Male accessory gland and testes,transcript_expression,N/A,,,,
Antennal transcriptome by age and sex,Jan-20,Apollo,Anais Tallon,Swedish University of Agricultural Sciences,"VectorBase rel. 47, 2020-APR-07",47,RNASeq,aaegLVP_AGWG_SRP171130_ebi_rnaSeq_RSRC,DS_2e3c439ffe,<i>Aedes aegypti</i> LVP_AGWG<br>,30631085,Tallon et al 2019,"Antennal transcriptomes from virgin adult females and males, 1, 3 and 5 dpe, were performed.",transcript_expression,N/A,,,,
"Transcriptional profiling of male head comparing control non-swarming mosquito with swarming mosquito (Anopheles coluzzii, aligned to A. gambiae PEST strain)",9/19/2020,Apollo,Marcelo Jacobs-Lorena,Johns Hopkins Bloomberg School of Public Health and Malaria Research Institute,"VectorBase rel. 53, 2021-JUL-21",53,DNA Microarray Assay,agamPEST_microarrayExpression_GSE150971_swarming_mosquito_RSRC,DS_2e639b71f6,<i>Anopheles gambiae</i> PEST<br>,33479155,Wang et al 2021,"We collected Anopheles coluzzii at dusk from swarms and from houses (resting, nonswarming, with antennal fibrillae becoming erect). Both swarm male heads and indoor resting male heads were treated as experimental samples. Laboratory reared 2-6-day old virgin An. gambiae s.s. male were used as reference samples (control). RNA from male heads was extracted. Biological replicates: 3 non-swarming replicates, 3 swarming replicates.",transcript_expression,N/A,,,,
Female Synganglion,7/30/2014,Apollo,Daniel Sonenshine,Old Dominion University,"VectorBase rel. 61, 2022-DEC-15",61,RNASeq,iscaPalLabHiFi_SRP040677_ebi_rnaSeq_RSRC,DS_2e89ed856d,<i>Ixodes scapularis</i> PalLabHiFi<br>,25075967,Egekwu et al 2014,"Synganglia were excised from females, either unfed, partially-fed 5–6 days (virgin), or replete (mated), and were dissected for RNA extraction.",transcript_expression,N/A,,,,
Developmental transcriptome of sexed Anopheles gambiae pupae,Jan-20,Apollo,The Pirbright Institute,The Pirbright Institute,"VectorBase rel. 47, 2020-APR-07",47,RNASeq,agamPEST_ERP005571_ebi_rnaSeq_RSRC,DS_2efcd0c49f,<i>Anopheles gambiae</i> PEST<br>,N/A,Akbari et al 2013,"Overall, the study aims at obtaining a comprehensive picture of the African malaria mosquito, Anopheles gambiae, transcriptome using high-coverage RNA-Seq of sexed whole-insect samples collected at different developmental time points. This experiment focuses on transcriptomes of 4 h, 10 h and 20 h old male and female pupae.",transcript_expression,N/A,,,,
<i>Glossina fuscipes</i> IAEA Genome Sequence and Annotation,GfusI1,N/A,Geoffrey Attardo,"University of California, Davis, CA, USA","VectorBase rel. 49, 2020-NOV-05",47,Genomes,gfusIAEA_primary_genome_RSRC,DS_2f0c4b9ff0,<i>Glossina fuscipes</i> IAEA<br>,31477173,Geoffrey Attardo,Genome Sequence and Annotation for <i>Glossina fuscipes</i> IAEA,genome,20502,,,,
<i>Culex quinquefasciatus</i> JHB 2020 Genome Sequence and Annotation,12/4/2020,Apollo,Zhijian Tu,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","VectorBase rel. 66, 2023-NOV-28",56,Genomes,cquiJHB_primary_genome_RSRC,DS_2f1ec58add,<i>Culex quinquefasciatus</i> JHB 2020<br>,N/A,Zhijian Tu,Genome Sequence and Annotation of <i>Culex quinquefasciatus</i> JHB 2020,genome,18665,,,,
<i>Culex quinquefasciatus</i> Johannesburg Genome Sequence and Annotation,CpipJ2,N/A,Peter Arensburgern,"University of California Riverside, Riverside, CA, USA","VectorBase rel. 49, 2020-NOV-05",47,Genomes,cquiJohannesburg_primary_genome_RSRC,DS_2f26cdb393,<i>Culex quinquefasciatus</i> Johannesburg<br>,20929810,Peter Arensburgern,Genome Sequence and Annotation for <i>Culex quinquefasciatus</i> Johannesburg,genome,19793,,,,
Impact of partially and fully closed eaves on house entry rates by mosquitoes,10/4/2018,N/A,Monicah M Mburu,"Wageningen University and Research, Wageningen, The Netherlands College of Medicine, University of Malawi, Zomba, Malawi","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000322_RSRC,DS_2f5207f890,<br>,29970153,Monicah M Mburu,"Host-seeking mosquitoes were sampled inside houses with closed eaves, partially closed eaves and open eaves, using CDC light traps. (MapVEu VBP0000322)",population_biology,N/A,,,,
<i>Anopheles marshallii</i> AmarGA1 Genome Sequence and Annotation,2/24/2023,Apollo,Mara Lawniczak,"Wellcome Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridgeshire, UK","VectorBase rel. 68, 2024-MAY-07",66,Genomes,amarAmarGA1_primary_genome_RSRC,DS_2f761c02f0,<i>Anopheles marshallii</i> AmarGA1<br>,N/A,Mara Lawniczak,Genome Sequence and Annotation of <i>Anopheles marshallii</i> AmarGA1,genome,13358,,,,
"Sandfly surveillance in Cyrpus, 2011-2013",3/27/2018,N/A,Unidentified,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000229_RSRC,DS_2fe6e29a29,<br>,N/A,Unidentified,Sandfly surveillance from Cyprus (MapVEu VBP0000229),population_biology,N/A,,,,
Variations in entomological indices in relation to weather patterns and malaria incidence in East African highlands':' implications for epidemic prevention and control,2/28/2020,N/A,Mojca Kristan,"Department of Disease Control, London School of Hygiene & Tropical Medicine, WC1E 7HT, London, UK","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000622_RSRC,DS_30116757ab,<br>,N/A,Mojca Kristan,Mosquito abundance in the East African highlands (MapVEu VBP0000622),population_biology,N/A,,,,
Generic RNA-Seq for gene prediction,Jan-20,Apollo,The Genome Center at Washington University School of Medicine in St. Louis,The Genome Center at Washington University School of Medicine in St. Louis,"VectorBase rel. 47, 2020-APR-07",47,RNASeq,gausTTRI_SRP033002_ebi_rnaSeq_RSRC,DS_30512043d3,<i>Glossina austeni</i> TTRI<br>,N/A,The Genome Center at Washington University School of Medicine in St. Louis,Generic RNA-Seq for gene prediction,transcript_expression,N/A,,,,
Transcriptome sequencing,Jan-20,Apollo,Li Hu,"Department of Pathogen Biology and Immunology, School of Basic Medical Sciences, Xi'an Jiaotong University","VectorBase rel. 47, 2020-APR-07",47,RNASeq,sscaArlian_SRP071828_ebi_rnaSeq_RSRC,DS_307341ec86,<i>Sarcoptes scabiei</i> Arlian<br>,26997341,Hu et al.,"<I>Sarcoptes scabiei canis </I>mites were collected from the auricle of an infected dog in Xi’an, China, by the scraping method. After being identified as live <I>Sarcoptes </I>mites under a microscope (Motic 2.0, China), the mites were picked quickly into a 15-ml centrifuge tube.

<br><br>

Two mite samples were prepared by homogenization method (JMQ-hm) or liquid nitrogen grounding method (JMQ-lngm) for total RNA extraction.",transcript_expression,N/A,,,,
Malathion resistance in mosquitos from Charleston and Georgetown counties of coastal South Carolina,8/6/2014,N/A,Y. Mekuria,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000094_RSRC,DS_30c409d206,<br>,7912262,Y. Mekuria,Insecticide resistance study imported from IRBase. (MapVEu VBP0000094),population_biology,N/A,,,,
RNAseq between deltamethrin-resistant and susceptible mosquitoes,Jan-20,Apollo,Mariangela Bonizzoni,Univ of California Irvine,"VectorBase rel. 47, 2020-APR-07",47,RNASeq,agamPEST_SRP052073_ebi_rnaSeq_RSRC,DS_30ca5bafd2,<i>Anopheles gambiae</i> PEST<br>,26381877,Bonizzoni et al. 2015,The sequence-based technique RNA-seq was applied to study changes in the transcriptome of deltamethrin-resistant and -susceptible Anopheles gambiae mosquitoes from the Western Province of Kenya.,transcript_expression,N/A,,,,
Different gut regions in sugar-fed adult females,12/16/2021,Apollo,Nicolas Buchon,"Cornell Institute of Host-Microbe Interactions and Disease, Department of Entomology, Cornell University","VectorBase rel. 59, 2022-AUG-30",59,RNASeq,agamPEST_Hixson_anopheles_2022_ebi_rnaSeq_RSRC,DS_30f22178ef,<i>Anopheles gambiae</i> PEST<br>,35471187,Hixson et al 2022,"Transcriptomic atlas of some gut regions in sugar-fed adult females (gut, proventriculus, anterior midgut, and posterior midgut)",transcript_expression,N/A,,,,
Male adult (Tu 2012),Jan-20,Apollo,Andrew Hall,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","VectorBase rel. 47, 2020-APR-07",47,RNASeq,agamPEST_SRP014756_ebi_rnaSeq_RSRC,DS_3159f5b799,<i>Anopheles gambiae</i> PEST<br>,N/A,Andrew Hall,Transcriptome sequencing of Anopheles gambiae.,transcript_expression,N/A,,,,
Adult female,5/30/2012,Apollo,Jesús Martínez-Barnetche,"Centro de Investigación sobre Enfermedades Infecciosas, Instituto Nacional de Salud Pública","VectorBase rel. 62, 2023-MAR-09",62,RNASeq,aalbSTECLA2020_SRP012327_ebi_rnaSeq_RSRC,DS_3193a08e0d,<i>Anopheles albimanus</i> STECLA 2020<br>,22646700,Martínez-Barnetche et al 2012,We sequenced the transcriptome of the <I>An. albimanus</i> adult female.,transcript_expression,N/A,,,,
Insecticide susceptibility of Anopheles gambiae s.l. and identification of some resistance mechanisms in Kwilu Province in the Democratic Republic of Congo,2/9/2021,N/A,Emery M Matubi,"Institut National de Recherche Biomédicale (INRB/Kinshasa), Kinshasa, République Démocratique de Congo","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000727_RSRC,DS_319c2d35a5,<br>,33244342,Emery M Matubi,Pre-imaginal stages of An. gambiae s.l. were collected and standard WHO bioassays were performed on adult An. gambiae s.l. reared in the laboratory from larvae collected from different sites in the study area. The alleles of knock down resistance (Kdr) gene and species of anopheles were determined by PCR-RLFP. (MapVEu VBP0000727),population_biology,N/A,,,,
"Lee County Mosquito Control Department data in Lee county, Florida, 2017.",6/11/2019,N/A,Sterling Milton,Lee County Mosquito Control District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000468_RSRC,DS_31bf517199,<br>,N/A,Sterling Milton,"2017 mosquito data from Lee county, Florida, collected by the Lee County Mosquito Control Department. (MapVEu VBP0000468)",population_biology,N/A,,,,
"Anopheles culicifacies (Diptera, Culicidae) - DDT resistance in Sri Lanka prior to and after cessation of DDT spraying",8/6/2014,N/A,P. Rawlings,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000061_RSRC,DS_31c151e3e2,<br>,4045932,P. Rawlings,Insecticide resistance study imported from IRBase. (MapVEu VBP0000061),population_biology,N/A,,,,
