Data Set,Data Set Version,Apollo,Contact,Contact institution,Release # and date,Build Number Introduced,Category,Data Set Name,dataset_id,Organism(s) (source or reference),Publications,Release Policy,Short Attribution,Summary,Type,Genes,
T. cruzi and T. brucei lysine and N-terminal acetylation proteomes,1/5/2018,Apollo,Sergio Schenkman,"Department of Microbiology, Immunology, and Parasitology, Universidade Federal de Sao Paulo","TriTrypDB rel. 38, 2018-JUL-05",38,Protein expression,tbruTREU927_massSpec_Lysine_and_Nterminal_acetylation_RSRC,DS_2db3d0872d,<i>Trypanosoma brucei</i> brucei TREU927<br>,29168382,N/A,Moretti et al.,"Acetylation of lysine and N-terminal amino acids in <i>T. cruzi</i> epimastigotes, <i>T. brucei</i> procyclic forms, and <i>T. brucei</i> bloodstream forms.",protein_expression,N/A,
Effect of heat shock on promastigote transcriptome,5/6/2019,Apollo,José María Requena,"Centro de Biologia Molecular Severo Ochoa (CSIC-UAM), Universidad Autonoma de Madrid, Spain","TriTrypDB rel. 56, 2022-FEB-15",56,RNASeq,lmajFriedlin_LmajFriedlin_HeatShock_Rastrojo_RNAseq_ebi_rnaSeq_RSRC,DS_2dc080591a,<i>Leishmania major</i> strain Friedlin<br>,31061406,N/A,Rastrojo et al.,"Transcriptome of <i> Leishmania major</i> Friedlin during mild heat shock, 26 °C vs 37 °C.",transcript_expression,N/A,
Expression profiling of five life cycle stages,1,Apollo,Marilyn Parsons,Seattle Biomedical Research Institute,"TriTrypDB rel. 1.0, 2005-JAN-01",0,DNA Microarray Assay,tbruTREU927_microarrayExpression_GSE18049_Parsons_Marilyn_RSRC,DS_2e9f1cbf33,<i>Trypanosoma brucei</i> brucei TREU927<br>,19840382,N/A,Marilyn Parsons,Gene expression profiling of five life cycle stages determined via microarray,transcript_expression,N/A,
<i>Trypanosoma brucei</i> Lister strain 427 Genome Sequence and Annotation,10/20/2010,N/A,Pathogen Sequencing Unit,Wellcome Sanger Institute,"TriTrypDB rel. 5.0, 2013-MAY-31",0,Genomes,tbruLister427_primary_genome_RSRC,DS_2ee593c89d,<i>Trypanosoma brucei</i> Lister strain 427<br>,N/A,N/A,Pathogen Sequencing Unit,Genome sequence and annotation for <i>Trypanosoma brucei</i> strain Lister 427,genome,9313,
"Bloodstream and Procyclic for spliced leader transcriptomes (927, 427)(2014)",2014-05-24_gus4,Apollo,Marilyn Parsons,Seattle Biomedical Research Institute,"TriTrypDB rel. 24, 2015-APR-14",24,RNASeq,tbruTREU927_Gowthaman_Spliced_Leaders_rnaSeqSplicedLeaderAndPolyASites_RSRC,DS_2ffc0211e6,<i>Trypanosoma brucei</i> brucei TREU927<br>,25331479,N/A,Jensen et al.,"Spliced leader sites determined by RNA-Seq of SL sequence-primed cDNA libraries from  
         <i>in vivo</i> <i>T. brucei</i> 927 procyclic and slender forms as well 
         as a cultured <i>T brucei</i> 427 bloodstream form.",transcript_expression,N/A,
<i>Trypanosoma brucei</i> brucei TREU927 Genome Sequence and Annotation,11/1/2020,Apollo,Pathogen Sequencing Unit,Wellcome Sanger Institute,"TriTrypDB rel. 7.0, 2014-FEB-03",0,Genomes,tbruTREU927_primary_genome_RSRC,DS_31282613b1,<i>Trypanosoma brucei</i> brucei TREU927<br>,16020726,N/A,Pathogen Sequencing Unit,<i>Trypanosoma brucei</i> TREU927 sequence and annotation,genome,11764,
<i>Trypanosoma brucei</i> Lister strain 427 2018 Genome Sequence and Annotation,12/17/2018,Apollo,Nicolai Siegel,Ludwig-Maximilians-Universität München,"TriTrypDB rel. 52, 2021-MAY-20",42,Genomes,tbruLister427_2018_primary_genome_RSRC,DS_313efe4051,<i>Trypanosoma brucei</i> Lister strain 427 2018<br>,30333624,N/A,Nicolai Siegel,"Genome sequence and annotation for <i>Trypanosoma brucei</i> Lister strain 427 2018 sequenced with PacBio, scaffolded with HiC data and annotated with Companion",genome,17243,
Chemical Entities of Biological Interest Compounds,10/13/2021,N/A,EMBL-EBI,EMBL-EBI,"TriTrypDB rel. 1.0, 01-JAN-05",0,Compounds from ChEBI,compounds_chEBI_RSRC,DS_32b4753324,<br>,23180789,N/A,EMBL-EBI,Compound records from Chemical Entities of Biological Interest (ChEBI),compound,N/A,
The Sequence Ontology,5/15/2015,N/A,The Sequence Ontology Project (SO),N/A,"TriTrypDB rel. 1.0, 01-JAN-05",0,Ontology and terminology,SO_RSRC,DS_3331bdf8a7,<br>,15892872,N/A,The Sequence Ontology Project (SO),"The Sequence Ontology Project (SO) is a joint effort by genome annotation centres, including: WormBase, 
         FlyBase, the Mouse Genome Informatics group, and the Sanger Institute. As part of the Gene Ontology Project 
         and the Open Biomedical Ontologies (OBO), their aim is to develop an ontology, or hierarchical vocabulary, suitable for describing biological sequences.",sres,N/A,
SUMOylation enriched epimastigote proteome (CL Brener),N/A,Apollo,Igor C. Almeida,University of Texas at El Paso,"TriTrypDB rel. 5.0, 2013-MAY-31",18,Protein expression,_massSpec_Almaida_SUMOylation_Proteomics_RSRC,DS_33de6b902e,<i>Trypanosoma cruzi</i> CL Brener Esmeraldo-like<br><i>Trypanosoma cruzi</i> CL Brener Non-Esmeraldo-like<br><i>Trypanosoma cruzi</i> strain CL Brener<br>,21832256,N/A,Bayona et al.,Protein targets of SUMOylation in <i>T. cruzi</i> CL Brener epimastigotes,protein_expression,N/A,
<i>Trypanosoma brucei</i> gambiense DAL972 Genome Sequence and Annotation,5/28/2016,N/A,Pathogen Sequencing Unit,Wellcome Sanger Institute,"TriTrypDB rel. 52, 2021-MAY-20",0,Genomes,tbrugambienseDAL972_primary_genome_RSRC,DS_34f7091496,<i>Trypanosoma brucei</i> gambiense DAL972<br>,N/A,N/A,Pathogen Sequencing Unit,Genome sequence and annotation for <i>Trypanosoma brucei</i> gambiense,genome,8082,
Procyclic trypanosomes: heat shock vs untreated control,1,Apollo,Mark Carrington,University of Cambridge,"TriTrypDB rel. 1.0, 2005-JAN-01",0,DNA Microarray Assay,tbruTREU927_microarrayExpression_E-MEXP-1476_heat_shock_stress_RSRC,DS_36e67bfae4,<i>Trypanosoma brucei</i> brucei TREU927<br>,18713834,N/A,Kramer et al.,Expression profiles of heat shock treated procyclic trypansosomes compared to untreated control.,transcript_expression,N/A,
mRNA degradation,2011-3-25_gus4,Apollo,Christine Clayton,University of Heidelberg,"TriTrypDB rel. 1.0, 01-JAN-05",0,RNASeq,tbruTREU927_Clayton_mRNADegradation_rnaSeq_RSRC,DS_378ed5098b,<i>Trypanosoma brucei</i> brucei TREU927<br>,21947264,N/A,Manful et al.,The role of XRNA in transcriptome-wide mRNA degradation.,transcript_expression,N/A,
Phosphoproteome during Metocyclogenesis (Dm28c),N/A,Apollo,Marco A. Krieger,Instituto Carlos Chagas,"TriTrypDB rel. 5.0, 2013-MAY-31",18,Protein expression,_massSpec_Marchini_phosphoproteome_RSRC,DS_37d4189c5a,<i>Trypanosoma cruzi</i> CL Brener Esmeraldo-like<br><i>Trypanosoma cruzi</i> CL Brener Non-Esmeraldo-like<br><i>Trypanosoma cruzi</i> strain CL Brener<br>,21966514,N/A,Marchini et al.,Phsophoproteome of the <i>T. cruzi</i> differentiation process from non-infective epimastigotes to infective metacyclic trypomastigotes.,protein_expression,N/A,
NCBI Taxonomy,3/15/2021,N/A,TAXON,NCBI,"TriTrypDB rel. 1.0, 01-JAN-05",0,Taxonomy and Phylogeny,taxonomy_RSRC,DS_385ea4f5f9,<br>,N/A,N/A,TAXON,"The NCBI Taxonomy database is a curated set of names and classifications for all organisms that are represented in the Entrez databases. 
         The Taxonomy database attempts to incorporate phylogenetic and taxonomic knowledge from a variety of sources, including the published literature,
          web-based databases, and the advice of sequence submitters and outside taxonomy experts.",sres,N/A,
<i>Blechomonas ayalai</i> B08-376 Genome Sequence and Annotation,10/15/2021,Apollo,Vyacheslav Yurchenko,"Life Science Research Center, Department of Biology and Ecology, Faculty of Science, University of Ostrava","TriTrypDB rel. 60, 2022-NOV-09",31,Genomes,bayaB08-376_primary_genome_RSRC,DS_3aca1e6b48,<i>Blechomonas ayalai</i> B08-376<br>,N/A,N/A,Vyacheslav Yurchenko,<i>Blechomonas ayalai </i> B08-376 Sequence and Annotation,genome,8126,
<i>Leishmania braziliensis</i> MHOM/BR/75/M2904 Genome Sequence and Annotation,5/28/2016,Apollo,Pathogen Sequencing Unit,Wellcome Sanger Institute,"TriTrypDB rel. 52, 2021-MAY-20",0,Genomes,lbraMHOMBR75M2904_primary_genome_RSRC,DS_3b2d78a053,<i>Leishmania braziliensis</i> MHOM/BR/75/M2904<br>,17572675,N/A,Pathogen Sequencing Unit,<i>Leishmania braziliensis</i> M2904 (MHOM/BR/75M2904) sequence and annotation from GeneDB.,genome,8493,
Epimastigote Cell Surface Proteome (Berenice),N/A,Apollo,Carlos A. O. Ricart,University of Brasília,"TriTrypDB rel. 8.0, 2014-MAY-08",21,Protein expression,_massSpec_Queiroz_Epimastigote_Cell_Surface_Proteome_RSRC,DS_3c36fc34ed,<i>Trypanosoma cruzi</i> CL Brener Esmeraldo-like<br><i>Trypanosoma cruzi</i> CL Brener Non-Esmeraldo-like<br><i>Trypanosoma cruzi</i> strain CL Brener<br>,23682730,N/A,Queiroz et al.,Proteome from epimastigote cell surface isolated by trypsin or biotinylation and analyzed by LC-MS/MS.,protein_expression,N/A,
<i>Leishmania donovani</i> strain BHU 1220 Genome Sequence,11/6/2013,N/A,Neeloo Singh,CSIR-Central Drug Research Institute,"TriTrypDB rel. 52, 2021-MAY-20",24,Genomes,ldonBHU1220_primary_genome_RSRC,DS_3e8708e5a8,<i>Leishmania donovani</i> strain BHU 1220<br>,N/A,N/A,Neeloo Singh,Genomic Sequence of <i>Leishmania donovani</i> BHU 1220,genome,N/A,
Transcriptomes of T. brucei culture-derived slender/stumpy bloodstream  and early/late procyclic forms,11/16/2018,Apollo,Isabel Roditi,"Institute of Cell Biology, University of Bern, Switzerland","TriTrypDB rel. 42, 2019-MAR-07",42,RNASeq,tbruTREU927_Naguleswaran_procyclic_ebi_rnaSeq_RSRC,DS_3e90742f0a,<i>Trypanosoma brucei</i> brucei TREU927<br>,29606092,N/A,Naguleswaran et al.,"RNA-Seq analysis was performed on defined cultures of slender bloodstream forms, stumpy bloodstream forms and early and late procyclic forms.",transcript_expression,N/A,
Leishmania major RNA-Seq during human macrophage infection,5/10/2016,Apollo,Najib M. El-Sayed,University of Maryland,"TriTrypDB rel. 37, 2018-APR-25",37,RNASeq,lmajFriedlin_Fernandes_LM_Infection_ebi_rnaSeq_RSRC,DS_413ab6e464,<i>Leishmania major</i> strain Friedlin<br>,27165796,N/A,Fernandes et al.,"RNA-Seq analysis of transcriptomes of human macrophage and parasite during an infection time course. Human 
           macrophages were infected with <I>Leishmania major</I> and <I>Leishmania amazonensis</I>",transcript_expression,N/A,
PCF and BSF Surface Proteomics,5/11/2015,Apollo,Kent Hill,University of California Los Angeles,"TriTrypDB rel. 36, 2018-FEB-19",36,Protein expression,tbruTREU927_quantitativeMassSpec_BSF_PCF_Surface_Proteomics_RSRC,DS_41f3775146,<i>Trypanosoma brucei</i> brucei TREU927<br>,25963835,N/A,Shimogawa et al.,T. brucei proteomics of the cell surface from both PCF and BSF stages,protein_expression,N/A,
Intracellular Amastigotes (MNYC/BZ/62/M379),2009-07,Apollo,Toni Aebischer,"The University of Edinburgh, Edinburgh, UK","TriTrypDB rel. 1.0, 01-JAN-05",0,Protein expression,lmexMHOMGT2001U1103_massSpec_Aebischer_GelFree_RSRC,DS_4205104666,<i>Leishmania mexicana</i> MHOM/GT/2001/U1103<br>,19900490,N/A,Paape et al.,Proteomic analysis of intracellular <i>Leishmania mexicana</i>.,protein_expression,N/A,
Post-translationally modified proteins during differentiation,12/15/2008,Apollo,Dan Zilberstein,McGill University,"TriTrypDB rel. 1.0, 01-JAN-05",0,Protein expression,linfJPCM5_massSpec_Zilberstein_PTM_RSRC,DS_4267d06b0d,<i>Leishmania infantum</i> JPCM5<br>,18398879,N/A,Rosenzweig et al.,"Proteomes of post-translationally modified proteins (glycosylated, acetylated, methylated and phosphorylated) from <i>L. infantum</i> promastigotes, amastigotes and differentiating promastigotes.",protein_expression,N/A,
<i>Trypanosoma cruzi</i> strain S162a Genome Sequence,9/24/2018,N/A,Daniella Bartholomeu,"Universidade Federal de Minas Gerais, Belo Horizonte, Brazil","TriTrypDB rel. 52, 2021-MAY-20",52,Genomes,tcruS162a_primary_genome_RSRC,DS_42fa3df153,<i>Trypanosoma cruzi</i> strain S162a<br>,30424726,N/A,Daniella Bartholomeu,Genome Sequence for <i>Trypanosoma cruzi</i> strain S162a,genome,N/A,
<i>Trypanosoma cruzi</i> strain 231 Genome Sequence,1/23/2018,N/A,Rodrigo de Paula Baptista,"Center for Tropical and Emerging Global Diseases, The University of Georgia","TriTrypDB rel. 52, 2021-MAY-20",43,Genomes,tcru231_primary_genome_RSRC,DS_4405580551,<i>Trypanosoma cruzi</i> strain 231<br>,"26141959, 29442617",N/A,Rodrigo de Paula Baptista,Genomic Sequence of <i>Trypanosoma cruzi</i> strain 231.,genome,N/A,
<i>Trypanosoma cruzi</i> Sylvio X10/1-2012 Genome Sequence and Annotation,10/2/2012,N/A,Bjorn Andersson,"Department of Cell and Molecular Biology, Karolinska Institute","TriTrypDB rel. 52, 2021-MAY-20",36,Genomes,tcruSylvioX10-1-2012_primary_genome_RSRC,DS_45e8b704c2,<i>Trypanosoma cruzi</i> Sylvio X10/1-2012<br>,"21408126, 23035642",N/A,Bjorn Andersson,<i>Trypanosoma cruzi</i> Sylvio X10/1-2012 Sequence and Annotation,genome,10876,
<i>Trypanosoma congolense</i> IL3000 2019 Genome Sequence and Annotation,9/10/2019,N/A,Alistair Darby,N/A,"TriTrypDB rel. 52, 2021-MAY-20",46,Genomes,tconIL3000_2019_primary_genome_RSRC,DS_45f8906ea2,<i>Trypanosoma congolense</i> IL3000 2019<br>,30165630,Please consult with the Principal Investigator before undertaking large scale analyses of this unpublished sequence or annotation.,Alistair Darby,Genome sequence and annotation for <I>Trypanosoma congolense</I> IL3000 2019 genome sequence and annotation.,genome,10315,
CHORI105 BAC End sequence,12/4/2008,Apollo,Seattle BioMed,N/A,"TriTrypDB rel. 1.0, 01-JAN-05",0,"Sequence sites, features and motifs",tcruCLBrenerEsmeraldo-like_CHORI105_BACEnds_clonedInsertEnds_RSRC,DS_465187919c,<i>Trypanosoma cruzi</i> CL Brener Esmeraldo-like<br>,N/A,N/A,Seattle BioMed,<i>T. cruzi</i>  BAC end-sequences from library CHORI-105,aligned_sequence,N/A,
<i>Trypanosoma cruzi</i> strain Esmeraldo Genome Sequence,1/2/2013,N/A,Gregory A. Buck,"Center for the Study of Biological Complexity, Virginia Commonwealth University","TriTrypDB rel. 52, 2021-MAY-20",0,Genomes,tcruEsmeraldo_primary_genome_RSRC,DS_467358987e,<i>Trypanosoma cruzi</i> strain Esmeraldo<br>,N/A,Please consult with the Principal Investigator before undertaking large scale analyses of this unpublished sequence or annotation.,Gregory A. Buck,Genome sequence for <i>Trypanosoma cruzi</i> Esmeraldo strain cl3,genome,N/A,
Intact flagellar proteome of procyclic form (Tb427),4/16/2014,Apollo,Philippe Bastin,Pasteur Institute and CNRS,"TriTrypDB rel. 26, 2015-OCT-10",26,Protein expression,tbruTREU927_massSpec_Bastin_detached_intact_flagellum_RSRC,DS_469b7f7677,<i>Trypanosoma brucei</i> brucei TREU927<br>,24741115,N/A,Subota et al.,"Proteome of detached intact flagella from <i>Trypanosoma brucei</i> Lister 427 procyclic form parasites.
                       Peptides are aligned to <i>T. brucei</i> TREU 927.",protein_expression,N/A,
<i>Leishmania turanica</i> strain LEM423 Genome Sequence and Annotation,12/16/2014,Apollo,Stephen M. Beverley,Washington University in St. Louis,"TriTrypDB rel. 7.0, 2014-FEB-03",20,Genomes,lturLEM423_primary_genome_RSRC,DS_48d8c751fb,<i>Leishmania turanica</i> strain LEM423<br>,34472979,N/A,Stephen M. Beverley,Genome Sequence and Annotation for <i>Leishmania turanica</i> strain LEM423,genome,8717,
<i>Trypanosoma cruzi</i> Tula cl2 Genome Sequence,6/26/2013,N/A,Stephen M. Beverley,Washington University in St. Louis,"TriTrypDB rel. 7.0, 2014-FEB-03",20,Genomes,tcruTulacl2_primary_genome_RSRC,DS_4900730c76,<i>Trypanosoma cruzi</i> Tula cl2<br>,21029792,Please consult with the Principal Investigator before undertaking large scale analyses of this unpublished sequence or annotation.,Stephen M. Beverley,Genome Sequence of <i>Trypanosoma cruzi</i> Tula cl2,genome,N/A,
Genomic diversity in Leishmania donovani in Indian subcontinent,5/22/2015,Apollo,Jean-Claude Dujardin,Institute of Tropical Medicine Antwerp,"TriTrypDB rel. 43, 2019-APR-25",43,Genetic variation,ldonBPK282A1_HTS_SNP_Imamura_Indian_Subcontinent_RSRC,DS_4a9649ea09,<i>Leishmania donovani</i> BPK282A1<br>,27003289,N/A,Imamura et al.,Whole genome sequences from clinical isolates were used to track the evolution and epidemiology of <i>L. donovani</i> from the Indian subcontinent.,isolates,N/A,
<i>Trypanosoma cruzi</i> strain Ycl6 Genome Sequence,9/24/2018,N/A,Daniella Bartholomeu,"Universidade Federal de Minas Gerais, Belo Horizonte, Brazil","TriTrypDB rel. 52, 2021-MAY-20",52,Genomes,tcruYcl6_primary_genome_RSRC,DS_4b06725810,<i>Trypanosoma cruzi</i> strain Ycl6<br>,30424726,N/A,Daniella Bartholomeu,Genome Sequence for <i>Trypanosoma cruzi</i> strain Ycl6,genome,N/A,
<i>Trypanosoma theileri</i> isolate Edinburgh Genome Sequence and Annotation,4/12/2017,Apollo,Keith R. Matthews,University of Edinburgh,"TriTrypDB rel. 52, 2021-MAY-20",36,Genomes,ttheEdinburgh_primary_genome_RSRC,DS_4bee622e2b,<i>Trypanosoma theileri</i> isolate Edinburgh<br>,"22046137, 28903536",N/A,Keith R. Matthews,Genome Sequence and Annotation of <i>Trypanosoma theileri</i> isolate Edinburgh,genome,11312,
<i>Trypanosoma cruzi</i> Dm28c 2017 Genome Sequence and Annotation,9/15/2017,N/A,Christian Probst,Instituto Carlos Chagas - ICC/Fiocruz-PR,"TriTrypDB rel. 60, 2022-NOV-09",36,Genomes,tcruDm28c2017_primary_genome_RSRC,DS_4c287690ee,<i>Trypanosoma cruzi</i> Dm28c 2017<br>,N/A,N/A,Christian Probst,Genome Sequence and Annotation of <i>Trypanosoma cruzi</i> Dm28c 2017,genome,22870,
Aligned genomic sequence reads - strains Cl3 and JRc14,3/15/2011,N/A,Wes Warren,McDonnell Genome Institute at Washington University School of Medicine,"TriTrypDB rel. 1.0, 01-JAN-05",0,Genetic variation,tcruCLBrenerNon-Esmeraldo-like_HTS_SNP_WhitePaperNGS_RSRC,DS_4cb8e12fb2,<i>Trypanosoma cruzi</i> CL Brener Non-Esmeraldo-like<br>,N/A,N/A,Wes Warren,High throughput sequencing SNP calls for strains Cl3 and JRc14 aligned to the <i>T. cruzi</i> CL Brener Non-Esmeraldo-like reference,isolates,N/A,
Enzyme Nomenclature Database,3/15/2021,N/A,ENZYME,Swiss Institute of Bioinformatics,"TriTrypDB rel. 1.0, 01-JAN-05",0,Function,enzymeDB_RSRC,DS_4d5814c3f2,<br>,10592255,N/A,ENZYME,EC Numbers from ENZYME,function,N/A,
<i>Leishmania sp. Ghana</i> MHOM/GH/2012/GH5 Genome Sequence and Annotation,4/15/2021,Apollo,Derek Gatherer,"Lancaster University, Lancaster, United Kingdom","TriTrypDB rel. 55, 2021-DEC-02",55,Genomes,lsp.GhanaMHOMGH2012GH5_primary_genome_RSRC,DS_4d9b1e1fc0,<i>Leishmania sp.</i> Ghana MHOM/GH/2012/GH5<br>,"34489462, 34591664",N/A,Derek Gatherer,Genome Sequence and Annotation of <i>Leishmania sp.</i> Ghana MHOM/GH/2012/GH5,genome,8119,
<i>Leishmania martiniquensis</i> LEM2494 Genome Sequence and Annotation,12/16/2014,Apollo,Stephen M. Beverley,Washington University in St. Louis,"TriTrypDB rel. 6.0, 2013-SEP-25",19,Genomes,lspMARLEM2494_primary_genome_RSRC,DS_4daa3271ce,<i>Leishmania martiniquensis</i> LEM2494<br>,"24626346, 34472979",N/A,Stephen M. Beverley,<i>Leishmania martiniquensis</i> LEM2494 Genome sequence and annotation,genome,8581,
"Contractile Vacuole Proteome, epimatigote (CL Brener)",N/A,Apollo,Roberto Docampo,University of Georgia,"TriTrypDB rel. 25, 2015-JUL-23",25,Protein expression,_massSpec_Docampo_Contractile_Vacuole_Proteome_RSRC,DS_4f24988770,<i>Trypanosoma cruzi</i> CL Brener Esmeraldo-like<br><i>Trypanosoma cruzi</i> CL Brener Non-Esmeraldo-like<br><i>Trypanosoma cruzi</i> strain CL Brener<br>,21437209,N/A,Ulrich et al.,"Proteomic analysis of a <i>T. cruzi</i> CL Brener fraction enriched for contractile vacuoles 
               and analyzed by one-dimensional gel electrophoresis and LC-MS/MS",protein_expression,N/A,
<i>Trypanosoma cruzi</i> strain S44a Genome Sequence,9/24/2018,N/A,Daniella Bartholomeu,"Universidade Federal de Minas Gerais, Belo Horizonte, Brazil","TriTrypDB rel. 52, 2021-MAY-20",52,Genomes,tcruS44a_primary_genome_RSRC,DS_535211097a,<i>Trypanosoma cruzi</i> strain S44a<br>,30424726,N/A,Daniella Bartholomeu,Genome Sequence for <i>Trypanosoma cruzi</i> strain S44a,genome,N/A,
Comparative Genomic Hybridizations of 33 strains,1,Apollo,Rick Tarleton,University of Georgia,"TriTrypDB rel. 1.0, 01-JAN-05",0,Array Probes,tcruCLBrenerEsmeraldo-like_cghArrayPlatform_GPL10781_RSRC,DS_53596bf030,<i>Trypanosoma cruzi</i> CL Brener Esmeraldo-like<br>,21385342,N/A,Mining et al.,Comparative genomic hybridizations of 33 <i>T. cruzi</i> strains using CL-Brener as reference,microarray_platform,N/A,
Cosmid End Sequence,8/13/2002,Apollo,Pathogen Sequencing Unit,Wellcome Sanger Institute,"TriTrypDB rel. 1.0, 01-JAN-05",0,"Sequence sites, features and motifs",lmajFriedlin_sanger_CosmidEnds_clonedInsertEnds_RSRC,DS_5394099758,<i>Leishmania major</i> strain Friedlin<br>,N/A,N/A,Pathogen Sequencing Unit,<i>L. major</i> Friedlin cosmid end-sequences,aligned_sequence,N/A,
<i>Leishmania infantum</i> JPCM5 Genome Sequence and Annotation,7/13/2018,Apollo,Begoña Aguado,"Centro de Biologia Molecular Severo Ochoa (CSIC-UAM), Universidad Autonoma de Madrid, Spain","TriTrypDB rel. 52, 2021-MAY-20",0,Genomes,linfJPCM5_primary_genome_RSRC,DS_54c31cddc4,<i>Leishmania infantum</i> JPCM5<br>,29273719,N/A,Begoña Aguado,Genome sequence and annotation for <i>Leishmania infantum</i> JPCM5 (MCAN/ES/98/LLM-724),genome,8748,
<i>Leishmania major</i> strain LV39c5 Genome Sequence and Annotation,1/16/2015,N/A,Stephen M. Beverley,Washington University in St. Louis,"TriTrypDB rel. 52, 2021-MAY-20",0,Genomes,lmajLV39c5_primary_genome_RSRC,DS_57202b4a78,<i>Leishmania major</i> strain LV39c5<br>,34472979,Please consult with the Principal Investigator before undertaking large scale analyses of this unpublished sequence or annotation.,Stephen M. Beverley,<i>Leishmania major</i> LV39c5 Genome Sequence and Annotation,genome,9101,
Proteome of Procyclic vs Bloodstream forms by SILAC,2013-02-14_gus4,Apollo,Christian Janzen,Julius-Maximilians-University in Wuerzburg,"TriTrypDB rel. 7.0, 2014-FEB-03",20,Protein expression,tbruTREU927_quantitativeMassSpec_Butter_Two_Stages_RSRC,DS_57b29513ae,<i>Trypanosoma brucei</i> brucei TREU927<br>,23090971,N/A,Butter et al.,"Quantitative proteomic analysis comparing procyclic to bloodstream form <i>T. brucei</i> MiTat 1.4 cells in a SILAC label-switch
    experiment.",protein_expression,N/A,
Transcript alignment from 2013 annotation,7/15/2013,Apollo,Fernando Real,"Universidade Federal de Sao Paulo, Brazil","TriTrypDB rel. 42, 2019-MAR-07",42,"Sequence sites, features and motifs",lamaMHOMBR71973M2269_cds_oldAnnotation_transcript_sequences_RSRC,DS_57dce6867c,<i>Leishmania amazonensis</i> MHOM/BR/71973/M2269<br>,N/A,N/A,Fernando Real,CDS for L.amazonensis 71973M2269 from 2013 annotation,aligned_sequence,N/A,
<i>Leishmania martiniquensis</i> MHOM/TH/2012/LSCM1 Genome Sequence and Annotation,4/15/2021,N/A,Derek Gatherer,"Lancaster University, Lancaster, United Kingdom","TriTrypDB rel. 55, 2021-DEC-02",55,Genomes,lmarMHOMTH2012LSCM1_primary_genome_RSRC,DS_58c11fbcfe,<i>Leishmania martiniquensis</i> MHOM/TH/2012/LSCM1<br>,"34137631, 34489462",N/A,Derek Gatherer,Genome Sequence and Annotation of <i>Leishmania martiniquensis</i> MHOM/TH/2012/LSCM1,genome,7967,
<i>Trypanosoma cruzi</i> Dm28c 2018 Genome Sequence and Annotation,5/30/2018,N/A,Carlos Robello,"Institut Pasteur de Montevideo, Montevideo, Uruguay","TriTrypDB rel. 52, 2021-MAY-20",42,Genomes,tcruDm28c2018_primary_genome_RSRC,DS_59b1d9cd42,<i>Trypanosoma cruzi</i> Dm28c 2018<br>,"29708484, 3074237",N/A,Carlos Robello,Genome sequence and annotation for <i>Trypanosoma cruzi</i> Dm28c sequenced with PacBio Single Molecule Real-Time technology.,genome,19112,
Aligned genomic sequence reads - strain M2904,6/9/2010,Apollo,Jeremy Mottram,"University of Glasgow, UK","TriTrypDB rel. 1.0, 01-JAN-05",0,Genetic variation,lbraMHOMBR75M2904_HTS_SNP_Mottram_Multiple_HTS_SNPs_RSRC,DS_5b592b4487,<i>Leishmania braziliensis</i> MHOM/BR/75/M2904<br>,22038252,N/A,Jeremy Mottram,"Whole genome resequencing data from <i>Leishmania braziliensis </i> strain M2904 were used to call SNPs 
       and determine CNV at the gene and chromosome level.",isolates,N/A,
Transcriptome of total- and polyA RNA fraction (LpyrH10),2014-07-25_gus4,Apollo,Julius Lukes,"Institute of Parasitology, Biology Centre, Czech Academy of Sciences","TriTrypDB rel. 25, 2015-JUL-23",25,RNASeq,lpyrH10_Flegontov_Transcriptome_rnaSeq_RSRC,DS_5c894adf54,<i>Leptomonas pyrrhocoris</i> H10<br>,N/A,N/A,Julius Lukes,Illumina RNA-Seq of total and polyA fractions from <i>Leptomonas pyrrhocoris</i> H10,transcript_expression,N/A,
"RNA pol II, H2A.Z and H3 genome-wide distribution",7/12/2017,Apollo,Nicolai Siegel,Ludwig-Maximilians-Universität München,"TriTrypDB rel. 38, 2018-JUL-05",38,CHIP Seq,tbruTREU927_Wedel-polIIandhistone_chipSeq_RSRC,DS_5df257adeb,<i>Trypanosoma brucei</i> brucei TREU927<br>,28701485,N/A,Wedel et al.,"Genome-wide distribution of RNA pol II, H2A.Z and H3 based on ChIP-seq against endogenously tagged RPB9 (RNA pol II subunit), MNase-ChIP-seq using a custom-made antibodies against H2A.Z and H3.",transcript_expression,N/A,
<i>Leishmania sp. Namibia</i> MPRO/NA/1975/252/LV425 Genome Sequence and Annotation,4/15/2021,Apollo,Derek Gatherer,"Lancaster University, Lancaster, United Kingdom","TriTrypDB rel. 55, 2021-DEC-02",55,Genomes,lsp.NamibiaMPRONA1975252LV425_primary_genome_RSRC,DS_5e9a00dfd3,<i>Leishmania sp.</i> Namibia MPRO/NA/1975/252/LV425<br>,34489462,N/A,Derek Gatherer,Genome Sequence and Annotation of <i>Leishmania sp.</i> Namibia MPRO/NA/1975/252/LV425,genome,8266,
