"Data Set","Data Set Version","Apollo","Contact","Contact institution","Release # and date","Build Number Introduced","Category","Data Set Name","dataset_id","Organism(s) (source or reference)","Publications","Release Policy","Short Attribution","Summary","Type","Genes"
"Transcriptional landscape of Cryptococcus-host response","2016-06-28","N/A","Chen Ding","College of Life and Health Sciences, Northeastern University, Shenyang, China","HostDB rel. 49, 2020-NOV-05","49","RNASeq","mmusC57BL6J_Li_Cryptococcus_Response_ebi_rnaSeq_RSRC","DS_a28e7f6c83","<i>Mus musculus</i> C57BL6J<br>","31329596","N/A","Li et al. 2019","Animal infection model using the non-human primate cynomolgus monkey <i>Macaca fascicularis</i> and <i>Mus musculus</i> to study host response to <Cryptococcus neoformans</i> infection.","transcript_expression","N/A"
"The GenBank Non-Redundant Protein Sequence Database (NRDB)","2021-03-12","N/A","NRDB","NCBI","HostDB rel. 1.0, 01-JAN-05","0","Genomes and Annotation","NRDB_RSRC","DS_a7163a9f0d","<br>","N/A","N/A","NRDB","The GenBank non-redundant protein sequence database (NRDB) is a component of the NCBI BLAST databases 
         and contains entries from GenPept, Swissprot, PIR, PDF, PDB and NCBI RefSeq.","external_sequences","N/A"
"OrthoMCL Ortholog Groups","6r21","N/A","David S. Roos","Department of Biology, University of Pennsylvania","HostDB rel. 1.0, 01-JAN-05","0","Orthology and synteny","OrthoMCL_RSRC","DS_a8f4849fb9","<br>","12952885, 16381887","N/A","David S. Roos","Ortholog group assignments as predicted by OrthoMCL","orthology","N/A"
"Transcriptomic response of human alveolar epithelial cells exposed to Scedosporium aurantiacum conidia","2019-03-22","N/A","Helena Nevalainen","Department of Molecular Sciences, Macquarie University, Sydney, Australia","HostDB rel. 67, 2024-FEB-21","67","RNASeq","hsapREF_Kaur_Sa_2019_ebi_rnaSeq_RSRC","DS_ab8974458b","<i>Homo sapiens</i> REF<br>","30903006","N/A","Kaur et al. 2019","Transcriptomic response of human alveolar epithelial cells exposed to Scedosporium aurantiacum conidia.","transcript_expression","N/A"
"Host transcriptome in response to Rhizopus oryzae","2021-05-18","N/A","Frank L. van de Veerdonk","Department of Internal Medicine, Radboud University Medical Center","HostDB rel. 68, 2024-MAY-07","68","RNASeq","hsapREF_Dewi_Roryzae_2021_ebi_rnaSeq_RSRC","DS_abeab0974c","<i>Homo sapiens</i> REF<br>","33510868, 34095887","N/A","Dewi et al. 2021","RNA sequencing profiles of human PBMCs stimulated for 4h and 24h with Rhizopus oryzae.","transcript_expression","N/A"
"Babesia infection in dog","2021-08-16","N/A","Hans Ackerman","Laboratory of Malaria and Vector Research, National Institute of Allergy and Infectious Disease, National Institutes of Health","HostDB rel. 59, 2022-AUG-30","59","RNASeq","clupfamiliarisSID07034_clupSID07034_infected_with_Babesia_RNASeq_RSRC_ebi_rnaSeq_RSRC","DS_ac180a1f35","<i>Canis lupus</i> familiaris isolate SID07034<br>","34399690","N/A","Smith et al. 2021","Canine tanscriptome during a controlled infection with Babesia rossi at low or high innoculum.  RNA seq was performed on whole blood drawn at 0, 1, 3, 4, 6, and 8 days post-infection.","transcript_expression","N/A"
"Mouse transcriptome during E falciformis infection","2017-09-05","N/A","Emanuel Heitlinger","Department of Molecular Parasitology, Humboldt University","HostDB rel. 59, 2022-AUG-30","59","RNASeq","mmusC57BL6J_Mmusculus_Efalciformis_dualRNAseq_ebi_rnaSeq_RSRC","DS_ac420074bd","<i>Mus musculus</i> C57BL6J<br>","28870168","N/A","Ehret et al.","Dual RNA sequencing of mice infected with <i>Eimeria falciformis</i>. RNA isolated from ceca from 3 to 4 sacrificed mice per time-point was sequenced and reads were aligned to <i>Mus musculus</i> C57BL6J.","transcript_expression","N/A"
"<i>Macaca mulatta</i> isolate AG07107 Genome Sequence and Annotation","Mmul_10","N/A","GenBank","NCBI","HostDB rel. 52, 2021-MAY-20","52","Genomes","mmulAG07107_primary_genome_RSRC","DS_ad28348907","<i>Macaca mulatta</i> isolate AG07107<br>","15379855, 22367542","N/A","GenBank","Genome Sequence and Annotation of <i>Macaca mulatta</i> isolate AG07107","genome","35432"
"<i>Mus musculus</i> C57BL6J Genome Sequence and Annotation","GRCm38.p6","N/A","GENCODE","EMBL-EBI and Wellcome Sanger Institute","HostDB rel. 52, 2021-MAY-20","19","Genomes","mmusC57BL6J_primary_genome_RSRC","DS_b146c9913b","<i>Mus musculus</i> C57BL6J<br>","12466850, 19468303","N/A","GENCODE","Genome sequence and annotation for <i>Mus musculus</i> C57BL/6J","genome","55487"
"RNA-seq analysis of an in vivo murine model of vulvovaginal candidiasis","2015-04-21","N/A","Vincent M. Bruno","Institute for Genome Sciences, University of Maryland School of Medicine","HostDB rel. 63, 2023-MAY-03","63","RNASeq","mmusC57BL6J_Bruno_mmusC57BL6J_2015_ebi_rnaSeq_RSRC","DS_b1c6a9a8ee","<i>Mus musculus</i> C57BL6J<br>","25900651","N/A","Bruno et al. 2015","Murine vaginas were infected with Candida albicans and harvested for RNA-seq analysis 3 days post-infection","transcript_expression","N/A"
"Mouse transcriptome during infection with 29 strains of T. gondii","1.0_gus4","N/A","Jeroen Saeij","Department of Biology, Massachusetts Institute of Technology","HostDB rel. 1.1, 2013-SEP-25","19","RNASeq","mmusC57BL6J_Saeij_Jeroen_strains_rnaSeq_RSRC","DS_b8755b3393","<i>Mus musculus</i> C57BL6J<br>","22847430","N/A","Minot et al.","Comparative transcriptome analysis of 29 different strains of <i>Toxoplasma gondii</i> 
                and the murine macrophages infected with them (HostDB).","transcript_expression","N/A"
"Macrophage responses to Candida infection","2021-12-21","N/A","Michael C. Lorenz","Department of Microbiology & Molecular Genetics, University of Texas Health Science Center at Houston","HostDB rel. 61, 2022-DEC-15","61","RNASeq","mmusC57BL6J_Candidaspp_Mm_Pountain_2021_ebi_rnaSeq_RSRC","DS_bb408106c2","<i>Mus musculus</i> C57BL6J<br>","34903044","N/A","Pountain et al. 2021","Transcriptional responses during macrophage phagocytosis of <i>Candida albicans</i> SC5314, <i>Candida dubliniensis</i> CD36, <i>Candida parapsilosis</i> CDC317, <i>Candida tropicalis</i> MYA-3404, <i>Clavispora lusitaniae</i> ATCC 6260, and <i>Lodderomyces elongisporus</i> ATCC 42720.","transcript_expression","N/A"
"Human ubiquitome during infection with 4 stages of Plasmodium","2020-06-22","N/A","Tony Holder","The Francis Crick Institute","HostDB rel. 55, 2021-DEC-02","55","Protein expression","hsapREF_massSpec_Green_Human_Infection_RSRC","DS_bc5b0b299e","<i>Homo sapiens</i> REF<br>","32569299","N/A","Green et al. 2020","<i>Homo sapiens</i> ubiquitome during infection with <i>Plasmodium falciparum</i>'s four life stages: rings, schizonts, merozoites and trophozoites.","protein_expression","N/A"
"Early RNA sequencing of human monocytes in presence of Candida albicans","2020-05-11","N/A","Christine Skerka","Leibniz Institute for Natural Product Research and Infection Biology, Germany","HostDB rel. 49, 2020-NOV-05","49","RNASeq","hsapREF_Halder_Human_Mono_ebi_rnaSeq_RSRC","DS_bd70adf138","<i>Homo sapiens</i> REF<br>","32393780","N/A","Halder et al. 2020","RNA sequencing was prerformed from <i>Candida albicans</i> co-incubated monoyctes from 3 different donors.","transcript_expression","N/A"
"Immune Epitope Database (IEDB)","N/A","N/A","IEDB","La Jolla Institute for Allergy and Immunology, Center For Infectious Disease, Allergy and Asthma Research","HostDB rel. 1.0, 01-JAN-05","0","Immunology","_IEDB(.*)RSRC$","DS_c3d9ec667a","<i>Canis lupus</i> familiaris isolate SID07034<br><i>Cavia porcellus</i> 2N<br><i>Gallus gallus</i> isolate bGalGal1<br><i>Macaca fascicularis</i> REF<br><i>Macaca mulatta</i> isolate AG07107<br><i>Myotis myotis</i> mMyoMyo1<br><i>Rattus norvegicus</i> BN/NHsdMcwi<br>","19906713, 22610854","N/A","IEDB","IEDB epitopes.","epitope","N/A"
"<i>Rattus norvegicus</i> BN/NHsdMcwi Genome Sequence and Annotation","mRatBN7.2","N/A","Ensembl","EMBL-EBI and Wellcome Sanger Institute","HostDB rel. 57, 2022-APR-21","57","Genomes","rnorBNNHsdMcwi_primary_genome_RSRC","DS_c6618229b1","<i>Rattus norvegicus</i> BN/NHsdMcwi<br>","N/A","N/A","Ensembl","Genome Sequence and Annotation of <i>Rattus norvegicus</i> BN/NHsdMcwi","genome","30560"
"<i>Canis lupus</i> familiaris isolate SID07034 Genome Sequence and Annotation","ROS_Cfam_1.0","N/A","Ensembl","EMBL-EBI and Wellcome Sanger Institute","HostDB rel. 57, 2022-APR-21","57","Genomes","clupfamiliarisSID07034_primary_genome_RSRC","DS_cc6d31b7c6","<i>Canis lupus</i> familiaris isolate SID07034<br>","N/A","N/A","Ensembl","Genome Sequence and Annotation of <i>Canis lupus</i> familiaris isolate SID07034. From a male Labrador retriever.","genome","31121"
"Fresh whole blood infected with Candida tropicalis","2018-10-02","N/A","Patricia Sieber","Department of Bioinformatics, Faculty of Biological Sciences, Friedrich Schiller University, Jena, Germany","HostDB rel. 49, 2020-NOV-05","49","RNASeq","hsapREF_Kaemmer_Infected_Blood_ebi_rnaSeq_RSRC","DS_d02be049d4","<i>Homo sapiens</i> REF<br>","30333805","N/A","Sieber et al. 2019","<i>Homo sapiens</i> fresh whole blood was infected with <i>Candida tropicalis</i>.","transcript_expression","N/A"
"Transcriptional landscape of Cryptococcus-host response","2019-06-22","N/A","Chen Ding","College of Life and Health Sciences, Northeastern University, Shenyang, China","HostDB rel. 52, 2021-MAY-20","52","RNASeq","mfasREF_Li_Cryptococcus_Host_Response_ebi_rnaSeq_RSRC","DS_d1fb08f3c2","<i>Macaca fascicularis</i> REF<br>","31329596","N/A","Li et al. 2019","Animal infection model using the non-human primate cynomolgus monkey <i>Macaca fascicularis</i> and <i>Mus musculus</i> to study host response to <Cryptococcus neoformans</i> infection.","transcript_expression","N/A"
"<i>Myotis myotis</i> mMyoMyo1 Genome Sequence and Annotation","2020-09-30","N/A","Emma C. Teeling","School of Biology and Environmental Science, University College Dublin, Dublin, Ireland","HostDB rel. 67, 2024-FEB-21","67","Genomes","mmyomMyoMyo1_primary_genome_RSRC","DS_d3d05e52d1","<i>Myotis myotis</i> mMyoMyo1<br>","26713722, 32699395","N/A","Emma C. Teeling","Genome Sequence and Annotation of <i>Myotis myotis</i> mMyoMyo1","genome","30786"
"KEGG Metabolic Pathways","2022.10","N/A","KEGG","KEGG","HostDB rel. 1.0, 01-JAN-05","0","KEGG Metabolic Pathways","Pathways_KEGG_RSRC","DS_d7d1b2b1ce","<br>","N/A","N/A","KEGG","Metabolic Pathway records from KEGG","pathway","N/A"
"H sapiens Transcriptome during Infection with T cruzi","2016-04-05","N/A","Yuan Li","Department of Cell Biology and Molecular Genetics, University of Maryland","HostDB rel. 34, 2017-SEP-07","34","RNASeq","hsapREF_Li_Transcriptome_Remodeling_ebi_rnaSeq_RSRC","DS_d8246ca26a","<i>Homo sapiens</i> REF<br>","27046031","N/A","Li et al.","Transcriptome of human foreskin fibroblasts during infection (time course) with <i>T. cruzi</i> Y strain.","transcript_expression","N/A"
"Fresh whole blood infected with Candida glabrata","2018-10-02","N/A","Patricia Sieber","Department of Bioinformatics, Faculty of Biological Sciences, Friedrich Schiller University, Jena, Germany","HostDB rel. 49, 2020-NOV-05","49","RNASeq","hsapREF_Kaemmer_Blood_Glabrata_ebi_rnaSeq_RSRC","DS_d8e141f852","<i>Homo sapiens</i> REF<br>","30333805","N/A","Sieber et al. 2019","<i>Homo sapiens</i> fresh whole blood was infected with <i>Candida glabrata</i>.","transcript_expression","N/A"
"AlphaFold Predictions","AlphaFold-release4","N/A","AlphaFold","EMBL-EBI","HostDB rel. 60, 2022-NOV-09","60","Protein Structure","alphaFold_RSRC","DS_dc1c8cb24c","<br>","34265844, 34791371","N/A","AlphaFold","AlphaFold is an artificial intelligence created by DeepMind that predicts protein structure from amino acid sequences. AlphaFold has worked with EMBL-EBI to create a publicly available database of structural predictions.","function","N/A"
"IFN-gamma independent host response to intestinal C. parvum infection","2021-04-29","N/A","Laura J. Knoll","Medical Microbiology and Immunology, Unviersity of Wisconsin-Madison","HostDB rel. 57, 2022-APR-21","57","RNASeq","mmusC57BL6J_mmusC57BL6J_IFNgama_independent_RNASeq_RSRC_ebi_rnaSeq_RSRC","DS_df4a73d145","<i>Mus musculus</i> C57BL6J<br>","34928716","N/A","Mendoza Cavazos et al 2022","Transcriptome of the ileum and cecum of mice infected with <i>Cryptosporidium parvum</i> during treatment with STAg.  Infection and treatment controls included.","transcript_expression","N/A"
"Mouse macrophages infected with Mucor circinelloides","2019-02-05","N/A","Francisco E Nicolás","Departamento de Genética y Microbiología, Universidad de Murcia, Spain","HostDB rel. 49, 2020-NOV-05","49","RNASeq","mmusC57BL6J_Perez_Mucor_Macrophage_ebi_rnaSeq_RSRC","DS_e14effbf53","<i>Mus musculus</i> C57BL6J<br>","30723131","N/A","Perez-Arques et al. 2019","Transcriptomics changes occuring in the host upon the interaction of <i>Mucor circinelloides</i> spores with phagocytic cells of a mouse.","transcript_expression","N/A"
"<i>Bos taurus</i> breed Hereford Genome Sequence and Annotation","ARS-UCD1.2","N/A","GenBank","NCBI","HostDB rel. 52, 2021-MAY-20","42","Genomes","btauHereford_primary_genome_RSRC","DS_f14fc7e764","<i>Bos taurus</i> breed Hereford<br>","19393038","N/A","GenBank","Genome sequence and annotation for <i>Bos taurus</i> breed Hereford","genome","27607"
"Transcriptome of lung epithelial cells stimulated by hemozoin","2021-02-09","N/A","Shivang S Shah","Division of Infectious Diseases, Department of Pediatrics, College of Physicians and Surgeons, Columbia University","HostDB rel. 56, 2022-FEB-15","56","RNASeq","hsapREF_hsap_hemazoin_shah_RNASeq_ebi_rnaSeq_RSRC","DS_f1c4acdfd2","<i>Homo sapiens</i> REF<br>","33563839","N/A","Shah et al 2021","Transcriptome sequencing (RNA-seq) of 16HBE human bronchial epithelial cells following 24h stimulation with hemozoin in media at three different concentrations (0, 100, and 200 &#181;g/ml)","transcript_expression","N/A"
"Cis-regulatory landscape of T gondii infected human host cells","2016-03-25","N/A","John M. Greally","Albert Einstein College of Medicine","HostDB rel. 58, 2022-JUN-23","58","CHIP Seq","hsapREF_hsapREF_ATAC_Greally_RSRC_chipSeq_RSRC","DS_f3bfb4b5ed","<i>Homo sapiens</i> REF<br>","28100166","N/A","Wijetunga et al. 2017","Open chromatin cis-regulatory elements present in uninfected and <i>T. gondii</i> (Type I-RH) infected human foreskin fibroblasts. Determined by ATAC seq.","transcript_expression","N/A"
"Chicken caecal tissue during E tenella infection","2021-09-14","N/A","Eva Wattrang","Department of Microbiology, National Veterinary Institute","HostDB rel. 57, 2022-APR-21","57","RNASeq","ggalbGalGal1_GgalbGalGal1matbroilerGRCg7b_Eten_infect_caecal_RNASeq_ebi_rnaSeq_RSRC","DS_f61d8b2d63","<i>Gallus gallus</i> isolate bGalGal1<br>","34521339","N/A","Sandholt et al 2021","Transcriptome of chicken caecal tissues collected during infection <i>in vivo</i> with purified <i>E. tenella</i> sporozoites. RNA-Seq was performed on samples collected from uninfected controls as well as cultures 1, 2, 3, 4, and 10 days post-infection.","transcript_expression","N/A"
"Enteroid-derived IEC infected with Giardia","2023-05-04","N/A","Staffan Svärd","Uppsala University","HostDB rel. 67, 2024-FEB-21","67","RNASeq","hsapREF_hsapREF_enteroid_infection_giardia_RNASeq_ebi_rnaSeq_RSRC","DS_fb9324e81a","<i>Homo sapiens</i> REF<br>","37141303","N/A","Grüttner et al. 2023","Human portion of dual RNA Seq data during early stage infection (1 and 3 hr) of human enteroid-derived IEC infected with <i>Giardia intestinalis</i> trophozoites.","transcript_expression","N/A"
"Gene Ontology","2021-11-16","N/A","GO Consortium","N/A","HostDB rel. 1.0, 01-JAN-05","0","Ontology","GO_RSRC","DS_fba620f00d","<br>","10802651","N/A","GO Consortium","GO annotations from The GO Consortium","function","N/A"
"Mouse transcriptome during P. vinckei CY infection time course","2019-01-25","N/A","Arnab Pain","King Abdullah University of Science and Technology","HostDB rel. 53, 2021-JUL-21","53","RNASeq","mmusC57BL6J_Ramaprasad_PvinCY_IDC_ebi_rnaSeq_RSRC","DS_ff5305647e","<i>Mus musculus</i> C57BL6J<br>","30683099","N/A","Ramaprasad et al","Mouse transcriptome time course during infection with <i>P. vinckei</i> CY","transcript_expression","N/A"
