Data Set,Data Set Version,Contact,Contact institution,Release # and date,Build Number Introduced,Category,Data Set Name,dataset_id,Organism(s) (source or reference),Publications,Short Attribution,Summary,Type,VEuPathDB Project,Genes,,,,
<i>Aphanomyces invadans</i> NJM9701 Genome Sequence and Annotation,1/15/2014,The Broad Institute of MIT and Harvard,The Broad Institute of MIT and Harvard,"VEuPathDB rel. 51, 2021-MAR-16",23,Genomes,ainvNJM9701_primary_genome_RSRC,DS_1f2bcf851a,<i>Aphanomyces invadans</i> NJM9701<br>,N/A,The Broad Institute of MIT and Harvard,Genome sequence and annotation for <i>Aphanomyces invadans</i> NJM9701.,genome,FungiDB,15416,,,,
Oligos (Winzeler/Westenberger),2009-11,Henk Stunnenberg,"Radboud University Nijmegen, The Netherlands","EuPathDB rel. 1.0, 01-JAN-05",0,Array Probes,pfal3D7_chipChipPlatform_Affy-Winzeler-Westenberger_RSRC,DS_1f3165940a,<i>Plasmodium falciparum</i> 3D7<br>,N/A,Henk Stunnenberg,Oligos (Winzeler/Westenberger) Zoom to 20K or less to see the probe glyphs.,transcript_expression_platform,PlasmoDB,N/A,,,,
ESTs in TvFN library,8/21/2007,Petrus Tang,N/A,"VEuPathDB rel. 1.0, 2005-JAN-01",0,EST,tvagG32022_EST_TvFN_sequences_RSRC,DS_1f5e55997f,<i>Trichomonas vaginalis</i> G3 2022<br>,N/A,Petrus Tang,<i>T. vaginalis</i> G3 EST sequences,EST,TrichDB,N/A,,,,
uninfected Aedes aegypti RNA-Seq libraries,20-Jan,Robin Bromley,"University of Maryland, Baltimore","VEuPathDB rel. 47, 2020-APR-07",47,RNASeq,aaegLVP_AGWG_SRP170034_ebi_rnaSeq_RSRC,DS_1f61807b5d,<i>Aedes aegypti</i> LVP_AGWG<br>,N/A,Robin Bromley,"Raw RNA-Seq libraries of uninfected Aedes aegypti black-eyed Liverpool strain. Related to the following Brugia malayi transcriptomics BioProjects: PRJNA294263, PRJNA294264, PRJNA294265, and PRJNA294281.",transcript_expression,VectorBase,N/A,,,,
"State-wide mosquito surveillance in Iowa, USA, 1986 (New Jersey light trap)",3/10/2019,Ryan Smith,Iowa State University,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000420_RSRC,DS_1f6804d53b,<br>,"18714883, 25102595, 31036953",Ryan Smith,"Mosquito collections have been made in various locations in Iowa, USA, using New Jersey light traps. (MapVEu VBP0000420)",population_biology, ,N/A,,,,
<i>Plasmodium falciparum</i> GA01 Genome Sequence and Annotation,4/20/2018,Matt Berriman,"Wellcome Sanger Institute, Hinxton, UK","VEuPathDB rel. 51, 2021-MAR-16",41,Genomes,pfalGA01_primary_genome_RSRC,DS_1f8272dd26,<i>Plasmodium falciparum</i> GA01<br>,29862326,Matt Berriman,Genome Sequence and annotation for <i>Plasmodium falciparum</i> GA01,genome,PlasmoDB,5551,,,,
"Antennae and total head appendages (THAs; maxillary palps, antennae, and proboscises)",3/24/2013,Giles E. Duffield,University of Notre Dame,"VEuPathDB rel. 53, 2021-JUL-21",53,Protein expression,agamPEST_massSpec_Rund_Antennae_Appendages_RSRC,DS_1fb5d00aee,<i>Anopheles gambiae</i> PEST<br>,23986098,Rund et al 2013,"Mated but not blood-fed adult female 4–7 d old mosquitoes (i.e. host-seeking) were harvested on dry ice every 4 hr for 24 hr. Total head appendages (THAs; maxillary palps, antennae and proboscises) were pooled for proteomics.",protein_expression,VectorBase,N/A,,,,
<i>Toxoplasma gondii</i> p89 Genome Sequence and Annotation,8/13/2014,David Sibley,Washington University School of Medicine,"VEuPathDB rel. 49, 2020-NOV-05",0,Genomes,tgonp89_primary_genome_RSRC,DS_1fe8488ee3,<i>Toxoplasma gondii</i> p89<br>,N/A,David Sibley,Genome sequence and annotation for <i>Toxoplasma gondii</i> p89,genome,ToxoDB,9874,,,,
"larvae+pupae, males and females (sugar), and females (blood, and blood with Le. major sampled at 6, 24, and 96 hours)",4/12/2023,Mary Ann McDowell,"Eck Institute for Global Health, Department of Biological Sciences, University of Notre dame","VEuPathDB rel. 66, 2023-NOV-28",66,RNASeq,ppapM1_Labbe_phl_mealstime_2023_ebi_rnaSeq_RSRC,DS_1febdaa7f4,<i>Phlebotomus papatasi</i> M1<br>,37043542,Labbé et al 2023,"Larvae and Pupae. Adult males and females feed sugar. Adult females feed blood and blood with <i>Le. major</i> sampled at 6, 24, and 96 hours",transcript_expression,VectorBase,N/A,,,,
Aag2 cells infected with dengue virus serotype 1,20-Jan,Azali Azlan,Universiti Sains Malaysia,"VEuPathDB rel. 47, 2020-APR-07",47,RNASeq,aaegLVP_AGWG_SRP173459_ebi_rnaSeq_RSRC,DS_1ff499db41,<i>Aedes aegypti</i> LVP_AGWG<br>,N/A,Azali Azlan,To study the transcriptome of Aedes aegypti cell (Aag2) infected with dengue virus serotype 1 (Hawaiian strain),transcript_expression,VectorBase,N/A,,,,
TOM complex-associated proteins,1/4/2019,Jan Tachezy,"Department of Parasitology, Charles University in Prague","VEuPathDB rel. 64, 2023-JUL-12",64,Protein expression,tvagG3_quantitativeMassSpec_TOM_complexes_Tachezy_RSRC,DS_2012741b82,<i>Trichomonas vaginalis</i> G3<br>,30608924,Makki et al. 2019,TOM complex-associated proteins (Quantitative),protein_expression,TrichDB,N/A,,,,
"Maryland Dept. of Agriculture mosquito surveillance, Maryland, USA, 2015",5/3/2021,Stephen Panossian,Maryland Department of Agriculture Mosquito Control Section,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000761_RSRC,DS_2033d60abc,<br>,N/A,Stephen Panossian,Maryland Dept. of Agriculture weekly mosquito population surveillance performed using various traps in 2015. (MapVEu VBP0000761),population_biology, ,N/A,,,,
<i>Cystoisospora suis</i> strain Wien I Genome Sequence and Annotation,10/20/2017,Anja Joachima,University of Veterinary Medicine Vienna,"VEuPathDB rel. 49, 2020-NOV-05",36,Genomes,csuiWienI_primary_genome_RSRC,DS_203eef37dd,<i>Cystoisospora suis</i> strain Wien I<br>,28161402,Anja Joachima,Genome sequence and annotation for <i>Cystoisospora suis</i> strain Wien I,genome,ToxoDB,11543,,,,
SNP calls on WGS of Aspergillus fumigatus strains serially isolated from patients with aspergillosis,9/8/2014,Daisuke Hagiwara,"Medical Mycology Research Center (MMRC), Chiba University","VEuPathDB rel. 65, 2023-SEP-14",65,Genetic variation,afumAf293_HTS_SNP_Afum_patients_2014_RSRC,DS_204df0174b,<i>Aspergillus fumigatus</i> Af293<br>,25232160,Hagiwara et al. 2014,Whole-genome comparison of <i>Aspergillus fumigatus</i> strains serially isolated from patients with aspergillosis,isolates,FungiDB,N/A,,,,
Comparative transcriptomes of virulent and avirulent T. cruzi (Non-Esmo aligned),6/9/2017,Najib M. El-Sayed and Santuza M.R. Teixeira,University of Maryland and Universidade Federal de Minas Gerais,"VEuPathDB rel. 41, 2018-DEC-13",41,RNASeq,tcruCLBrenerNon-Esmeraldo-like_Teixeira_virulent_avirulent_ebi_rnaSeq_RSRC,DS_2059b80084,<i>Trypanosoma cruzi</i> CL Brener Non-Esmeraldo-like<br>,29240831,Belew et al. 2017,Transcriptomes of virulent and avirulent <i>T. cruzi</i> determined by RNA-Seq.,transcript_expression,TriTrypDB,N/A,,,,
Male reproductive organs,20-Jan,Richard Emes,"School of Veterinary Medicine and Sciences., University of Nottingham","VEuPathDB rel. 47, 2020-APR-07",47,RNASeq,aquaSANGWE_SRP155215_ebi_rnaSeq_RSRC,DS_205e526137,<i>Anopheles quadriannulatus</i> SANGWE<br>,30623175,Izquierdo et al 2019,Gene expression was determined for Male accessory gland and testes,transcript_expression,VectorBase,N/A,,,,
<i>Trichophyton rubrum</i> CBS 118892 Genome Sequence and Annotation,3/12/2015,Christina Cuomo,"The Broad Institute of Harvard and MIT, USA","VEuPathDB rel. 56, 2022-FEB-15",56,Genomes,trubCBS118892_primary_genome_RSRC,DS_206186a632,<i>Trichophyton rubrum</i> CBS 118892<br>,22951933,Christina Cuomo,Genome Sequence and Annotation of <i>Trichophyton rubrum</i> CBS 118892,genome,FungiDB,8713,,,,
Anopheles coluzzii Ngousso transcripts from build 54 models,bld54,Mara Lawniczak,"Wellcome Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridgeshire, UK","EuPathDB rel. 1.0, 01-JAN-05",0,"Sequence sites, features and motifs",acolNgousso_bld54Transcripts_transcript_sequences_RSRC,DS_20a6ddd760,<i>Anopheles coluzzii</i> Ngousso<br>,N/A,Mara Lawniczak,Transcripts for Anopheles coluzzii Ngousso build 54 models,aligned_sequence,VectorBase,N/A,,,,
<i>Cytauxzoon felis</i> strain Winnie Genome Sequence and Annotation,10/5/2021,David Bird,"Bioinformatics Research Center, Department of Plant Pathology, NC State University","VEuPathDB rel. 61, 2022-DEC-15",24,Genomes,cfelWinnie_primary_genome_RSRC,DS_20ac6df45b,<i>Cytauxzoon felis</i> strain Winnie<br>,23977000,David Bird,Genome sequence and annotation for <i>Cytauxzoon felis</i> Winnie,genome,PiroplasmaDB,4321,,,,
"Mosquito viral surveillance, Northwest Mosquito and Vector Control District, in California, USA, 2018",2/27/2019,Angela Caranci,Northwest Mosquito and Vector Control District,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000398_RSRC,DS_20bea2aa77,<br>,N/A,Angela Caranci,"Mosquito viral surveillance, Northwest Mosquito and Vector Control District, in California, USA, 2018. (MapVEu VBP0000398)",population_biology, ,N/A,,,,
<i>Malassezia restricta</i> KCTC 27527 Genome Sequence and Annotation,7/9/2018,Won Hee Jung,"Department of Systems Biotechnology, Chung-Ang University, Anseong, Korea","VEuPathDB rel. 51, 2021-MAR-16",46,Genomes,mresKCTC27527_primary_genome_RSRC,DS_20c3a83941,<i>Malassezia restricta</i> KCTC 27527<br>,27882618,Won Hee Jung,Genome sequence and annotation for <i>Malassezia restricta</i> KCTC 27527.,genome,FungiDB,4544,,,,
17XL predicted full length transcripts (ESTs),11/2/2006,Junichi Watanabe,"Department of Parasitology, Institute of Medical Science, University of Tokyo","EuPathDB rel. 1.0, 01-JAN-05",0,EST,pyoeyoelii17X_EST_WatanabePy17XL_PredictedTranscripts_sequences_RSRC,DS_20c45d8ed1,<i>Plasmodium yoelii</i> yoelii 17X<br>,17151081,Junichi Watanabe,<i>P. yoelii</i> 17XL predicted full length transcript sequences.,EST,PlasmoDB,N/A,,,,
"Promastigote, Axenic Amastigote and Intracellular Amastigote Transcriptomes",10/9/2015,Eva Gluenz,"Sir William Dunn School of Pathology, University of Oxford, UK","VEuPathDB rel. 32, 2017-APR-20",32,RNASeq,lmexMHOMGT2001U1103_macrophage_mouse_ebi_rnaSeq_RSRC,DS_20ca9a8d2b,<i>Leishmania mexicana</i> MHOM/GT/2001/U1103<br>,26452044,Fiebig et al.,"Illumina sequencing of poly-A selected RNA of <i>L. mexicana</i> promastigotes, axenic amastigotes and intracellular amastigotes.",transcript_expression,TriTrypDB,N/A,,,,
Tick cell line ISE6 uninfected and infected with Ehrlichia,3/14/2014,Luke Tallon,University of Maryland Institute for Genome Sciences,"VEuPathDB rel. 64, 2023-JUL-12",64,RNASeq,iscaPalLabHiFi_Tallon_Ehrlichia_2014_ebi_rnaSeq_RSRC,DS_20cfb4a364,<i>Ixodes scapularis</i> PalLabHiFi<br>,N/A,"Tallon 2014, unpublished","Transcriptome Profiles of Human Ehrlichiosis agents (Ehrlichia sp), using Ixodes scapularis ISE6 cell line (ISE6). Uninfected ISE6 samples: mRNA and total RNA. Infected ISE6 total RNA samples: West Paces, Wakulla, Saint Vincent, Osceola, Liberty, Jax, HF, Heartland, Ark.",transcript_expression,VectorBase,N/A,,,,
"Pooled male and female larvae, pupae, and adults",1/2/2015,Broad Institute,Broad Institute,"VEuPathDB rel. 67, 2024-FEB-21",67,RNASeq,asteIndian2020_SRP020546_ebi_rnaSeq_RSRC,DS_20d012ae67,<i>Anopheles stephensi</i> UCISS2018<br>,25554792,Neafsey et al 2015,"Produced from pooled male and female larvae, pupae, and adults (one An. stephensi sample).",transcript_expression,VectorBase,N/A,,,,
Midgut oocysts and salivary gland sporozoite epigenetics,1/16/2017,Elena Gomez-Diaz,Instituto de Parasitologia y Biomedicina Lopez-Neyra (IPBLN),"VEuPathDB rel. 46, 2019-NOV-06",46,CHIP Seq,pfal3D7_Corces_epigenetics_chipSeq_RSRC,DS_20d81deb91,<i>Plasmodium falciparum</i> 3D7<br>,28091569,Gomez-Diaz et al.,"ChIP-seq analyses of histone modifications, including H3K9ac, H3K27ac, H3K4me3, and H3K9me3, at the oocyst and sporozoite stages.",transcript_expression,PlasmoDB,N/A,,,,
Giardia secretome IEC infection,12/11/2017,Staffan Svärd,Uppsala University,"VEuPathDB rel. 39, 2018-AUG-30",39,Protein expression,hsapREF_massSpec_Secretome_IEC_infection_RSRC,DS_20f2f0535f,<i>Homo sapiens</i> REF<br>,29228011,Maayeh et al.,"Secretome of human intestinal epithelial cell secretome during interaction with <i>Giardia intestinalis</i> WB clone C6 (ATCC30957; assemblage A) and isolates GS, clone H7 (ATCC50581; assemblage B)",protein_expression,HostDB,N/A,,,,
Proteomic survey of the Leishmania major,12/22/2022,Stephen M. Beverley,Washington University in St. Louis,"VEuPathDB rel. 62, 2023-MAR-09",62,Protein expression,lmajFriedlin_massSpec_Polanco_Survey_Lesh_RSRC,DS_20fef0c3cb,<i>Leishmania major</i> strain Friedlin<br>,36394313,Polanco et al 2022,High coverage proteomes of <i>Leishmania major</i> Friedlin promastigotes.,protein_expression,TriTrypDB,N/A,,,,
<i>Cryptococcus neoformans</i> strain:VNII Genome Sequence and Annotation,4/7/2022,Christina Cuomo,"The Broad Institute of Harvard and MIT, USA","VEuPathDB rel. 63, 2023-MAY-03",63,Genomes,cneoVNII_primary_genome_RSRC,DS_2102098510,<i>Cryptococcus neoformans</i> strain:VNII<br>,36603033,Christina Cuomo,Genome Sequence and Annotation of <i>Cryptococcus neoformans</i> strain:VNII,genome,FungiDB,6698,,,,
Generic RNAseq,20-Jan,Chris Todd Hittinger,"Department of Biochemistry and Molecular Genetics, University of Colorado Denver Health Sciences Center.","VEuPathDB rel. 47, 2020-APR-07",47,RNASeq,aaraDongola_SRP001532_ebi_rnaSeq_RSRC,DS_21096f92b8,<i>Anopheles arabiensis</i> Dongola<br>,20080632,Hittinger et al 2010,"Eggs from all 10 species were obtained through the Malaria Research and Reference Reagent Resource Center (http://www.mr4.org/), 36-bp Solexa (one biological replicate).",transcript_expression,VectorBase,N/A,,,,
Female lower reproductive tract post-mating time-series in Anopheles gambiae,2/3/2015,Flaminia Catteruccia,"Department of Immunology and Infectious Diseases, Harvard School of Public Health","VEuPathDB rel. 47, 2020-APR-07",47,DNA Microarray Assay,agamPEST_microarrayExpression_E-MTAB-3022-female_lower_reproductive_tract_time_series_RSRC,DS_2110a8010e,<i>Anopheles gambiae</i> PEST<br>,25368171,Gabrieli et al.,"Gene expression in the Anopheles gambiae female lower reproductive tract, comprising of the atrium and spermatheca, was measured in and compared between mosquitoes 3, 12 and 24 hours post mating and age-matched virgins. Transcriptional profile compared across 4 biological replicates using Agilent one-color microarrays.",transcript_expression,VectorBase,N/A,,,,
Auranofin-adapted trophozoite (AFAT) transcriptome,8/2/2021,Serge Ankri,Technion-Israel Institute of Technology,"VEuPathDB rel. 56, 2022-FEB-15",56,RNASeq,ehisHM1IMSS_EhisHM-1IMSS_AFATvWT_Shaulov_RNAseq_ebi_rnaSeq_RSRC,DS_21171a150f,<i>Entamoeba histolytica</i> HM-1:IMSS<br>,34439488,Shaulov et al.,"RNA-seq transcriptome of <i>Entamoeba histolytica</i> HM-1:IMSS wild type trophozoites and trophozoites adapted to auranofin, an agent cytotoxic to <i>E. histolytica</i>.",transcript_expression,AmoebaDB,N/A,,,,
<i>Cryptococcus gattii VGIII</i> CA1873 Genome Sequence and Annotation,2/17/2015,The Broad Institute of MIT and Harvard,The Broad Institute of MIT and Harvard,"VEuPathDB rel. 51, 2021-MAR-16",35,Genomes,cgatCA1873_primary_genome_RSRC,DS_2120d05c90,<i>Cryptococcus gattii</i> CA1873<br>,26330512,The Broad Institute of MIT and Harvard,Genome sequence and annotation for <i>Cryptococcus gattii VGIII</i> CA1873 (<i>Cryptococcus bacillisporus</i> CA1873),genome,FungiDB,6782,,,,
SNP calls on WGS of Candida auris clinical isolates from 4 hospitals,5/10/2018,Nancy Chow,Centers for Disease Control and Prevention,"VEuPathDB rel. 39, 2018-AUG-30",39,Genetic variation,caurB8441_HTS_SNP_CDC_Whole_Genome_Sequencing_RSRC,DS_213496374f,<i>Candida auris</i> strain B8441<br>,29788045,Nancy Chow,Whole-genome sequencing of <i>Candida auris</i> isolates using Illumina HiSeq 2500.,isolates,FungiDB,N/A,,,,
"State-wide mosquito surveillance in Iowa, USA, 2007 (New Jersey light trap)",2/3/2019,Unidentified,N/A,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000382_RSRC,DS_219737e539,<br>,N/A,Unidentified,"Mosquito collections have been made in various locations in Iowa, USA, using New Jersey light traps. (MapVEu VBP0000382)",population_biology, ,N/A,,,,
"Dynamic of resistance alleles of two major insecticide targets in Anopheles gambiae (s.l.) populations from Benin, West Africa",5/27/2020,Benoît S Assogba,"Institut des Sciences de l'Evolution de Montpellier (ISEM), UMR CNRS-IRD-EPHE-Université de Montpellier, Place Eugène Bataillon, 34095, Montpellier, France.","VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000640_RSRC,DS_219af835e5,<br>,32171326,Benoît S Assogba,"Assessment of resistance levels and the frequencies of two major target-site mutations, L1014F-VGSC and G119S-ace-1, conferring resistance to pyrethroids and carbamates/organophosphates insecticides. (MapVEu VBP0000640)",population_biology, ,N/A,,,,
<i>Leishmania panamensis</i> strain MHOM/PA/94/PSC-1 Genome Sequence and Annotation,3/5/2015,Ricardo Lleonart,Instituto de Investigaciones Científicas y Servicios de Alta Tecnología,"VEuPathDB rel. 52, 2021-MAY-20",37,Genomes,lpanMHOMPA94PSC1_primary_genome_RSRC,DS_21a844223f,<i>Leishmania panamensis</i> strain MHOM/PA/94/PSC-1<br>,25707621,Ricardo Lleonart,Genome Sequence and Annotation of <i>Leishmania panamensis</i> MHOM/PA/94/PSC-1,genome,TriTrypDB,8048,,,,
Mechanisms of pyrethroid resistance in Aedes (Stegomyia) aegypti from Colombia,9/21/2021,Angélica Aponte,"Centro Internacional de Entrenamiento e Investigaciones Médicas CIDEIM, Carrera 125 N 19-225, Cali, Colombia","VEuPathDB rel. 55, 2021-DEC-02",55,N/A,ISATab_VBP0000779_RSRC,DS_21acc8f1af,<br>,30552882,Angélica Aponte,"In order to identify the biochemical and molecular mechanisms associated with pyrethroid resistance in Colombia, three laboratory-selected strains resistant to DDT, Propoxur and lambdacyhalothrin, and 7 field-collected strains were evaluated. (MapVEu VBP0000779)",population_biology, ,N/A,,,,
Bloodstream Form Cytosolic Phosphoproteome (RUMP 528),4/4/2009,Mike Ferguson,University of Dundee,"EuPathDB rel. 1.0, 01-JAN-05",0,Protein expression,tbruTREU927_massSpec_Ferguson_Phospho_RSRC,DS_21c6a7b5fe,<i>Trypanosoma brucei</i> brucei TREU927<br>,19346560,Nett et al.,"The phosphoproteome of bloodstream form <i>Trypanonosoma brucei</i>, causative agent of African sleeping sickness.",protein_expression,TriTrypDB,N/A,,,,
<i>Leishmania donovani</i> BPK282A1 Genome Sequence and Annotation,5/28/2016,Matthew Berriman,"Wellcome Sanger Institute, UK","VEuPathDB rel. 60, 2022-NOV-09",18,Genomes,ldonBPK282A1_primary_genome_RSRC,DS_21f12513c4,<i>Leishmania donovani</i> BPK282A1<br>,22038251,Matthew Berriman,<i>Leishmania donovani</i> BPK282A1 Sequence and Annotation,genome,TriTrypDB,8135,,,,
Analysis of the transcriptomes a Candida Drug Resistance strain and its isogenic drug sensitive counterpart.,2012-09-04_gus4,Sophie Lemoine,Biologie department Ecole Normale Supérieure,"VEuPathDB rel. 21, 2014-MAY-08",21,RNASeq,calbSC5314_Lemoine_DrugResistance_ebi_rnaSeq_RSRC,DS_2202c4e6b0,<i>Candida albicans</i> SC5314<br>,22897889,Dhamgaye et al. 2012,Illumina sequencing of Gu4 and Gu5 transcriptomes,transcript_expression,FungiDB,N/A,,,,
<i>Plasmodium vivax-like sp.</i> Pvl01 Genome Sequence and Annotation,6/21/2018,Virginie Rougeron,"French National Centre for Scientifici Research, Montpellier, France","VEuPathDB rel. 42, 2019-MAR-07",42,Genomes,pvivPvl01_primary_genome_RSRC,DS_22083c762c,<i>Plasmodium vivax-like</i> Pvl01<br>,30142149,Virginie Rougeron,Genome Sequence and annotation for <i>Plasmodium vivax-like</i> Pvl01,genome,PlasmoDB,5604,,,,
Anopheles gambiae strain:G3 Transcriptome or Gene expression,20-Jan,Liverpool School of Tropical Medicine,Liverpool School of Tropical Medicine,"VEuPathDB rel. 47, 2020-APR-07",47,RNASeq,agamPEST_SRP028885_ebi_rnaSeq_RSRC,DS_220f652a75,<i>Anopheles gambiae</i> PEST<br>,N/A,Liverpool School of Tropical Medicine,"Anopheles gambiae is a primary vector of human malaria in sub-Saharan Africa. Control of the disease depends heavily on the use of insecticides, but emergence of resistance in mosquito populations threatens effectiveness of the insecticidal tools. Novel control strategies are urgently needed and to meet this challenge a better understanding of the mosquito biology is necessary. This study was undertaken to get first insight into early sex-specific developmental processes in An. gambiae.",transcript_expression,VectorBase,N/A,,,,
Whole Genome Association Study for Itraconazole Sensitivity in Aspergillus fumigatus,8/31/2020,John G Gibbons,"Department of Biological Sciences, Vanderbilt University","VEuPathDB rel. 56, 2022-FEB-15",56,Genetic variation,afumAf293_HTS_SNP_Gibbons_AfumItraconazole_RSRC,DS_2216592524,<i>Aspergillus fumigatus</i> Af293<br>,N/A,Zhao et al. 2020,Clinical isolates of <i>A. fumigatus</i> from Japan.,isolates,FungiDB,N/A,,,,
Expression During Infection,2013-08-19_gus4,Brett M Tyler,Oregon State University,"VEuPathDB rel. 23, 2015-JAN-14",21,RNASeq,psojP6497_Tyler_Infection_rnaSeq_RSRC,DS_223402f855,<i>Phytophthora sojae</i> strain P6497<br>,N/A,Brett M Tyler,"This study has 3 experimental samples. The first is from <i>P. sojae</i> mycelial tissue sample grown in media, the second is from cysts, and the third is from Soybean hypocotyls infected with <i>P. sojae</i> 3 dpi.",transcript_expression,FungiDB,N/A,,,,
"Mosquito surveillance, Ada County Weed, Pest, and Mosquito, in Idaho, USA, 2010",6/26/2020,Desireé Keeney,"Ada County Weed, Pest, and Mosquito","VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000658_RSRC,DS_2239cd022d,<br>,N/A,Desireé Keeney,"Mosquito collections from Ada County Weed, Pest, and Mosquito have been made in various locations in Ada County, Idaho, USA, using EVS (Encephalitis Vector Survey) traps. (MapVEu VBP0000658)",population_biology, ,N/A,,,,
<i>Anopheles gambiae</i> PEST Genome Sequence and Annotation,AgamP4,Frank Collins,"University of Notre Dame, Notre Dame, IN, USA","VEuPathDB rel. 57, 2022-APR-21",47,Genomes,agamPEST_primary_genome_RSRC,DS_2251b21396,<i>Anopheles gambiae</i> PEST<br>,12364791,Frank Collins,Genome Sequence and Annotation for <i>Anopheles gambiae</i> PEST,genome,VectorBase,13845,,,,
Generic RNA-Seq for gene prediction,20-Jan,The Genome Center at Washington University School of Medicine in St. Louis,The Genome Center at Washington University School of Medicine in St. Louis,"VEuPathDB rel. 47, 2020-APR-07",47,RNASeq,gbreIAEA_SRP017485_ebi_rnaSeq_RSRC,DS_225f7390c4,<i>Glossina brevipalpis</i> IAEA<br>,N/A,The Genome Center at Washington University School of Medicine in St. Louis,Generic RNA-Seq for gene prediction,transcript_expression,VectorBase,N/A,,,,
<i>Encephalitozoon cuniculi</i> EC2 Genome Sequence and Annotation,9/29/2011,The Broad Institute of MIT and Harvard,The Broad Institute of MIT and Harvard,"VEuPathDB rel. 52, 2021-MAY-20",0,Genomes,ecunEC2_primary_genome_RSRC,DS_228546cfdc,<i>Encephalitozoon cuniculi</i> EC2<br>,"23291622, 4209547",The Broad Institute of MIT and Harvard,<i>Encephalitozoon cuniculi</i> EC2 genome sequence,genome,MicrosporidiaDB,1902,,,,
<i>Entamoeba histolytica</i> DS4-868 Genome Sequence,5/24/2021,J. Craig Venter Institute,J. Craig Venter Institute,"VEuPathDB rel. 56, 2022-FEB-15",0,Genomes,ehisDS4_primary_genome_RSRC,DS_228a2c33cf,<i>Entamoeba histolytica</i> DS4-868<br>,N/A,J. Craig Venter Institute,<i>E. histolytica </i> DS4-868 genome sequence,genome,AmoebaDB,N/A,,,,
<i>Phytophthora ramorum</i> strain Pr102 Genome Sequence and Annotation,11/23/2022,Niklaus J. Grünwald,"Horticultural Crops Research Laboratory, USDA Agricultural Research Service, Corvallis, OR, USA","VEuPathDB rel. 68, 2024-MAY-07",21,Genomes,pramPr-102_primary_genome_RSRC,DS_22ae577d5a,<i>Phytophthora ramorum</i> strain Pr102<br>,N/A,Niklaus J. Grünwald,Genome sequence and annotation for <i>Phytophthora ramorum</i> Pr-102.,genome,FungiDB,15268,,,,
<i>Plasmodium gallinaceum</i> 8A Genome Sequence and Annotation,9/1/2020,GeneDB,"GeneDB, Wellcome Sanger Institute","VEuPathDB rel. 68, 2024-MAY-07",0,Genomes,pgal8A_primary_genome_RSRC,DS_22b4dadc51,<i>Plasmodium gallinaceum</i> 8A<br>,29500236,GeneDB,Genome sequence and annotation for <i>P. gallinaceum</i> 8A,genome,PlasmoDB,5447,,,,
<i>Leishmania braziliensis</i> MHOM/BR/75/M2903 Genome Sequence and Annotation,9/30/2016,Stephen M. Beverley,Washington University in St. Louis,"VEuPathDB rel. 67, 2024-FEB-21",18,Genomes,lbraMHOMBR75M2903_primary_genome_RSRC,DS_22b60660b6,<i>Leishmania braziliensis</i> MHOM/BR/75/M2903<br>,N/A,Stephen M. Beverley,<i>Leishmania braziliensis</i> M2903 Genome sequence and annotation,genome,TriTrypDB,9379,,,,
<i>Histoplasma capsulatum</i> WU24 Genome Sequence and Annotation,3/9/2021,Mark Voorhies,"Department of Microbiology and Immunology, University of California, San Francisco","VEuPathDB rel. 65, 2023-SEP-14",65,Genomes,hcapWU24_primary_genome_RSRC,DS_22f7c6ff1f,<i>Histoplasma capsulatum</i> WU24<br>,35089059,Mark Voorhies,Genome Sequence and Annotation of <i>Histoplasma capsulatum</i> WU24,genome,FungiDB,9195,,,,
<i>Malassezia sympodialis</i> ATCC 42132 Genome Sequence and Annotation,1/10/2017,Annika Scheynius,"Karolinska Institutet, Stockholm","VEuPathDB rel. 53, 2021-JUL-21",53,Genomes,msymATCC42132_primary_genome_RSRC,DS_2300e28d6f,<i>Malassezia sympodialis</i> ATCC 42132<br>,23341551,Annika Scheynius,Genome Sequence and Annotation of <i>Malassezia sympodialis</i> ATCC 42132,genome,FungiDB,4618,,,,
<i>Hamiltosporidium tvaerminnensis</i> IL-G-3 Genome Sequence and Annotation,3/5/2019,Dieter Ebert,"Zoological Institute, Basel University, 4051 Basel, Switzerland","VEuPathDB rel. 60, 2022-NOV-09",60,Genomes,htvaILG3_primary_genome_RSRC,DS_2316bd6cc9,<i>Hamiltosporidium tvaerminnensis</i> IL-G-3<br>,31825473,Dieter Ebert,Genome Sequence and Annotation of <i>Hamiltosporidium tvaerminnensis</i> IL-G-3,genome,MicrosporidiaDB,6203,,,,
